gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated
0,0,1666.667,2113.249,2,24,526.525717625,418.3043915,781.3583209,1360.5908284699997,37.55736158333334,443.592039125,0,24,144000,15695
1,1,5000.0,2113.249,2,30,997.4476175333333,524.18445,3251.8696542999987,5569.721337210003,39.9170621,460.8806679,0,30,180000,18889
2,2,8333.333,2113.249,2,22,466.29271668181815,405.4095215,712.30236035,958.2600442299997,33.591948409090904,432.70076827272726,0,22,132000,14466
3,3,0.0,5000.0,2,35,5096.794557428571,4525.938298,11860.940926399997,13792.180387459994,30.07417662857143,404.1635287428572,0,35,210000,22625
4,4,3333.333,5000.0,2,49,19866.730406918366,21871.735779,39430.8607402,40656.974621999994,32.82418830612245,420.9781484489796,0,49,294000,32215
5,5,6666.667,5000.0,2,25,546.74706924,425.766189,737.2021922,1658.7874089999978,41.641773799999996,444.81154128,0,25,150000,17011
6,6,10000.0,5000.0,2,30,3158.9014066000004,427.9731315,11514.336654949991,12852.4636384,31.787297566666666,421.5232563,0,30,180000,20405
7,7,1666.667,7886.751,2,29,842.8073622758619,422.142496,2677.8597421999993,3118.7139648399993,16.213053758620692,412.6918133103448,0,29,174000,18457
8,8,5000.0,7886.751,2,30,1242.6376917333332,443.80937300000005,4704.054430249999,4954.06607327,20.601071466666664,411.79888216666666,0,30,180000,19793
9,9,8333.333,7886.751,2,26,656.5212076923077,407.681008,2005.0091052500002,2887.5152875000003,19.63348115384615,419.8501042307692,0,26,156000,16197
