user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_communication_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,mean_decode_after_ttft_ms,mean_request_completion_latency_ms,dominant_ttft_bottleneck,communication_bottleneck_count,queueing_bottleneck_count,prefill_bottleneck_count
0,2750.2931836911926,2232.1073814882275,1.0,0.05,0,1090.1252317193375,12,582.2288364166667,422.846353,1120.1704409499994,1450.7484737900004,0.0,40.08686925,451.3893333333333,16067.892679166665,16650.121515583334,prefill,0,0,12
1,265.35969683863624,1988.376506866485,1.0,0.05,0,1406.8600845267997,12,470.82259883333336,417.72782900000004,703.2770004499998,760.1923296900001,0.0,35.027853916666665,435.7947449166667,19002.821662916667,19473.64426175,prefill,0,0,12
2,3402.5051651799185,1554.7949981178156,1.0,0.05,1,1692.2944836803865,15,1040.6851823333334,578.049198,3144.9101327999997,3384.49946096,0.0,57.26051306666667,472.3093996666667,17411.015132666667,18451.700315,prefill,0,0,15
3,3701.8096711688263,2095.070307714877,1.0,0.05,1,1298.3176016383618,15,954.2100527333333,425.959828,3207.990011199995,5791.847317439998,0.0,22.573611133333333,449.45193613333333,19412.502826933334,20366.71287966667,prefill,0,0,15
4,8763.676264726688,3146.778807984779,1.0,0.05,2,1119.544188269797,11,471.7264721818182,403.389949,793.166125,976.4239954000002,0.0,42.375564363636364,429.35090781818184,16810.806726181818,17282.533198363635,prefill,0,0,11
5,8758.52940378194,2633.890507510908,1.0,0.05,2,672.20499933601,11,460.85896118181824,406.165968,664.8096695,707.0253947000001,0.0,24.808332454545454,436.05062872727274,16561.822563454545,17022.681524636366,prefill,0,0,11
6,5.718961279435053,3241.560570046731,1.0,0.05,3,1758.448729799221,18,3009.9755350555556,429.3958165,10103.29297035,10588.797594869999,0.0,31.101876333333333,400.1981836111111,20009.045937444444,23019.0214725,prefill,0,0,18
7,856.5345206787878,4859.9046331661375,1.0,0.05,3,867.9159503792722,17,7306.367639941177,9551.723836,12878.120813199997,14149.85587304,0.0,28.986024,408.36212947058823,20024.662670705882,27331.03031064706,prefill,0,0,17
8,4752.8237809873135,5498.035934949439,1.0,0.05,4,1504.3250545706321,25,21459.53175148,24523.510963,39044.64190319999,39987.77119916,0.0,22.94469856,406.38464816000004,21736.18999652,43195.721748,prefill,0,0,25
9,4381.00083914504,5175.758410355907,1.0,0.05,4,1062.3082979953008,24,18207.562339666667,13686.151298,38525.919209949985,40713.00142571,0.0,43.115323458333336,436.17971125,20907.375511458333,39114.937851125,prefill,0,0,24
10,5945.191535334412,6193.815103321031,1.0,0.05,5,1394.8911595647273,13,506.2796324615384,425.766189,695.2165351999998,731.1061294399999,0.0,52.721947615384614,453.55768484615385,20671.020178692306,21177.299811153847,prefill,0,0,13
11,7412.309083479308,5516.804211263912,1.0,0.05,5,907.2313428423192,12,590.5867924166668,425.2560165,1276.1409682999993,1814.3529960600008,0.0,29.638252166666668,435.3365524166667,17635.109052166667,18225.695844583333,prefill,0,0,12
12,9039.285715598931,5455.902892055224,1.0,0.05,6,1063.3999168876094,15,2962.3247600666664,412.127602,10809.294327699998,12388.58914074,0.0,28.141537,418.2022226,19892.85012866667,22855.174888733334,prefill,0,0,15
13,8345.950198860168,5825.09566489794,1.0,0.05,6,1848.4219217711338,15,3355.478053133333,572.027377,9356.779939899994,12175.889975179996,0.0,35.43305813333333,424.84429,20793.565781866666,24149.043835,prefill,0,0,15
14,3082.583499301337,8989.8148874259,1.0,0.05,7,1794.8731076978372,15,856.854076,415.663093,2703.887440699999,3130.8602241399994,0.0,13.8855162,405.4307224,18970.5271946,19827.3812706,prefill,0,0,15
15,1545.5333833220463,9298.810156936745,1.0,0.05,7,1417.2453618828288,14,827.7573118571429,430.8410655,2472.8392116,2744.96642072,0.0,18.706844,420.4715535714286,19225.183782357144,20052.941094214286,prefill,0,0,14
16,5384.519970927919,7194.299991448455,1.0,0.05,8,792.0505080400233,15,1613.4843114,483.017458,4845.1954780999995,4993.89677882,0.0,24.4021694,404.81891626666663,19250.244632,20863.7289434,prefill,0,0,15
17,4731.861859093263,9011.808258282543,1.0,0.05,8,1156.5690195674242,15,871.7910720666666,437.504154,2425.2300393999967,4188.176129479998,0.0,16.799973533333336,418.7788480666667,20719.822215133336,21591.6132872,prefill,0,0,15
18,8184.234645366642,7511.381375407323,1.0,0.05,9,403.8968611183088,13,564.3036413076923,402.971066,1270.163040999998,1935.6048681999987,0.0,20.41054346153846,416.1420343076923,17756.00097846154,18320.30461976923,prefill,0,0,13
19,7509.644766184729,7700.461885740251,1.0,0.05,9,844.4915278541305,13,748.7387740769229,409.333147,2288.230377599998,2977.138295519999,0.0,18.856418846153847,423.55817415384615,17629.768387846154,18378.507161923077,prefill,0,0,13
