case,policy,requests,redirects,input_tokens,reuse_prefix_tokens,e2e_ttft_mean_ms,e2e_ttft_p50_ms,e2e_ttft_p95_ms,e2e_ttft_p99_ms,e2e_ttft_max_ms,router_queue_mean_ms,scheduler_queue_mean_ms,prefill_mean_ms,communication_mean_ms,completion_mean_ms,completion_p95_ms
input512_reuse00,NEAREST_KV,300,0,512,0,65.85112596333333,65.6143375,76.1344781,80.81462427999999,82.276821,0.0,8.341675503333333,57.50945046,0.0,11895.613403013333,14436.01634695
input512_reuse00,NEAREST_MIGRATE,300,0,512,0,65.85112596333333,65.6143375,76.1344781,80.81462427999999,82.276821,0.0,8.341675503333333,57.50945046,0.0,11895.613403013333,14436.01634695
input512_reuse00,NEAREST_MIGRATE_KV,300,0,512,0,65.85112596333333,65.6143375,76.1344781,80.81462427999999,82.276821,0.0,8.341675503333333,57.50945046,0.0,11895.613403013333,14436.01634695
input512_reuse025,NEAREST_KV,300,0,512,128,53.454488833333336,53.7278675,63.0063561,64.68104049,66.577233,0.0,8.59791315,44.856575683333325,0.0,11829.447330543333,14332.86052495
input512_reuse025,NEAREST_MIGRATE,300,0,512,128,53.454488833333336,53.7278675,63.0063561,64.68104049,66.577233,0.0,8.59791315,44.856575683333325,0.0,11829.447330543333,14332.86052495
input512_reuse025,NEAREST_MIGRATE_KV,300,0,512,128,53.454488833333336,53.7278675,63.0063561,64.68104049,66.577233,0.0,8.59791315,44.856575683333325,0.0,11829.447330543333,14332.86052495
input512_reuse05,NEAREST_KV,300,0,512,256,40.70611422666667,40.6481435,49.834763550000005,52.5033457,55.266705,0.0,8.22029307,32.48582115666667,0.0,11768.507692076666,14259.825321549999
input512_reuse05,NEAREST_MIGRATE,300,0,512,256,40.70611422666667,40.6481435,49.834763550000005,52.5033457,55.266705,0.0,8.22029307,32.48582115666667,0.0,11768.507692076666,14259.825321549999
input512_reuse05,NEAREST_MIGRATE_KV,300,0,512,256,40.70611422666667,40.6481435,49.834763550000005,52.5033457,55.266705,0.0,8.22029307,32.48582115666667,0.0,11768.507692076666,14259.825321549999
input2000_reuse00,NEAREST_KV,300,0,2000,0,233.90757522,226.74179900000001,298.46911320000015,385.22959661,406.549487,0.0,16.506215246666663,217.40135997333334,0.0,13717.783691656667,17830.70188905
input2000_reuse00,NEAREST_MIGRATE,300,0,2000,0,233.90757522,226.74179900000001,298.46911320000015,385.22959661,406.549487,0.0,16.506215246666663,217.40135997333334,0.0,13717.783691656667,17830.70188905
input2000_reuse00,NEAREST_MIGRATE_KV,300,0,2000,0,233.90757522,226.74179900000001,298.46911320000015,385.22959661,406.549487,0.0,16.506215246666663,217.40135997333334,0.0,13717.783691656667,17830.70188905
input2000_reuse025,NEAREST_KV,300,0,2000,496,180.15892509666665,176.3797615,198.49759990000007,285.46987358999996,297.034768,0.0,12.326165249999999,167.83275984666668,0.0,13397.623578003333,17103.4467214
input2000_reuse025,NEAREST_MIGRATE,300,0,2000,496,180.15892509666665,176.3797615,198.49759990000007,285.46987358999996,297.034768,0.0,12.326165249999999,167.83275984666668,0.0,13397.623578003333,17103.4467214
input2000_reuse025,NEAREST_MIGRATE_KV,300,0,2000,496,180.15892509666665,176.3797615,198.49759990000007,285.46987358999996,297.034768,0.0,12.326165249999999,167.83275984666668,0.0,13397.623578003333,17103.4467214
input2000_reuse05,NEAREST_KV,300,0,2000,992,124.03448436666666,123.7234815,134.83243305,175.47073465,188.479458,0.0,10.108360400000002,113.92612396666667,0.0,13068.11908361,16444.257639600004
input2000_reuse05,NEAREST_MIGRATE,300,0,2000,992,124.03448436666666,123.7234815,134.83243305,175.47073465,188.479458,0.0,10.108360400000002,113.92612396666667,0.0,13068.11908361,16444.257639600004
input2000_reuse05,NEAREST_MIGRATE_KV,300,0,2000,992,124.03448436666666,123.7234815,134.83243305,175.47073465,188.479458,0.0,10.108360400000002,113.92612396666667,0.0,13068.11908361,16444.257639600004
