gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated
0,0,1666.667,2113.249,2,24,4058.034454875,1577.5760645,13399.2175299,15891.337396969999,175.52112229166664,1106.8908433333334,0,24,240000,15695
1,1,5000.0,2113.249,2,30,8069.0321527666665,6337.061276,20494.218207949998,22737.250124140002,38.73174856666667,1052.0462951333334,0,30,300000,18889
2,2,8333.333,2113.249,2,22,2472.6547137727275,1070.415906,6918.5785488,11504.922487389995,140.97057818181818,1077.6224451818182,0,22,220000,14466
3,3,0.0,5000.0,2,35,19272.829441114285,21235.762529,40913.1875946,42064.3039028,22.047283142857143,1042.5239852,0,35,350000,22625
4,4,3333.333,5000.0,2,49,48819.33681471428,64197.779313,93527.6034022,96661.28237007998,65.86780026530612,1068.7308311836734,0,49,490000,32215
5,5,6666.667,5000.0,2,25,7988.727648120001,7275.983898,16276.591009799999,18918.719018439995,108.07975232,1076.7994316400002,0,25,250000,17011
6,6,10000.0,5000.0,2,30,13578.054892433334,10458.231309499999,40593.263084349994,41834.31021501,19.027887600000003,1040.9129324333333,0,30,300000,20405
7,7,1666.667,7886.751,2,29,9374.07458637931,8480.695011,21550.909734799996,22385.558270319998,47.00986920689655,1060.2696396896552,0,29,290000,18457
8,8,5000.0,7886.751,2,30,11790.529973333332,10759.83335,28740.8197522,29837.89268668,83.50305076666666,1084.9546534333333,0,30,300000,19793
9,9,8333.333,7886.751,2,26,6561.0123993846155,5710.8148115,14059.1372275,17263.841274000002,60.1679755,1064.1213915384615,0,26,260000,16197
