user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_communication_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,mean_decode_after_ttft_ms,mean_request_completion_latency_ms,dominant_ttft_bottleneck,communication_bottleneck_count,queueing_bottleneck_count,prefill_bottleneck_count
0,2750.2931836911926,2232.1073814882275,1.0,0.05,0,1090.1252317193375,12,3773.70485575,1322.7182295,14878.703937449998,16271.074944290001,0.0,179.27108975,1129.2547889166667,19281.2682665,23054.97312225,prefill,0,1,11
1,265.35969683863624,1988.376506866485,1.0,0.05,0,1406.8600845267997,12,4342.364054000001,2157.5707045,11782.875767549998,12824.48243431,0.0,171.77115483333336,1084.52689775,21831.708042333332,26174.072096333333,prefill,0,0,12
2,3402.5051651799185,1554.7949981178156,1.0,0.05,1,1692.2944836803865,15,8522.814361933333,6756.545634,20477.6264357,20514.79200554,0.0,58.619325866666664,1060.4735236666666,19812.78641233333,28335.600774266666,prefill,0,0,15
3,3701.8096711688263,2095.070307714877,1.0,0.05,1,1298.3176016383618,15,7615.249943599999,4967.904062,19208.719311499994,22754.719567899996,0.0,18.844171266666667,1043.6190666,21849.090087733333,29464.340031333333,prefill,0,0,15
4,8763.676264726688,3146.778807984779,1.0,0.05,2,1119.544188269797,11,2279.3026778181816,1048.900768,7813.375905,11738.554212200002,0.0,165.15324827272727,1054.9682617272726,19519.41626790909,21798.718945727273,prefill,0,1,10
5,8758.52940378194,2633.890507510908,1.0,0.05,2,672.20499933601,11,2666.006749727273,1154.555451,6775.416456000001,6902.671649600001,0.0,116.7879080909091,1100.2766286363637,19576.685597272728,22242.692347,prefill,0,0,11
6,5.718961279435053,3241.560570046731,1.0,0.05,3,1758.448729799221,18,13761.32169861111,10566.509501,39336.216294699996,40927.70140373999,0.0,20.876983666666668,1037.6779590555557,21327.77535572222,35089.09705433334,prefill,0,0,18
7,856.5345206787878,4859.9046331661375,1.0,0.05,3,867.9159503792722,17,25108.54352141176,33838.313431,41078.1333854,42171.51660588,0.0,23.28642376470588,1047.6550717058824,21045.50780494118,46154.05132635294,prefill,0,0,17
8,4752.8237809873135,5498.035934949439,1.0,0.05,4,1504.3250545706321,25,51309.97678444,69090.922983,94272.042991,97533.54150303999,0.0,64.2985622,1065.4098300399999,22347.09043384,73657.06721828,prefill,0,0,25
9,4381.00083914504,5175.758410355907,1.0,0.05,4,1062.3082979953008,24,46224.920179583336,37044.611873,91690.03664065001,93750.11140653,0.0,67.50242325,1072.190207375,22414.90605704167,68639.826236625,prefill,0,0,24
10,5945.191535334412,6193.815103321031,1.0,0.05,5,1394.8911595647273,13,6989.070468384616,6297.752569,14789.869223400001,14793.46389108,0.0,189.9393183846154,1114.4325538461537,22808.541705923075,29797.612174307695,prefill,0,0,13
11,7412.309083479308,5516.804211263912,1.0,0.05,5,907.2313428423192,12,9071.689592833334,10179.639805499999,17908.06900955,19342.53998991,0.0,19.39855575,1036.0302159166665,19507.34051875,28579.03011158333,prefill,0,0,12
12,9039.285715598931,5455.902892055224,1.0,0.05,6,1063.3999168876094,15,11358.498531266667,8146.542327,33920.63388839999,38947.26002327999,0.0,18.336102533333335,1035.5308964,21781.3004988,33139.799030066664,prefill,0,0,15
13,8345.950198860168,5825.09566489794,1.0,0.05,6,1848.4219217711338,15,15797.611253600002,12587.985279,41301.6042133,42029.20265466,0.0,19.719672666666668,1046.2949684666667,22071.81861833333,37869.42987193333,prefill,0,0,15
14,3082.583499301337,8989.8148874259,1.0,0.05,7,1794.8731076978372,15,10299.794367266668,6305.745533,22337.6312383,22401.53394766,0.0,28.597482266666667,1063.0923779333332,19909.342247133336,30209.136614400002,prefill,0,0,15
15,1545.5333833220463,9298.810156936745,1.0,0.05,7,1417.2453618828288,14,8382.231963999999,10344.6619215,16148.7927778,17590.29912356,0.0,66.73742664285714,1057.2452772857143,21202.89142407143,29585.12338807143,prefill,0,0,14
16,5384.519970927919,7194.299991448455,1.0,0.05,8,792.0505080400233,15,15298.602473133333,15203.670685,29235.1975624,30058.390902879997,0.0,118.067164,1105.4935360666666,20170.5346798,35469.137152933334,prefill,0,0,15
17,4731.861859093263,9011.808258282543,1.0,0.05,8,1156.5690195674242,15,8282.457473533334,7870.390931,18218.4903001,19473.21573682,0.0,48.93893753333333,1064.4157708,22062.1758882,30344.633361733333,prefill,0,0,15
18,8184.234645366642,7511.381375407323,1.0,0.05,9,403.8968611183088,13,5043.987171384616,4084.845988,14055.1502676,14060.61809832,0.0,41.03538253846153,1050.983799846154,20637.05146623077,25681.038637615384,prefill,0,0,13
19,7509.644766184729,7700.461885740251,1.0,0.05,9,844.4915278541305,13,8078.037627384615,10105.411331,15186.980141399994,17702.297372279994,0.0,79.30056846153846,1077.2589832307692,19925.747602384617,28003.78522976923,prefill,0,0,13
