gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated
0,0,1666.667,2113.249,5,29,10913.465234689655,10626.581968,24558.855302599997,25462.79222004,187.30598486206895,1284.0930926896551,0,29,290000,18800
1,1,5000.0,2113.249,3,28,5278.393989714286,2132.1943284999998,16355.642064799995,17753.39974854,62.55098732142857,1163.8779198214286,0,28,280000,17326
2,2,8333.333,2113.249,2,20,1666.1456133,1032.010147,5069.4816175000005,5799.035128299999,150.40337169999998,1073.41107005,0,20,200000,13284
3,3,0.0,5000.0,3,28,10163.407174464288,8054.5424105,22450.611944749995,33669.45104343001,27.969742642857142,1072.0524859642858,0,28,280000,18396
4,4,3333.333,5000.0,3,32,19942.61795371875,19640.326171499997,53203.09016485,56335.058594370006,56.22010384375,1097.9762833125,0,32,320000,21507
5,5,6666.667,5000.0,8,44,39706.59808163636,32729.172042,90816.7017867,93473.40133171,189.53226661363638,1309.0075304545455,0,44,440000,29174
6,6,10000.0,5000.0,3,27,10491.461026148148,8686.667538,23884.7329135,28091.38960587999,18.272449,1061.4167494074075,0,27,270000,18056
7,7,1666.667,7886.751,3,30,11453.412013766667,9358.964561,41594.97348454998,47864.75958476,45.89523426666666,1118.7192296333335,0,30,300000,19364
8,8,5000.0,7886.751,6,33,16134.358968666667,13414.387178,39813.335905199994,43686.226879,36.72072218181818,1165.7324442121212,0,33,330000,21370
9,9,8333.333,7886.751,3,29,11914.034557034482,9416.172659,28504.76511939999,31582.3643026,41.531338034482765,1130.9520696206896,0,29,290000,18476
