user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_communication_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,mean_decode_after_ttft_ms,mean_request_completion_latency_ms,dominant_ttft_bottleneck,communication_bottleneck_count,queueing_bottleneck_count,prefill_bottleneck_count
0,2750.2931836911926,2232.1073814882275,1.0,0.05,0,1090.1252317193375,12,62.614474666666666,63.5031265,73.7292323,73.80326406,0.0,6.489992083333333,56.12448258333333,11201.761413916665,11264.375888583334,prefill,0,0,12
1,265.35969683863624,1988.376506866485,1.0,0.05,0,1406.8600845267997,12,66.08588775,64.16905799999999,76.88391189999999,77.64806958,0.0,9.152443,56.93344475,12128.65205825,12194.737946,prefill,0,0,12
2,3402.5051651799185,1554.7949981178156,1.0,0.05,1,1692.2944836803865,15,65.20150373333334,65.616385,71.326158,72.240106,0.0,7.692155666666667,57.50934806666667,10759.385903733333,10824.587407466668,prefill,0,0,15
3,3701.8096711688263,2095.070307714877,1.0,0.05,1,1298.3176016383618,15,64.2800194,61.000097,75.6549862,77.42604444,0.0,7.623110933333334,56.65690846666667,11889.616003,11953.8960224,prefill,0,0,15
4,8763.676264726688,3146.778807984779,1.0,0.05,2,1119.544188269797,11,64.10040363636364,61.591845,74.6669035,74.76438230000001,0.0,7.826814636363637,56.273589,11775.236841363636,11839.337245,prefill,0,0,11
5,8758.52940378194,2633.890507510908,1.0,0.05,2,672.20499933601,11,62.89714527272727,59.32378,72.191896,72.5711704,0.0,6.654244363636363,56.242900909090906,11545.876025636364,11608.77317090909,prefill,0,0,11
6,5.718961279435053,3241.560570046731,1.0,0.05,3,1758.448729799221,18,66.49971927777777,66.153229,75.2367735,75.3880803,0.0,8.756921944444445,57.742797333333336,11754.567001444444,11821.066720722221,prefill,0,0,18
7,856.5345206787878,4859.9046331661375,1.0,0.05,3,867.9159503792722,17,68.38366823529411,66.282333,77.1209546,77.38183652000001,0.0,9.795273588235295,58.58839464705882,11678.605196647059,11746.988864882353,prefill,0,0,17
8,4752.8237809873135,5498.035934949439,1.0,0.05,4,1504.3250545706321,25,69.6799004,66.333849,81.7454244,82.07417532,0.0,9.09332568,60.58657472,12564.7877972,12634.467697600001,prefill,0,0,25
9,4381.00083914504,5175.758410355907,1.0,0.05,4,1062.3082979953008,24,66.56929708333332,65.5643695,77.10679735,81.13100378,0.0,7.355264416666667,59.21403266666666,12258.533010666666,12325.10230775,prefill,0,0,24
10,5945.191535334412,6193.815103321031,1.0,0.05,5,1394.8911595647273,13,66.12005507692308,65.733504,71.927857,73.1232106,0.0,8.707493923076925,57.412561153846156,12771.507582615384,12837.627637692309,prefill,0,0,13
11,7412.309083479308,5516.804211263912,1.0,0.05,5,907.2313428423192,12,65.68561750000002,63.4449655,76.4331664,76.80277168,0.0,9.104840166666666,56.58077733333334,11578.226986916667,11643.912604416666,prefill,0,0,12
12,9039.285715598931,5455.902892055224,1.0,0.05,6,1063.3999168876094,15,65.63802346666665,68.016502,74.9002344,75.82332047999999,0.0,8.183962133333333,57.454061333333335,12260.136165666667,12325.774189133333,prefill,0,0,15
13,8345.950198860168,5825.09566489794,1.0,0.05,6,1848.4219217711338,15,66.043848,68.920156,74.0361435,75.0539239,0.0,9.075482066666666,56.96836593333333,12465.415087200001,12531.4589352,prefill,0,0,15
14,3082.583499301337,8989.8148874259,1.0,0.05,7,1794.8731076978372,15,69.26978273333334,69.192312,75.76648469999999,76.54866414,0.0,11.301727266666667,57.96805546666667,11050.546294866666,11119.8160776,prefill,0,0,15
15,1545.5333833220463,9298.810156936745,1.0,0.05,7,1417.2453618828288,14,59.37108828571428,60.6654945,70.3190405,71.8608353,0.0,5.648286214285714,53.722802071428575,11797.016297928572,11856.387386214285,prefill,0,0,14
16,5384.519970927919,7194.299991448455,1.0,0.05,8,792.0505080400233,15,67.2169772,68.58044,72.8923576,73.11601152,0.0,9.2971938,57.9197834,11576.3604934,11643.577470600001,prefill,0,0,15
17,4731.861859093263,9011.808258282543,1.0,0.05,8,1156.5690195674242,15,64.25857006666666,63.326308,71.5079887,72.13800494,0.0,7.286484,56.97208606666667,12192.974684533332,12257.2332546,prefill,0,0,15
18,8184.234645366642,7511.381375407323,1.0,0.05,9,403.8968611183088,13,66.20773892307692,67.513114,75.1428074,75.33578708,0.0,9.470542538461538,56.73719638461539,11185.351087153847,11251.558826076924,prefill,0,0,13
19,7509.644766184729,7700.461885740251,1.0,0.05,9,844.4915278541305,13,65.1128936923077,64.9762,72.51567219999998,74.18492164,0.0,7.380595846153846,57.73229784615385,11195.066473076924,11260.17936676923,prefill,0,0,13
