gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated
0,0,1666.667,2113.249,2,24,66.65787970833334,64.6144675,83.89476734999998,86.81922303,9.005018333333334,57.652861375,0,24,12288,15695
1,1,5000.0,2113.249,2,30,67.5329673,65.484212,76.96820665,87.99592329000001,8.881810733333332,58.65115656666667,0,30,15360,18889
2,2,8333.333,2113.249,2,22,65.13121949999999,65.6908755,73.11984095,73.30091748,7.723991272727273,57.407228227272725,0,22,11264,14466
3,3,0.0,5000.0,2,35,69.51155062857143,69.731377,76.82531389999998,80.84471719999998,9.107537028571429,60.4040136,0,35,17920,22625
4,4,3333.333,5000.0,2,49,73.25990275510205,73.464403,85.0275064,96.19820591999994,10.127061448979592,63.13284130612245,0,49,25088,32215
5,5,6666.667,5000.0,2,25,66.41404992,66.276613,76.7218156,79.01905119999999,8.0165798,58.397470119999994,0,25,12800,17011
6,6,10000.0,5000.0,2,30,68.17705929999998,68.390955,79.29189894999999,80.99200593,8.7430601,59.4339992,0,30,15360,20405
7,7,1666.667,7886.751,2,29,65.4547400689655,66.743568,75.08966539999999,76.78134244,8.302365551724138,57.152374517241384,0,29,14848,18457
8,8,5000.0,7886.751,2,30,68.8480784,68.2850545,78.96739519999998,85.13725903000001,9.656554966666667,59.19152343333333,0,30,15360,19793
9,9,8333.333,7886.751,2,26,68.48363123076923,69.773778,76.76244575,81.13141275,10.13722973076923,58.3464015,0,26,13312,16197
