request id,output_toks,user_id,home_gpu,send_time_s,A_target_gpu,A_rerouted,A_e2e_ttft_ms,A_completion_ms,A_prefill_ms,A_queue_wait_ms,B_target_gpu,B_rerouted,B_e2e_ttft_ms,B_completion_ms,B_prefill_ms,B_queue_wait_ms,C_target_gpu,C_rerouted,C_e2e_ttft_ms,C_completion_ms,C_prefill_ms,C_queue_wait_ms,delta_B_minus_A_ttft_ms,delta_C_minus_A_ttft_ms,delta_C_minus_B_ttft_ms,delta_C_minus_B_completion_ms,redirect_group
0,595,17,8,0.0,8,0,361.609295,13478.366424,361.609295,0.0,8,0,361.609295,13478.366424,361.609295,0.0,8,0,361.609295,13478.366424,361.609295,0.0,0.0,0.0,0.0,0.0,neither
1,715,6,3,1.607043,3,0,361.643027,15424.007918,361.609295,0.033732,3,0,361.643027,15424.007918,361.609295,0.033732,3,0,361.643027,15424.007918,361.609295,0.033732,0.0,0.0,0.0,0.0,neither
2,601,16,8,1.698436862,8,0,376.89733,13506.694392,374.011987,2.885343,8,0,376.89733,13506.694392,374.011987,2.885343,8,0,376.89733,13506.694392,374.011987,2.885343,0.0,0.0,0.0,0.0,neither
3,586,11,5,1.734788336,5,0,362.004877,11678.402839,361.609295,0.395582,5,0,362.004877,11678.402839,361.609295,0.395582,5,0,362.004877,11678.402839,361.609295,0.395582,0.0,0.0,0.0,0.0,neither
4,566,3,1,1.933430916,1,0,362.491965,13315.170911,361.609295,0.88267,1,0,362.491965,13315.170911,361.609295,0.88267,1,0,362.491965,13315.170911,361.609295,0.88267,0.0,0.0,0.0,0.0,neither
5,736,15,7,2.098073046,7,0,361.61391,15992.60813,361.609295,0.004615,7,0,361.61391,15992.60813,361.609295,0.004615,7,0,361.61391,15992.60813,361.609295,0.004615,0.0,0.0,0.0,0.0,neither
6,692,17,8,3.007915258,8,0,394.159466,14770.003764,377.463622,16.695844,8,0,394.159466,14770.003764,377.463622,16.695844,8,0,394.159466,14770.003764,377.463622,16.695844,0.0,0.0,0.0,0.0,neither
7,769,6,3,3.117723622,3,0,390.645482,16409.031746,373.993555,16.651927,3,0,390.645482,16409.031746,373.993555,16.651927,3,0,390.645482,16409.031746,373.993555,16.651927,0.0,0.0,0.0,0.0,neither
8,588,0,0,3.153335442,0,0,361.626604,14252.381893,361.609295,0.017309,0,0,361.626604,14252.381893,361.609295,0.017309,0,0,361.626604,14252.381893,361.609295,0.017309,0.0,0.0,0.0,0.0,neither
9,589,17,8,3.476273088,8,0,387.312909,12608.162856,380.971153,6.341756,8,0,387.312909,12608.162856,380.971153,6.341756,8,0,387.312909,12608.162856,380.971153,6.341756,0.0,0.0,0.0,0.0,neither
10,542,11,5,3.788972826,5,0,387.066562,10601.209021,374.050579,13.015983,5,0,387.066562,10601.209021,374.050579,13.015983,5,0,387.066562,10601.209021,374.050579,13.015983,0.0,0.0,0.0,0.0,neither
11,770,0,0,3.849019404,0,0,387.767357,17704.090003,373.906515,13.860842,0,0,387.767357,17704.090003,373.906515,13.860842,0,0,387.767357,17704.090003,373.906515,13.860842,0.0,0.0,0.0,0.0,neither
12,537,3,1,4.017205614,1,0,375.37036,12750.211629,374.052435,1.317925,1,0,375.37036,12750.211629,374.052435,1.317925,1,0,375.37036,12750.211629,374.052435,1.317925,0.0,0.0,0.0,0.0,neither
13,541,1,0,4.195955458,0,0,418.148813,12723.218624,377.31751,40.831303,0,0,418.148813,12723.218624,377.31751,40.831303,0,0,418.148813,12723.218624,377.31751,40.831303,0.0,0.0,0.0,0.0,neither
