user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_communication_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,mean_decode_after_ttft_ms,mean_request_completion_latency_ms,dominant_ttft_bottleneck,communication_bottleneck_count,queueing_bottleneck_count,prefill_bottleneck_count
0,2750.2931836911926,2232.1073814882275,1.0,0.05,0,1090.1252317193375,12,429.55906566666664,390.9565685,623.9836542499999,699.1595660500001,0.0,20.83218975,408.7268759166667,14003.365985666665,14432.925051333334,prefill,0,0,12
1,265.35969683863624,1988.376506866485,1.0,0.05,0,1406.8600845267997,12,431.86193475000005,405.3167155,615.6162358499998,691.87351277,0.0,26.220873833333332,405.6410609166667,14882.626845416666,15314.488780166666,prefill,0,0,12
2,3402.5051651799185,1554.7949981178156,1.0,0.05,1,1692.2944836803865,15,420.16412613333335,403.408997,511.8449935999999,561.92475312,0.0,23.190645266666667,396.97348086666665,14021.146840666666,14441.3109668,prefill,0,0,15
3,3701.8096711688263,2095.070307714877,1.0,0.05,1,1298.3176016383618,15,418.3352395999999,389.66189,562.8016937999997,731.8393547599998,0.0,25.161362266666664,393.17387733333334,15165.185208866667,15583.520448466666,prefill,0,0,15
4,8763.676264726688,3146.778807984779,1.0,0.05,2,1119.544188269797,11,418.96182327272726,381.277443,599.3720625,761.5076621000002,0.0,16.696804818181818,402.26501845454544,14137.889904181819,14556.851727454547,prefill,0,0,11
5,8758.52940378194,2633.890507510908,1.0,0.05,2,672.20499933601,11,422.35263536363635,391.178757,579.1512975,593.6330923,0.0,11.195334272727273,411.1573010909091,13979.605610545454,14401.95824590909,prefill,0,0,11
6,5.718961279435053,3241.560570046731,1.0,0.05,3,1758.448729799221,18,397.17121633333335,397.6754315,412.80765345,417.15960109,0.0,8.299536055555556,388.8716802777778,16101.19760888889,16498.36882522222,prefill,0,0,18
7,856.5345206787878,4859.9046331661375,1.0,0.05,3,867.9159503792722,17,430.95897088235296,407.556021,584.9908901999999,652.1328684399999,0.0,18.282599764705882,412.6763711176471,15524.643674941177,15955.60264582353,prefill,0,0,17
8,4752.8237809873135,5498.035934949439,1.0,0.05,4,1504.3250545706321,25,2875.0294822,425.81577,8923.914283799999,9857.755342239998,0.0,18.29448672,408.95208332,20053.18725432,22928.21673652,prefill,0,0,25
9,4381.00083914504,5175.758410355907,1.0,0.05,4,1062.3082979953008,24,1951.8419361249998,429.3457195,5442.056017349998,8005.783967629998,0.0,38.90554445833334,425.0189569166667,19946.095208125,21897.93714425,prefill,0,0,24
10,5945.191535334412,6193.815103321031,1.0,0.05,5,1394.8911595647273,13,441.4390743846154,403.484049,593.9678353999999,622.8922302799999,0.0,33.03511838461539,408.403956,16471.07510546154,16912.514179846152,prefill,0,0,13
11,7412.309083479308,5516.804211263912,1.0,0.05,5,907.2313428423192,12,458.78030624999997,405.79943549999996,647.196149,659.2192634,0.0,24.233840333333333,434.5464659166667,14250.908871666667,14709.689177916665,prefill,0,0,12
12,9039.285715598931,5455.902892055224,1.0,0.05,6,1063.3999168876094,15,434.0104284666667,394.597534,658.3645163,692.58110486,0.0,27.286980333333332,406.7234481333333,16240.505772733333,16674.5162012,prefill,0,0,15
13,8345.950198860168,5825.09566489794,1.0,0.05,6,1848.4219217711338,15,443.3569751333333,411.000482,579.7792713,590.83471906,0.0,10.935427466666667,432.4215476666667,17173.783760066668,17617.140735200002,prefill,0,0,15
14,3082.583499301337,8989.8148874259,1.0,0.05,7,1794.8731076978372,15,425.1333673333333,403.442264,563.8256319999998,608.340032,0.0,16.696040266666667,408.4373270666667,13993.385214133334,14418.518581466667,prefill,0,0,15
15,1545.5333833220463,9298.810156936745,1.0,0.05,7,1417.2453618828288,14,390.7933132142858,390.4534685,412.0741727,413.55833694,0.0,8.54118342857143,382.25212978571426,15000.326959714284,15391.120272928572,prefill,0,0,14
16,5384.519970927919,7194.299991448455,1.0,0.05,8,792.0505080400233,15,395.94092033333334,398.350202,415.7514676,416.21685112,0.0,6.9146432,389.02627713333334,15045.398139666666,15441.33906,prefill,0,0,15
17,4731.861859093263,9011.808258282543,1.0,0.05,8,1156.5690195674242,15,428.5528940666666,394.159466,616.2065553999997,719.3474270799999,0.0,23.6681228,404.88477126666663,15893.942389933332,16322.495284,prefill,0,0,15
18,8184.234645366642,7511.381375407323,1.0,0.05,9,403.8968611183088,13,432.84089900000004,392.875855,587.8539321999999,611.55065524,0.0,12.509788307692308,420.33111069230773,14551.646485461539,14984.487384461538,prefill,0,0,13
19,7509.644766184729,7700.461885740251,1.0,0.05,9,844.4915278541305,13,423.08508638461535,400.700538,535.6375025999996,686.4326629199996,0.0,24.16182146153846,398.92326492307694,14214.962123538462,14638.047209923077,prefill,0,0,13
