gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated
0,0,1666.667,2113.249,2,24,430.71050020833337,395.954632,686.3620370499996,716.33993024,23.526531791666667,407.1839684166667,0,24,144000,15695
1,1,5000.0,2113.249,2,30,419.24797513333334,395.442376,534.1988270999998,716.1958856700002,24.174296033333334,395.07367910000005,0,30,180000,18889
2,2,8333.333,2113.249,2,22,420.66381704545455,389.593099,595.46275865,759.0555195899998,13.952657272727274,406.7111597727272,0,22,132000,14466
3,3,0.0,5000.0,2,35,413.5824114,403.360898,464.2792491999996,633.2491870599996,13.148452714285714,400.4339586857143,0,35,210000,22625
4,4,3333.333,5000.0,2,41,451.35850839024386,408.192973,701.865398,825.0231458000003,26.219055414634145,425.1394529756098,0,41,246000,26932
5,5,6666.667,5000.0,4,32,578.2763270625,531.9852105,1077.4252772,1248.2753609200001,38.08070228125,539.756434,0,32,192000,21711
6,6,10000.0,5000.0,2,30,438.69997466666666,400.63091,619.1638659999999,683.4416412100001,19.127476766666664,419.5724979,0,30,180000,20405
7,7,1666.667,7886.751,2,29,408.55541017241376,399.581814,493.65080159999974,597.2114319999998,12.759212827586207,395.7961973448276,0,29,174000,18457
8,8,5000.0,7886.751,2,30,412.2469072,395.50881300000003,500.9926094499996,691.7204078800002,15.291383,396.9555242,0,30,180000,19793
9,9,8333.333,7886.751,3,27,479.8727707777777,396.012737,1006.1960025999997,1223.0617809999997,47.18238,432.6563074074074,0,27,162000,16780
