policy,home_gpu_id,destination_gpu_id,redirected,request_count,home_request_count,share_of_home_requests
NEAREST_KV,0,0,0,24,24,1.000000
NEAREST_KV,1,1,0,30,30,1.000000
NEAREST_KV,2,2,0,22,22,1.000000
NEAREST_KV,3,3,0,35,35,1.000000
NEAREST_KV,4,4,0,49,49,1.000000
NEAREST_KV,5,5,0,25,25,1.000000
NEAREST_KV,6,6,0,30,30,1.000000
NEAREST_KV,7,7,0,29,29,1.000000
NEAREST_KV,8,8,0,30,30,1.000000
NEAREST_KV,9,9,0,26,26,1.000000
NEAREST_MIGRATE,0,0,0,24,24,1.000000
NEAREST_MIGRATE,1,1,0,30,30,1.000000
NEAREST_MIGRATE,2,2,0,22,22,1.000000
NEAREST_MIGRATE,3,3,0,34,35,0.971429
NEAREST_MIGRATE,3,4,1,1,35,0.028571
NEAREST_MIGRATE,4,4,0,36,49,0.734694
NEAREST_MIGRATE,4,5,1,13,49,0.265306
NEAREST_MIGRATE,5,5,0,20,25,0.800000
NEAREST_MIGRATE,5,8,1,4,25,0.160000
NEAREST_MIGRATE,5,9,1,1,25,0.040000
NEAREST_MIGRATE,6,5,1,3,30,0.100000
NEAREST_MIGRATE,6,6,0,27,30,0.900000
NEAREST_MIGRATE,7,7,0,29,29,1.000000
NEAREST_MIGRATE,8,7,1,2,30,0.066667
NEAREST_MIGRATE,8,8,0,28,30,0.933333
NEAREST_MIGRATE,9,9,0,26,26,1.000000
NEAREST_MIGRATE_KV,0,0,0,24,24,1.000000
NEAREST_MIGRATE_KV,1,1,0,30,30,1.000000
NEAREST_MIGRATE_KV,2,2,0,22,22,1.000000
NEAREST_MIGRATE_KV,3,3,0,33,35,0.942857
NEAREST_MIGRATE_KV,3,4,1,2,35,0.057143
NEAREST_MIGRATE_KV,4,4,0,36,49,0.734694
NEAREST_MIGRATE_KV,4,5,1,13,49,0.265306
NEAREST_MIGRATE_KV,5,5,0,21,25,0.840000
NEAREST_MIGRATE_KV,5,8,1,3,25,0.120000
NEAREST_MIGRATE_KV,5,9,1,1,25,0.040000
NEAREST_MIGRATE_KV,6,5,1,3,30,0.100000
NEAREST_MIGRATE_KV,6,6,0,27,30,0.900000
NEAREST_MIGRATE_KV,7,7,0,29,29,1.000000
NEAREST_MIGRATE_KV,8,7,1,2,30,0.066667
NEAREST_MIGRATE_KV,8,8,0,28,30,0.933333
NEAREST_MIGRATE_KV,9,9,0,26,26,1.000000
