policy,requests,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,rerouted_n
Cold migrate,300,518.5427145833333,412.07445900000005,917.8950139500002,2369.13549004,2575.127663,24
Wait local,300,2004.0521032233335,410.18104900000003,14021.017747500004,19958.072827389995,24548.445878,0
KV handoff,300,487.0869222300001,410.6481435,785.5977232500001,1338.5955663099994,1434.283991,24
Second-TTFT,300,693.9394342866666,410.5627905,2121.094693700001,7600.624025589994,8714.160618,30
Heuristic one-shot,300,2004.0521032233335,410.18104900000003,14021.017747500004,19958.072827389995,24548.445878,0
"Old formula, no reserve",300,646.32960602,410.1654185,931.7151551000001,7865.935492749999,11870.029153,16
Old formula,300,646.32960602,410.1654185,931.7151551000001,7865.935492749999,11870.029153,16
Phase1 formula,300,542.0821227233333,409.8312645,904.7329736000003,2085.2828211899764,7039.812506,20
Dynamic formula,300,487.0869222300001,410.6481435,785.5977232500001,1338.5955663099994,1434.283991,24
Multi-candidate,300,471.72168660999995,412.095827,747.82329285,932.5839493799997,1267.704366,18
