policy,Communication,Router wait,Scheduler queue,Prefill service,Other / staging
Cold migrate,0.619393,0.0,473.45139766666665,842.827388,1128.8050196666668
Wait local,0.0,0.0,27.484505666666667,417.30829366666666,21637.11427933333
KV handoff,317.33456081775154,0.0,213.38451484891766,648.3681486666667,230.0486053333309
Second-TTFT,211.55637387850103,7648.89988,103.21003045483398,521.2749756666667,0.4594116666654979
Heuristic one-shot,0.0,21635.21423066667,27.484505666666667,417.30829366666666,1.9000486666664074
"Old formula, no reserve",0.0,8893.818830666667,27.498414999999998,466.1577556666667,-3.386036000000786
Old formula,0.0,8893.818830666667,27.498414999999998,466.1577556666667,-3.386036000000786
Phase1 formula,0.0,5086.695427,27.07727033333333,415.721816,-2.540119999999964
Dynamic formula,317.33456081775154,229.713671,213.38451484891766,648.3681486666667,0.33493433333084494
Multi-candidate,211.55637387850103,0.0,316.3854534548327,586.5024613333334,0.9321309999996098
