request id,ttft_ms,winning_selectors,winner_count
0,361.609295,Learned formula|Min waiting|Min pressure|Random,4
1,361.653431,Learned formula|Min waiting|Min pressure|Random,4
2,383.82349,Learned formula|Min waiting|Min pressure|Random,4
3,362.83204,Learned formula|Min waiting|Min pressure|Random,4
4,361.973064,Learned formula|Min waiting|Min pressure|Random,4
5,361.655395,Learned formula|Min waiting|Min pressure|Random,4
6,386.47217,Learned formula|Min waiting|Min pressure|Random,4
7,385.470326,Learned formula|Min waiting|Min pressure|Random,4
8,361.616004,Learned formula|Min waiting|Min pressure|Random,4
9,416.113991,Learned formula|Min waiting|Min pressure|Random,4
10,379.280467,Learned formula|Min waiting|Min pressure|Random,4
11,387.69484,Learned formula|Min waiting|Min pressure|Random,4
12,541.70473,Learned formula|Min waiting|Min pressure|Random,4
13,660.103226,Learned formula|Min waiting|Min pressure|Random,4
14,547.652624,Learned formula|Min waiting|Min pressure|Random,4
15,361.621408,Learned formula|Min waiting|Min pressure|Random,4
16,551.372897,Learned formula|Min waiting|Min pressure|Random,4
17,361.643874,Learned formula|Min waiting|Min pressure|Random,4
18,375.730426,Learned formula|Min waiting|Min pressure|Random,4
19,361.617521,Learned formula|Min waiting|Min pressure|Random,4
20,361.610723,Learned formula|Min waiting|Min pressure|Random,4
21,391.959363,Learned formula|Min waiting|Min pressure|Random,4
22,377.701926,Learned formula|Min waiting|Min pressure|Random,4
23,393.245253,Learned formula|Min waiting|Min pressure|Random,4
24,384.509708,Learned formula|Min waiting|Min pressure|Random,4
25,389.458402,Learned formula|Min waiting|Min pressure|Random,4
26,389.988963,Learned formula|Min waiting|Min pressure|Random,4
27,388.078042,Learned formula|Min waiting|Min pressure|Random,4
28,387.152409,Learned formula|Min waiting|Min pressure|Random,4
29,382.256488,Learned formula|Min waiting|Min pressure|Random,4
30,403.468125,Learned formula|Min waiting|Min pressure|Random,4
31,385.678559,Learned formula|Min waiting|Min pressure|Random,4
32,385.255802,Learned formula|Min waiting|Min pressure|Random,4
33,395.002481,Learned formula|Min waiting|Min pressure|Random,4
34,394.472404,Learned formula|Min waiting|Min pressure|Random,4
35,389.444445,Learned formula|Min waiting|Min pressure|Random,4
36,394.718481,Learned formula|Min waiting|Min pressure|Random,4
37,405.28638,Learned formula|Min waiting|Min pressure|Random,4
38,394.250375,Learned formula|Min waiting|Min pressure|Random,4
39,397.289122,Learned formula|Min waiting|Min pressure|Random,4
40,405.524067,Learned formula|Min waiting|Min pressure|Random,4
41,403.732669,Learned formula|Min waiting|Min pressure|Random,4
42,406.825871,Learned formula|Min waiting|Min pressure|Random,4
43,385.246186,Learned formula|Min waiting|Min pressure|Random,4
44,421.684525,Learned formula|Min waiting|Min pressure|Random,4
45,361.621168,Learned formula|Min waiting|Min pressure|Random,4
46,388.077419,Learned formula|Min waiting|Min pressure|Random,4
47,434.302445,Learned formula|Min waiting|Min pressure|Random,4
48,391.532439,Learned formula|Min waiting|Min pressure|Random,4
49,702.688432,Min pressure,1
50,383.869881,Min pressure,1
51,706.144172,Min waiting,1
52,398.388736,Learned formula|Min waiting|Min pressure|Random,4
53,387.310035,Learned formula|Min waiting|Min pressure|Random,4
54,388.897548,Learned formula|Min waiting|Random,3
55,389.077808,Learned formula|Min waiting,2
56,375.576313,Min waiting|Min pressure|Random,3
57,404.584148,Learned formula|Min waiting|Min pressure|Random,4
58,393.73442,Learned formula|Min waiting|Min pressure|Random,4
59,395.924285,Learned formula|Min pressure|Random,3
60,422.189496,Learned formula|Min pressure|Random,3
61,384.547299,Learned formula,1
62,398.514756,Learned formula|Min waiting|Min pressure|Random,4
63,361.612617,Learned formula|Min pressure|Random,3
64,434.907942,Learned formula|Min waiting|Min pressure|Random,4
65,388.067182,Learned formula|Min waiting|Random,3
66,390.734503,Learned formula|Min waiting|Min pressure|Random,4
67,702.809088,Min pressure,1
68,385.449665,Min waiting|Random,2
69,397.483682,Min waiting|Min pressure,2
70,437.132927,Learned formula|Min waiting|Min pressure|Random,4
71,380.370647,Learned formula|Min waiting|Min pressure|Random,4
72,401.04338,Learned formula|Min waiting|Min pressure|Random,4
73,375.899471,Learned formula|Random,2
74,430.492631,Learned formula|Random,2
75,546.593948,Learned formula|Min waiting,2
76,586.023539,Learned formula|Min waiting,2
77,389.185045,Learned formula|Min pressure|Random,3
78,384.77087,Min pressure,1
79,393.776679,Learned formula|Min waiting|Min pressure|Random,4
80,395.24926,Min waiting,1
81,388.750827,Min pressure,1
82,714.47495,Learned formula,1
83,397.910635,Learned formula|Min waiting|Min pressure|Random,4
84,711.246485,Learned formula,1
85,413.969567,Learned formula|Min waiting|Min pressure|Random,4
86,394.0516,Learned formula|Random,2
87,387.322578,Learned formula|Min pressure|Random,3
88,386.139132,Learned formula|Min waiting|Min pressure,3
89,382.458978,Min waiting|Random,2
90,708.635855,Learned formula,1
91,405.011921,Learned formula|Min pressure,2
92,400.012595,Min waiting,1
93,400.83987,Learned formula|Min waiting|Min pressure|Random,4
94,393.696425,Learned formula|Min waiting|Min pressure|Random,4
95,404.835039,Random,1
96,528.485841,Learned formula|Min pressure,2
97,387.548583,Min waiting,1
98,384.388628,Random,1
99,391.167227,Learned formula|Min waiting|Min pressure,3
100,406.072411,Learned formula|Random,2
101,396.084438,Learned formula|Min waiting|Min pressure,3
102,399.199069,Learned formula|Random,2
103,392.964825,Random,1
104,386.845917,Min waiting|Random,2
105,403.83275,Learned formula|Min waiting|Min pressure|Random,4
106,398.300516,Learned formula|Min waiting|Min pressure,3
107,386.296741,Random,1
108,408.933308,Learned formula|Min waiting|Min pressure|Random,4
109,390.552244,Min waiting|Random,2
110,542.684875,Min pressure,1
111,597.499295,Min pressure,1
112,413.804863,Learned formula,1
113,394.004524,Learned formula|Min waiting|Min pressure,3
114,398.4298,Learned formula|Min waiting|Min pressure|Random,4
115,394.267584,Learned formula|Min waiting,2
116,410.110464,Learned formula,1
117,398.467034,Learned formula|Min waiting|Min pressure|Random,4
118,392.695428,Learned formula|Min waiting|Min pressure|Random,4
119,400.865714,Min waiting,1
120,398.212823,Learned formula|Min waiting|Min pressure|Random,4
121,404.402055,Learned formula|Min waiting|Min pressure|Random,4
122,401.840953,Learned formula|Min waiting|Min pressure|Random,4
123,406.357557,Random,1
124,402.448795,Min waiting|Random,2
125,411.835586,Learned formula|Min waiting|Min pressure|Random,4
126,395.406774,Learned formula|Min waiting,2
127,406.416295,Min pressure,1
128,409.73188,Learned formula|Min waiting|Min pressure|Random,4
129,419.467715,Learned formula|Random,2
130,413.306074,Min pressure,1
131,412.322556,Min waiting,1
132,544.002604,Random,1
133,735.876299,Random,1
134,403.87181,Min waiting|Random,2
135,404.285958,Learned formula|Min waiting,2
136,404.590538,Min pressure,1
137,568.686446,Learned formula|Min waiting|Min pressure|Random,4
138,758.316789,Learned formula|Min waiting|Min pressure|Random,4
139,404.148673,Learned formula|Min waiting|Min pressure|Random,4
140,403.337588,Learned formula|Random,2
141,413.009037,Min pressure,1
142,406.592856,Learned formula|Min waiting|Min pressure|Random,4
143,405.935551,Random,1
144,412.286829,Min waiting,1
145,401.292366,Random,1
146,484.211172,Min waiting,1
147,565.168804,Learned formula|Min waiting|Min pressure|Random,4
148,701.091563,Learned formula|Min waiting|Min pressure|Random,4
149,932.236517,Learned formula|Min waiting|Min pressure|Random,4
150,1111.445138,Learned formula|Min waiting|Min pressure|Random,4
151,419.36001,Learned formula|Min waiting|Min pressure,3
152,394.86265,Min pressure,1
153,414.065649,Learned formula,1
154,732.143659,Random,1
155,399.403,Random,1
156,721.994,Random,1
157,408.080081,Learned formula,1
158,389.472449,Min waiting|Min pressure|Random,3
159,396.68169,Random,1
160,429.671979,Learned formula|Min waiting|Min pressure|Random,4
161,715.337394,Min waiting,1
162,405.982791,Min waiting,1
163,555.917615,Min waiting|Min pressure|Random,3
164,701.722167,Min waiting|Min pressure|Random,3
165,720.321294,Min pressure,1
166,411.492622,Min pressure,1
167,405.553957,Random,1
168,411.026164,Min pressure,1
169,563.973644,Learned formula|Random,2
170,697.930463,Min pressure,1
171,407.535636,Learned formula,1
172,404.937672,Min waiting|Min pressure|Random,3
173,729.700422,Min pressure,1
174,547.563145,Learned formula,1
175,711.36457,Min waiting,1
176,575.646132,Random,1
177,420.567462,Min pressure,1
178,384.765423,Random,1
179,419.828687,Learned formula,1
180,402.444567,Min waiting|Min pressure|Random,3
181,406.904583,Random,1
182,421.952156,Random,1
183,396.917869,Min pressure,1
184,408.428033,Min waiting|Random,2
185,409.769217,Min waiting,1
186,372.383522,Min waiting,1
187,508.31922,Min waiting,1
188,547.762995,Learned formula|Min waiting,2
189,703.717375,Learned formula|Min waiting,2
190,405.304678,Min waiting|Min pressure|Random,3
191,413.384435,Min waiting,1
192,417.230417,Learned formula|Min waiting|Min pressure|Random,4
193,420.842846,Learned formula|Min waiting|Min pressure|Random,4
194,392.084054,Random,1
195,420.18942,Min pressure,1
196,397.553409,Random,1
197,713.827268,Min pressure,1
198,383.987026,Min waiting|Random,2
199,417.788105,Learned formula|Min waiting|Min pressure|Random,4
200,568.010604,Min waiting|Min pressure|Random,3
201,735.305418,Min waiting|Min pressure|Random,3
202,398.940257,Min waiting|Random,2
203,422.835054,Min waiting,1
204,407.966373,Min waiting,1
205,420.729241,Random,1
206,410.300712,Min waiting,1
207,400.662936,Min waiting|Random,2
208,386.344374,Random,1
209,399.854117,Learned formula,1
210,428.930304,Min waiting|Min pressure|Random,3
211,384.984964,Random,1
212,386.852634,Min waiting,1
213,404.624769,Min pressure,1
214,427.83909,Min waiting|Min pressure|Random,3
215,404.572759,Min pressure,1
216,439.424979,Min pressure,1
217,407.751156,Random,1
218,404.425437,Random,1
219,409.723213,Min pressure,1
220,391.617017,Min waiting,1
