method,method_label,subset,request_count,Router queue,Scheduler queue,KV transfer,Compute / prefill,RTT / other comm,Total
NEAREST_KV,Nearest KV,All requests,300,1563.3613279466667,24.38328175666667,0.0,416.30749352,0.0,2004.0521032233335
NEAREST_MIGRATE,Migrate,All requests,300,18.96776842,42.08782916,0.0,457.43756556333335,0.04955144,518.5427145833333
NEAREST_MIGRATE_KV,Migrate + KV,All requests,300,5.274225489999882,29.943301901246667,25.33721342542012,426.48262997333336,0.04955144000000189,487.08692223
NEAREST_SECOND_TTFT_RESERVE_T160K_I1M,Second TTFT reserve,All requests,300,237.5909018299997,19.5423744548917,31.67151678177515,405.07270192000004,0.06193930000000236,693.9394342866666
NEAREST_CAPACITY_ONESHOT_KV_RESERVE_T160K_I1M_M200MS_D1S,Capacity oneshot,All requests,300,1563.3613279466667,24.38328175666667,0.0,416.30749352,0.0,2004.0521032233335
NEAREST_CAPACITY_ONESHOT_FORMULA_KV_RESERVE_M200MS_D1S_MODEL20260716,Capacity formula,All requests,300,175.59706728999998,29.216349099719974,16.89147561694675,424.59167972,0.03303429333333341,646.32960602
NEAREST_MIGRATE,Migrate,Redirected only,24,208.8125633333333,138.987821375,0.0,833.1972806666666,0.619393,1181.617058375
NEAREST_MIGRATE_KV,Migrate + KV,Redirected only,24,44.47564408333179,71.54699822391669,316.71516781775154,479.399110375,0.6193930000000023,912.7563135
NEAREST_SECOND_TTFT_RESERVE_T160K_I1M,Second TTFT reserve,Redirected only,30,1062.925509566665,29.998301615583674,316.71516781775154,422.0662768,0.6193930000000023,1832.3246488
NEAREST_CAPACITY_ONESHOT_FORMULA_KV_RESERVE_M200MS_D1S_MODEL20260716,Capacity formula,Redirected only,16,1.5414734999989577,71.01877443224954,316.71516781775154,477.7327785625,0.6193930000000023,867.6275873125
NEAREST_KV,Nearest KV,Not redirected only,300,1563.3613279466667,24.38328175666667,0.0,416.30749352,0.0,2004.0521032233335
NEAREST_MIGRATE,Migrate,Not redirected only,276,2.459525384057976,33.66174288043478,0.0,424.7628077282609,0.0,460.88407599275365
NEAREST_MIGRATE_KV,Migrate + KV,Not redirected only,276,1.8654064818840226,26.32558917753623,0.0,421.88119689492754,0.0,450.0721925543478
NEAREST_SECOND_TTFT_RESERVE_T160K_I1M,Second TTFT reserve,Not redirected only,270,145.8870565259259,18.380604770370372,0.0,403.18452693333336,0.0,567.4521882296297
NEAREST_CAPACITY_ONESHOT_KV_RESERVE_T160K_I1M_M200MS_D1S,Capacity oneshot,Not redirected only,300,1563.3613279466667,24.38328175666667,0.0,416.30749352,0.0,2004.0521032233335
NEAREST_CAPACITY_ONESHOT_FORMULA_KV_RESERVE_M200MS_D1S_MODEL20260716,Capacity formula,Not redirected only,284,185.40301623591552,26.861282883802815,0.0,421.59781499647886,0.0,633.8621141161972
