gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated
0,0,1666.667,2113.249,5,29,530.9802949655173,419.945156,876.2692258,917.02209636,32.14633568659473,443.64311013793105,0,29,174000,19073
1,1,5000.0,2113.249,4,32,490.31626078125,420.1911175,821.75556925,889.3213579500001,31.371669542640685,439.01247575,0,32,192000,20075
2,2,8333.333,2113.249,3,25,471.71898688,398.300516,723.0491664,850.3944193999997,22.833395541870118,410.6438058,0,25,150000,16449
3,3,0.0,5000.0,3,33,445.4576853939394,409.723213,715.2591467999999,824.1139042399999,21.749759581280216,414.02574227272726,0,33,198000,21382
4,4,3333.333,5000.0,2,37,463.58344597297304,409.73188,747.320553799999,1046.93003444,31.404049135135136,432.1793968378378,0,37,222000,24035
5,5,6666.667,5000.0,3,26,488.79698280769236,412.0741315,696.48094025,711.476443,29.083120507009507,447.5082618076923,0,26,156000,17590
6,6,10000.0,5000.0,2,27,455.65886533333327,404.937672,663.0661706999999,726.57377274,26.832534592592594,428.82633074074073,0,27,162000,18569
7,7,1666.667,7886.751,3,30,432.56887943333334,408.185107,639.4116201499996,701.39428675,21.405877106074907,400.2849492666667,0,30,180000,19170
8,8,5000.0,7886.751,3,31,451.13822638709667,413.306074,666.4086414999999,985.3790888999998,28.074938876846684,412.74968135483874,0,31,186000,20562
9,9,8333.333,7886.751,4,30,481.65992343333335,409.5341345,728.7005085,750.01804257,25.108162324300128,414.03562519999997,0,30,180000,18848
