gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated
0,0,1666.667,2113.249,5,28,513.2727857857142,424.123668,749.70264635,908.67555702,32.37979141889286,435.0673893214286,0,28,168000,18158
1,1,5000.0,2113.249,3,31,479.10013380645154,406.904583,691.9453785000001,954.9834969999998,28.924932812330557,439.705770516129,0,31,186000,19523
2,2,8333.333,2113.249,4,25,487.7445076,405.777918,895.6375194,904.28378656,25.83027354186981,423.38315392000004,0,25,150000,16709
3,3,0.0,5000.0,3,34,448.23068185294113,417.9850175,708.3827751499999,820.2820774100003,24.047020240654327,414.80496691176467,0,34,204000,22170
4,4,3333.333,5000.0,2,37,463.58344597297304,409.73188,747.320553799999,1046.93003444,31.404049135135136,432.1793968378378,0,37,222000,24035
5,5,6666.667,5000.0,5,30,545.3576655666666,495.20523000000003,827.4269886499995,1012.8195289800002,36.70958693037503,455.5033249,0,30,180000,20463
6,6,10000.0,5000.0,2,27,455.65886533333327,404.937672,663.0661706999999,726.57377274,26.832534592592594,428.82633074074073,0,27,162000,18569
7,7,1666.667,7886.751,3,30,434.47509633333334,408.391522,640.0712606499997,721.78369662,22.713735939408366,401.12547493333335,0,30,180000,18994
8,8,5000.0,7886.751,2,30,418.5869108666666,403.783885,497.33994269999965,695.2940711100002,16.6606203,401.92629056666664,0,30,180000,19793
9,9,8333.333,7886.751,4,28,493.4407075714285,401.702847,867.5255132999997,1073.36312231,35.19247987016078,435.5554420714286,0,28,168000,17339
