gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated
0,0,1666.667,2113.249,7,33,560.4753430000001,537.757799,765.9763926,903.8882871599999,31.146738843105894,432.61405818181817,0,33,198000,21561
1,1,5000.0,2113.249,6,37,556.4170490540541,435.993686,856.7268147999987,1348.7836775200003,31.242264250695925,464.85758535135136,0,37,222000,23614
2,2,8333.333,2113.249,3,23,449.71173591304347,393.776679,706.2247365999999,864.7973271400002,25.27228631227178,410.56461895652177,0,23,138000,15235
3,3,0.0,5000.0,2,33,423.20724048484846,412.322556,513.3196807999999,656.93465052,18.09189306060606,405.11534742424243,0,33,198000,21281
4,4,3333.333,5000.0,2,37,463.58344597297304,409.73188,747.320553799999,1046.93003444,31.404049135135136,432.1793968378378,0,37,222000,24035
5,5,6666.667,5000.0,2,25,479.31216552000006,412.189868,678.0371442000001,697.5544298799999,29.65981644,449.65234907999996,0,25,150000,17011
6,6,10000.0,5000.0,2,27,455.65886533333327,404.937672,663.0661706999999,726.57377274,26.832534592592594,428.82633074074073,0,27,162000,18569
7,7,1666.667,7886.751,2,29,422.94719593103446,407.966373,546.6983141999998,665.7432289199999,23.256123379310342,399.6910725517241,0,29,174000,18457
8,8,5000.0,7886.751,2,30,418.5869108666666,403.783885,497.33994269999965,695.2940711100002,16.6606203,401.92629056666664,0,30,180000,19793
9,9,8333.333,7886.751,2,26,437.55343246153836,399.779068,643.84257875,735.9612475,24.236191653846152,413.3172408076923,0,26,156000,16197
