user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_communication_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,mean_decode_after_ttft_ms,mean_request_completion_latency_ms,dominant_ttft_bottleneck,communication_bottleneck_count,queueing_bottleneck_count,prefill_bottleneck_count
0,2750.2931836911926,2232.1073814882275,1.0,0.05,0,1090.1252317193375,12,458.51954675,405.8831245,658.7472061499999,747.6045756300001,0.0,28.024366083333334,430.49518066666667,16121.287654,16579.80720075,prefill,0,0,12
1,265.35969683863624,1988.376506866485,1.0,0.05,0,1406.8600845267997,12,546.4944165833334,433.471445,919.5387228499998,1072.1933141700003,26.44454673481263,48.514866265187585,471.3629453333333,18760.680358166668,19307.149726833333,prefill,0,0,12
2,3402.5051651799185,1554.7949981178156,1.0,0.05,1,1692.2944836803865,15,476.9309914000001,413.108774,612.802796,617.329304,0.0,15.652011400000001,461.27898,16697.5844678,17174.5154592,prefill,0,0,15
3,3701.8096711688263,2095.070307714877,1.0,0.05,1,1298.3176016383618,15,480.3533221333333,421.215101,683.1188967999999,771.27920176,0.0,28.365034066666666,451.98828806666666,18845.113653866665,19325.466976,prefill,0,0,15
4,8763.676264726688,3146.778807984779,1.0,0.05,2,1119.544188269797,11,436.0770606363636,391.617017,652.6243845,856.9834633000002,0.0,28.31073554545455,407.76632509090905,15134.482008181818,15570.559068818182,prefill,0,0,11
5,8758.52940378194,2633.890507510908,1.0,0.05,2,672.20499933601,11,439.55978990909097,398.300516,611.2900195,650.2309927,0.0,23.308114272727273,416.25167563636364,14876.392258,15315.95204790909,prefill,0,0,11
6,5.718961279435053,3241.560570046731,1.0,0.05,3,1758.448729799221,18,409.38535299999995,408.7021355,440.4933072999999,475.4675990599999,0.0,15.786637888888889,393.5987151111111,17647.931904111112,18057.31725711111,prefill,0,0,18
7,856.5345206787878,4859.9046331661375,1.0,0.05,3,867.9159503792722,17,475.81962394117653,415.029998,745.6703646,746.40668012,37.333477743264886,19.89329619791188,418.243919,16706.034561470588,17181.81882364706,prefill,0,0,17
8,4752.8237809873135,5498.035934949439,1.0,0.05,4,1504.3250545706321,25,571.4130359200001,417.788105,960.0311073999999,1359.078156999999,101.54705946168049,27.163454898319856,442.2796982,18883.65851868,19454.975370599997,prefill,0,0,25
9,4381.00083914504,5175.758410355907,1.0,0.05,4,1062.3082979953008,24,522.9453583333333,429.63612850000004,742.37782005,1026.6020606499999,52.88909346962526,42.68729007204136,427.10199183333333,18799.536749833333,19322.43201233333,prefill,0,0,24
10,5945.191535334412,6193.815103321031,1.0,0.05,5,1394.8911595647273,13,476.203528,407.564312,635.5019431999999,669.52596704,0.0,28.95859623076923,447.2449317692308,17952.146173,18428.349701,prefill,0,0,13
11,7412.309083479308,5516.804211263912,1.0,0.05,5,907.2313428423192,12,482.67985616666675,417.428819,689.5939591,700.89269182,0.0,30.419471666666666,452.2603845,15099.831164833335,15582.511021,prefill,0,0,12
12,9039.285715598931,5455.902892055224,1.0,0.05,6,1063.3999168876094,15,474.3802675333333,402.444567,726.5496079999999,733.554256,21.155637387850103,30.185844812150066,422.9536061333333,17348.01947533333,17822.379704533334,prefill,0,0,15
13,8345.950198860168,5825.09566489794,1.0,0.05,6,1848.4219217711338,15,492.44511800000004,424.612661,736.1089751,742.5158662199999,42.311274775700205,21.55207502430013,428.3042336666667,18302.648104066666,18795.0531454,prefill,0,0,15
14,3082.583499301337,8989.8148874259,1.0,0.05,7,1794.8731076978372,15,438.68117506666664,406.150335,611.2255652999999,683.91578346,0.0,25.884058666666668,412.7971164,15451.8877952,15890.568970266666,prefill,0,0,15
15,1545.5333833220463,9298.810156936745,1.0,0.05,7,1417.2453618828288,14,406.0893611428572,408.867795,457.78258774999995,498.2118935499999,0.0,20.440478428571428,385.6488827142857,16068.154634714285,16474.243995857145,prefill,0,0,14
16,5384.519970927919,7194.299991448455,1.0,0.05,8,792.0505080400233,15,405.66063700000007,403.69596,425.4212262,430.00780764,0.0,10.796508733333333,394.8641282666666,16366.493858799999,16772.154495799998,prefill,0,0,15
17,4731.861859093263,9011.808258282543,1.0,0.05,8,1156.5690195674242,15,431.51318473333333,403.87181,612.2532692999998,725.67485226,0.0,22.524731866666666,408.98845286666665,17437.086611466668,17868.5997962,prefill,0,0,15
18,8184.234645366642,7511.381375407323,1.0,0.05,9,403.8968611183088,13,439.44569269230766,398.212823,608.7697167999999,656.8696417599999,0.0,18.555141076923075,420.89055161538465,15625.371534384614,16064.817227076923,prefill,0,0,13
19,7509.644766184729,7700.461885740251,1.0,0.05,9,844.4915278541305,13,435.6611722307692,401.840953,595.8062735999996,725.8146859199996,0.0,29.917242230769233,405.74393,15521.563194692308,15957.224366923077,prefill,0,0,13
