gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated
0,0,1666.667,2113.249,2,24,457.85200154166665,404.8835855,721.3610455499999,751.3923170200001,32.75941075,425.0925907916667,0,24,144000,15695
1,1,5000.0,2113.249,2,30,456.27209856666667,408.163764,588.7887601,730.7647978800002,25.996603133333334,430.27549543333333,0,30,180000,18889
2,2,8333.333,2113.249,2,22,436.46608381818174,392.618312,650.4032343499999,851.2251791299998,24.73175018181818,411.7343336363636,0,22,132000,14466
3,3,0.0,5000.0,2,34,518.586049,411.8541545,1225.0489265499998,1796.7795365900015,18.388609352941177,405.91591705882354,0,34,204000,21949
4,4,3333.333,5000.0,3,39,1119.3764655641028,415.186793,7330.171276900001,7980.522452499999,33.11353449185259,433.42667858974363,0,39,234000,25611
5,5,6666.667,5000.0,6,36,1304.9192486944444,700.3857350000001,6491.827096999999,10596.135586949995,48.395120093589995,470.8514713611111,0,36,216000,24393
6,6,10000.0,5000.0,2,28,461.26229846428566,405.121175,670.5136560999998,726.23794023,26.851204035714286,428.31352121428574,0,28,168000,19176
7,7,1666.667,7886.751,2,29,422.8800200689655,407.888449,546.6203901999999,665.6653049199998,23.18894751724138,399.6910725517241,0,29,174000,18457
8,8,5000.0,7886.751,3,31,431.503372516129,408.377318,654.170011,767.8353268999999,17.95403778007261,403.29140793548385,0,31,186000,20337
9,9,8333.333,7886.751,3,27,474.0683964814815,398.514756,755.5417875999999,1241.5217301599992,37.58996389563893,424.7249472592593,0,27,162000,16780
