gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated
0,0,1666.667,2113.249,2,24,457.851995875,404.8835855,721.3610455499999,751.39229084,32.759405083333334,425.0925907916667,0,24,144000,15695
1,1,5000.0,2113.249,2,30,456.27209856666667,408.163764,588.7887601,730.7647978800002,25.996603133333334,430.27549543333333,0,30,180000,18889
2,2,8333.333,2113.249,2,22,436.46608381818174,392.618312,650.4032343499999,851.2251791299998,24.73175018181818,411.7343336363636,0,22,132000,14466
3,3,0.0,5000.0,2,35,608.8046073142858,413.384435,1502.2773790999977,3062.651208379995,20.26923765714286,407.32091071428573,0,35,210000,22625
4,4,3333.333,5000.0,2,49,9693.51002377551,11122.199159,20246.3348734,22967.835979279986,23.36351887755102,408.4249775102041,0,49,294000,32215
5,5,6666.667,5000.0,2,25,479.31216552000006,412.189868,678.0371442000001,697.5544298799999,29.65981644,449.65234907999996,0,25,150000,17011
6,6,10000.0,5000.0,2,30,748.8764184666667,411.4250945,2858.3399013499893,4741.15412378,26.886399433333334,427.27210306666666,0,30,180000,20405
7,7,1666.667,7886.751,2,29,422.8800200689655,407.888449,546.6203901999999,665.6653049199998,23.18894751724138,399.6910725517241,0,29,174000,18457
8,8,5000.0,7886.751,2,30,418.5869108666666,403.783885,497.33994269999965,695.2940711100002,16.6606203,401.92629056666664,0,30,180000,19793
9,9,8333.333,7886.751,2,26,437.55343246153836,399.779068,643.84257875,735.9612475,24.236191653846152,413.3172408076923,0,26,156000,16197
