user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_communication_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,mean_decode_after_ttft_ms,mean_request_completion_latency_ms,dominant_ttft_bottleneck,communication_bottleneck_count,queueing_bottleneck_count,prefill_bottleneck_count
0,2750.2931836911926,2232.1073814882275,1.0,0.05,0,1090.1252317193375,12,449.60266500000006,400.4619025,648.8000403499999,735.4669208700001,0.0,26.57532116666667,423.0273438333333,14619.326585333334,15068.929250333334,prefill,0,0,12
1,265.35969683863624,1988.376506866485,1.0,0.05,0,1406.8600845267997,12,466.10132675,414.8045575,692.5338363499999,724.2437664700001,0.0,38.943489,427.15783775,16222.43242325,16688.53375,prefill,0,0,12
2,3402.5051651799185,1554.7949981178156,1.0,0.05,1,1692.2944836803865,15,456.8169950666666,409.719329,578.3763277,593.45446714,0.0,26.338094733333335,430.4789003333333,15001.415922466667,15458.232917533333,prefill,0,0,15
3,3701.8096711688263,2095.070307714877,1.0,0.05,1,1298.3176016383618,15,455.7272020666667,405.524067,640.5282029999997,756.3533445999999,0.0,25.655111533333336,430.0720905333334,16435.951355533332,16891.6785576,prefill,0,0,15
4,8763.676264726688,3146.778807984779,1.0,0.05,2,1119.544188269797,11,433.5346287272727,387.310035,648.6594135,852.3833251000002,0.0,26.979645636363635,406.55498309090905,14958.624677363636,15392.15930609091,prefill,0,0,11
5,8758.52940378194,2633.890507510908,1.0,0.05,2,672.20499933601,11,439.3975389090909,398.300516,606.5946395,645.5356127,0.0,22.48385472727273,416.9136841818182,14754.01857890909,15193.416117818182,prefill,0,0,11
6,5.718961279435053,3241.560570046731,1.0,0.05,3,1758.448729799221,18,410.2530358888889,411.13494649999996,440.82087944999995,475.5331134899999,0.0,15.413245833333335,394.83979005555557,18234.33974188889,18644.59277777778,prefill,0,0,18
7,856.5345206787878,4859.9046331661375,1.0,0.05,3,867.9159503792722,17,819.0356829411764,427.785871,2363.445921599999,3336.25327712,0.0,25.41087605882353,420.53621494117647,17852.278548235296,18671.31423117647,prefill,0,0,17
8,4752.8237809873135,5498.035934949439,1.0,0.05,4,1504.3250545706321,25,10818.616743479999,13035.925424,21092.760224999998,23758.140928639994,0.0,22.3263588,406.03873892,21476.13589668,32294.75264016,prefill,0,0,25
9,4381.00083914504,5175.758410355907,1.0,0.05,4,1062.3082979953008,24,8521.523857416667,9228.8540225,16033.312217099998,19086.35936978,0.0,24.443893958333334,410.91064270833334,21017.279933916667,29538.803791333332,prefill,0,0,24
10,5945.191535334412,6193.815103321031,1.0,0.05,5,1394.8911595647273,13,476.203528,407.564312,635.5019431999999,669.52596704,0.0,28.95859623076923,447.2449317692308,17952.146173,18428.349701,prefill,0,0,13
11,7412.309083479308,5516.804211263912,1.0,0.05,5,907.2313428423192,12,482.67985616666675,417.428819,689.5939591,700.89269182,0.0,30.419471666666666,452.2603845,15099.831164833335,15582.511021,prefill,0,0,12
12,9039.285715598931,5455.902892055224,1.0,0.05,6,1063.3999168876094,15,729.1553865333333,402.444567,1878.040963499996,4011.1473150999977,0.0,31.006900266666666,424.63600686666666,17978.528835933335,18707.68422246667,prefill,0,0,15
13,8345.950198860168,5825.09566489794,1.0,0.05,6,1848.4219217711338,15,768.5974504000001,424.612661,2004.752012499996,4258.157379299998,0.0,22.7658986,429.90819926666666,19138.289280933335,19906.886731333332,prefill,0,0,15
14,3082.583499301337,8989.8148874259,1.0,0.05,7,1794.8731076978372,15,438.608446,406.072411,611.1476412999998,683.8378594599999,0.0,25.8113296,412.7971164,15451.8877952,15890.4962412,prefill,0,0,15
15,1545.5333833220463,9298.810156936745,1.0,0.05,7,1417.2453618828288,14,406.02813514285714,408.78987099999995,457.70466374999995,498.1339695499999,0.0,20.37925242857143,385.6488827142857,16068.154634714285,16474.182769857143,prefill,0,0,14
16,5384.519970927919,7194.299991448455,1.0,0.05,8,792.0505080400233,15,405.66063700000007,403.69596,425.4212262,430.00780764,0.0,10.796508733333333,394.8641282666666,16366.493858799999,16772.154495799998,prefill,0,0,15
17,4731.861859093263,9011.808258282543,1.0,0.05,8,1156.5690195674242,15,431.51318473333333,403.87181,612.2532692999998,725.67485226,0.0,22.524731866666666,408.98845286666665,17437.086611466668,17868.5997962,prefill,0,0,15
18,8184.234645366642,7511.381375407323,1.0,0.05,9,403.8968611183088,13,439.44569269230766,398.212823,608.7697167999999,656.8696417599999,0.0,18.555141076923075,420.89055161538465,15625.371534384614,16064.817227076923,prefill,0,0,13
19,7509.644766184729,7700.461885740251,1.0,0.05,9,844.4915278541305,13,435.6611722307692,401.840953,595.8062735999996,725.8146859199996,0.0,29.917242230769233,405.74393,15521.563194692308,15957.224366923077,prefill,0,0,13
