gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated
0,0,1666.667,2113.249,4,26,472.2877827307692,409.3559215,731.26793975,743.7199687499999,23.380719559490498,411.95313,0,26,156000,16969
1,1,5000.0,2113.249,3,28,426.0958511071429,404.406392,545.5708611,671.4457743400001,16.54991900650896,398.04012875,0,28,168000,17615
2,2,8333.333,2113.249,2,21,397.95677571428575,391.714791,465.427874,471.4972788,14.370974095238095,383.58580161904763,0,21,126000,13699
3,3,0.0,5000.0,2,33,444.2810126666667,412.286829,585.4742055999996,1054.9152491599998,15.157487151515152,396.9704875151515,0,33,198000,21453
4,4,3333.333,5000.0,3,41,1410.1092490975611,422.488156,6271.743405,8265.920386400001,20.44729937474395,418.5650994878049,0,41,246000,26695
5,5,6666.667,5000.0,8,34,1366.3122158529413,600.808456,5956.429883099992,8395.181778670001,31.46215805099263,434.13266858823533,0,34,204000,22153
6,6,10000.0,5000.0,3,28,436.11905014285725,402.7416525,665.4961548999997,740.32588055,20.099339827937538,404.6367594642857,0,28,168000,19383
7,7,1666.667,7886.751,3,29,416.9785249310345,406.072411,469.46629979999994,671.9911777199998,16.26344145456038,389.6733074827586,0,29,174000,18668
8,8,5000.0,7886.751,4,33,615.012071969697,417.060357,1573.8132023999974,3257.2212519999994,13.530292997310639,397.29867845454544,0,33,198000,22160
9,9,8333.333,7886.751,3,27,447.5961052592593,401.840953,727.4927366,752.39304364,22.23906405053711,401.7661587777778,0,27,162000,16958
