gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated
0,0,1666.667,2113.249,2,24,802.1604430000001,725.7384930000001,1282.443701249999,1364.90278788,56.476500208333334,745.6839427916666,0,24,240000,15695
1,1,5000.0,2113.249,2,30,1028.8794000333332,725.957232,2408.7201224999926,5009.2592390300015,19.116351866666665,754.7773933,0,30,300000,18889
2,2,8333.333,2113.249,2,22,769.7345276363637,703.6823785,1154.7157447999998,1512.1192022099997,42.289375590909096,727.4451520454545,0,22,220000,14466
3,3,0.0,5000.0,2,35,942.7039687142857,721.103149,2403.8667522999995,3844.362230479993,21.4703836,717.3485849142857,0,35,350000,22625
4,4,3333.333,5000.0,2,49,13659.669353775509,13006.651621,28470.042654799967,32590.089698519994,31.18768151020408,733.1976966938776,0,49,490000,32215
5,5,6666.667,5000.0,2,25,1093.05741888,734.460405,1221.8699132,5873.096906679988,56.57317844,773.19347136,0,25,250000,17011
6,6,10000.0,5000.0,2,30,1515.0967910333334,725.94699,6408.708250799999,9288.761750300004,36.04934326666667,744.811612,0,30,300000,20405
7,7,1666.667,7886.751,2,29,741.7540583793102,719.81037,889.1397946,1116.7571638799996,26.81002920689655,714.9440291724138,0,29,290000,18457
8,8,5000.0,7886.751,2,30,1008.7663290333334,717.672251,1169.4985453999989,6559.965468610007,25.076560699999998,719.5539703,0,30,300000,19793
9,9,8333.333,7886.751,2,26,768.2157770384615,719.5614875,1092.948212,1293.05373,37.38132696153846,730.8344500769231,0,26,260000,16197
