method,method_label,subset,request_count,Router queue,Scheduler queue,KV transfer,Compute / prefill,RTT / other comm,Total
NEAREST_KV,Nearest KV,All requests,300,2277.2929256566667,33.78821524,0.0,735.2443139400001,0.0,3046.3254548366667
NEAREST_MIGRATE,Migrate,All requests,300,114.28774707333324,45.37427618,0.0,807.7982274933333,0.06944905,967.5296997966666
NEAREST_MIGRATE_KV,Migrate + KV,All requests,300,50.46476120000023,35.2459928999485,49.30073503671796,739.2887133833333,0.058926466666662236,874.3591289866666
NEAREST_SECOND_TTFT_RESERVE_T160K_I1M,Second TTFT reserve,All requests,300,427.58286487,41.971759200923,28.17184859241026,741.1871225733333,0.03367226666666312,1238.9472675033333
NEAREST_MIGRATE,Migrate,Redirected only,33,817.8263577272726,79.97985124242425,0.0,1364.5784167575757,0.631355,2263.0159807272726
NEAREST_MIGRATE_KV,Migrate + KV,Redirected only,28,294.4035742500024,69.64783510659109,528.2221611076924,767.8361863214285,0.631354999999985,1660.7411117857143
NEAREST_SECOND_TTFT_RESERVE_T160K_I1M,Second TTFT reserve,Redirected only,16,3732.6861834375018,199.24866320480632,528.2221611076924,831.2098740625,0.631354999999985,5291.9982368125
NEAREST_KV,Nearest KV,Not redirected only,300,2277.2929256566667,33.78821524,0.0,735.2443139400001,0.0,3046.3254548366667
NEAREST_MIGRATE,Migrate,Not redirected only,267,27.333536767790214,41.0971826329588,0.0,738.9826984831461,0.0,807.4134178838951
NEAREST_MIGRATE_KV,Migrate + KV,Not redirected only,272,25.353412797794082,31.70462679044118,0.0,736.3500029338236,0.0,793.4080425220588
NEAREST_SECOND_TTFT_RESERVE_T160K_I1M,Second TTFT reserve,Not redirected only,284,241.37986100704222,33.1110885528169,0.0,736.1154182640845,0.0,1010.6063678239436
