gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated
0,0,1666.667,2113.249,4,26,866.7443563846153,727.6585295,1387.0543275,1722.667228,69.2292800301772,756.8338983076923,0,26,260000,17002
1,1,5000.0,2113.249,2,28,774.1584548214286,719.4745625,985.4202368499999,1012.34994625,18.851283071428572,755.30717175,0,28,280000,17582
2,2,8333.333,2113.249,2,22,769.7338112272727,703.670408,1154.7161267999998,1512.1195842099996,42.28865918181818,727.4451520454545,0,22,220000,14466
3,3,0.0,5000.0,2,33,736.1936046666667,718.789071,829.3068511999999,1133.01015404,20.92525890909091,715.2683457575757,0,33,330000,21383
4,4,3333.333,5000.0,3,40,1988.955233025,739.1146965,8646.16441679999,13951.133788699999,23.79860979461517,736.1243937749999,0,40,400000,26839
5,5,6666.667,5000.0,5,37,2033.022010189189,1236.988739,9250.689674599991,11603.7851938,58.17416250270204,765.9191754054054,0,37,370000,24187
6,6,10000.0,5000.0,2,28,899.6562485714286,724.5403965,1258.3514695499998,3255.791263580001,39.10152742857142,744.9433730357142,0,28,280000,19102
7,7,1666.667,7886.751,3,30,759.0577037999999,721.956338,1062.5621242999991,1236.39825944,25.346987596410113,715.9570312666666,0,30,300000,19226
8,8,5000.0,7886.751,3,30,759.9124111666669,721.4892159999999,1101.487003499999,1334.4560157800001,23.912940096410114,718.3710179666667,0,30,300000,19745
9,9,8333.333,7886.751,3,26,786.5577431923077,720.8510685,1225.070763,1318.88975175,35.12485711124244,731.0922006538461,0,26,260000,16221
