feature_set,fold,test_scenario,target,group,n_test,full_mae_ms,ablated_mae_ms,mae_increase_ms,full_r2,partial_r2
common,0,2026-07-13_prompt6000_three_policy,router_queue_ms,request_demand,900,5410.610803176065,6450.028400072729,1039.4175968966638,-0.3331572160189291,0.2958950760528465
common,0,2026-07-13_prompt6000_three_policy,router_queue_ms,nominal_reuse,900,5410.610803176065,6288.693221205935,878.0824180298696,-0.3331572160189291,0.29151712182612766
common,0,2026-07-13_prompt6000_three_policy,router_queue_ms,realized_reuse,900,5410.610803176065,5640.851789662984,230.2409864869187,-0.3331572160189291,0.020481773218153254
common,0,2026-07-13_prompt6000_three_policy,router_queue_ms,offered_load,900,5410.610803176065,3506.841797543278,-1903.769005632787,-0.3331572160189291,-0.28255221837837063
common,0,2026-07-13_prompt6000_three_policy,router_queue_ms,home_cell_load,900,5410.610803176065,5755.2892238911945,344.6784207151295,-0.3331572160189291,0.1517611712393201
common,0,2026-07-13_prompt6000_three_policy,router_queue_ms,policy,900,5410.610803176065,5511.214701071502,100.6038978954366,-0.3331572160189291,0.035703107683523694
common,0,2026-07-13_prompt6000_three_policy,router_queue_ms,routing_result,900,5410.610803176065,5643.390543637025,232.77974046096006,-0.3331572160189291,0.051204181171730534
common,0,2026-07-13_prompt6000_three_policy,router_queue_ms,kv_movement,900,5410.610803176065,5327.298245297337,-83.3125578787276,-0.3331572160189291,-0.0579357424434217
common,0,2026-07-13_prompt6000_three_policy,scheduler_queue_ms,request_demand,900,50.11686547734637,50.489065868308195,0.37220039096182234,-0.041016477460299905,0.0023060067338891432
common,0,2026-07-13_prompt6000_three_policy,scheduler_queue_ms,nominal_reuse,900,50.11686547734637,50.19869922658788,0.081833749241504,-0.041016477460299905,-0.0015499900765647556
common,0,2026-07-13_prompt6000_three_policy,scheduler_queue_ms,realized_reuse,900,50.11686547734637,49.94124297178999,-0.17562250555638315,-0.041016477460299905,-0.0010282592580797
common,0,2026-07-13_prompt6000_three_policy,scheduler_queue_ms,offered_load,900,50.11686547734637,49.21432132922929,-0.9025441481170802,-0.041016477460299905,-0.005348764063352052
common,0,2026-07-13_prompt6000_three_policy,scheduler_queue_ms,home_cell_load,900,50.11686547734637,49.413348530899086,-0.7035169464472872,-0.041016477460299905,-0.07634437173059816
common,0,2026-07-13_prompt6000_three_policy,scheduler_queue_ms,policy,900,50.11686547734637,50.12846423597611,0.011598758629737915,-0.041016477460299905,0.003558318488696921
common,0,2026-07-13_prompt6000_three_policy,scheduler_queue_ms,routing_result,900,50.11686547734637,50.07240431376505,-0.04446116358132457,-0.041016477460299905,-0.0005700825701724366
common,0,2026-07-13_prompt6000_three_policy,scheduler_queue_ms,kv_movement,900,50.11686547734637,49.7378796594978,-0.378985817848573,-0.041016477460299905,0.0031311256207595672
common,0,2026-07-13_prompt6000_three_policy,compute_prefill_ms,request_demand,900,58.38649209800759,66.94546236644365,8.558970268436063,0.6475624722583934,0.03646831017235108
common,0,2026-07-13_prompt6000_three_policy,compute_prefill_ms,nominal_reuse,900,58.38649209800759,63.27881883496175,4.8923267369541605,0.6475624722583934,0.02071921588871406
common,0,2026-07-13_prompt6000_three_policy,compute_prefill_ms,realized_reuse,900,58.38649209800759,57.50525665995707,-0.881235438050517,0.6475624722583934,-0.0028139729884105735
common,0,2026-07-13_prompt6000_three_policy,compute_prefill_ms,offered_load,900,58.38649209800759,53.02016744397958,-5.366324654028006,0.6475624722583934,-0.005438819144132356
common,0,2026-07-13_prompt6000_three_policy,compute_prefill_ms,home_cell_load,900,58.38649209800759,62.150835240389306,3.764343142381719,0.6475624722583934,0.015044982253958783
common,0,2026-07-13_prompt6000_three_policy,compute_prefill_ms,policy,900,58.38649209800759,58.3529255050851,-0.033566592922483096,0.6475624722583934,0.00030791771278970703
common,0,2026-07-13_prompt6000_three_policy,compute_prefill_ms,routing_result,900,58.38649209800759,58.62689808668162,0.24040598867403418,0.6475624722583934,0.0007005082616513558
common,0,2026-07-13_prompt6000_three_policy,compute_prefill_ms,kv_movement,900,58.38649209800759,58.666098210575136,0.2796061125675493,0.6475624722583934,0.0031589388522647033
common,0,2026-07-13_prompt6000_three_policy,e2e_ttft_ms,request_demand,900,5424.130593451695,6481.300173290488,1057.1695798387927,-0.32348140493147515,0.29921869116175315
common,0,2026-07-13_prompt6000_three_policy,e2e_ttft_ms,nominal_reuse,900,5424.130593451695,6310.745289587689,886.6146961359937,-0.32348140493147515,0.2929200066553881
common,0,2026-07-13_prompt6000_three_policy,e2e_ttft_ms,realized_reuse,900,5424.130593451695,5652.748653519498,228.61806006780262,-0.32348140493147515,0.02011034207267981
common,0,2026-07-13_prompt6000_three_policy,e2e_ttft_ms,offered_load,900,5424.130593451695,3567.1879564430633,-1856.9426370086317,-0.32348140493147515,-0.28110580593632584
common,0,2026-07-13_prompt6000_three_policy,e2e_ttft_ms,home_cell_load,900,5424.130593451695,5775.05257968747,350.92198623577497,-0.32348140493147515,0.15107597580917198
common,0,2026-07-13_prompt6000_three_policy,e2e_ttft_ms,policy,900,5424.130593451695,5524.640079267307,100.5094858156117,-0.32348140493147515,0.034966804430057064
common,0,2026-07-13_prompt6000_three_policy,e2e_ttft_ms,routing_result,900,5424.130593451695,5658.737331831503,234.60673837980812,-0.32348140493147515,0.05120207784959141
common,0,2026-07-13_prompt6000_three_policy,e2e_ttft_ms,kv_movement,900,5424.130593451695,5329.561016584616,-94.56957686707938,-0.32348140493147515,-0.06485858789641097
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,router_queue_ms,request_demand,900,14135.292224600802,14418.99540158225,283.70317698144754,-0.10346255891164313,0.058225193334640046
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,router_queue_ms,nominal_reuse,900,14135.292224600802,13968.648209882185,-166.64401471861675,-0.10346255891164313,-0.04010934409734679
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,router_queue_ms,realized_reuse,900,14135.292224600802,13931.009366838633,-204.28285776216944,-0.10346255891164313,-0.04363462253318118
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,router_queue_ms,offered_load,900,14135.292224600802,14569.290439401319,433.9982148005165,-0.10346255891164313,0.03300487011621711
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,router_queue_ms,home_cell_load,900,14135.292224600802,14395.243601844253,259.95137724345113,-0.10346255891164313,0.04302254028699215
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,router_queue_ms,policy,900,14135.292224600802,14160.52847375458,25.236249153778772,-0.10346255891164313,0.007010343326737223
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,router_queue_ms,routing_result,900,14135.292224600802,14276.935226879816,141.64300227901367,-0.10346255891164313,0.024563130758569418
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,router_queue_ms,kv_movement,900,14135.292224600802,13770.893435872542,-364.3987887282601,-0.10346255891164313,-0.056017336203545876
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,scheduler_queue_ms,request_demand,900,161.34506506518576,157.5769132794888,-3.768151785696972,0.03417623400312697,-0.0029196354727776264
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,scheduler_queue_ms,nominal_reuse,900,161.34506506518576,159.37084926265834,-1.974215802527425,0.03417623400312697,-0.001390735692551659
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,scheduler_queue_ms,realized_reuse,900,161.34506506518576,159.6312568288417,-1.7138082363440503,0.03417623400312697,-0.0017190715078072571
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,scheduler_queue_ms,offered_load,900,161.34506506518576,159.13980602634132,-2.2052590388444457,0.03417623400312697,-0.0015266438818727357
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,scheduler_queue_ms,home_cell_load,900,161.34506506518576,163.06273790960168,1.7176728444159153,0.03417623400312697,0.043263924282357036
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,scheduler_queue_ms,policy,900,161.34506506518576,161.34376553542958,-0.0012995297561815278,0.03417623400312697,0.0004671435326425444
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,scheduler_queue_ms,routing_result,900,161.34506506518576,160.25618324082672,-1.0888818243590492,0.03417623400312697,-0.00543739710678337
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,scheduler_queue_ms,kv_movement,900,161.34506506518576,161.4030494428241,0.057984377638348406,0.03417623400312697,0.0002984170630832006
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,compute_prefill_ms,request_demand,900,43.9342040944134,48.87201076305107,4.93780666863767,0.04776655261192064,0.14855926573964728
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,compute_prefill_ms,nominal_reuse,900,43.9342040944134,44.01974312971976,0.0855390353063541,0.04776655261192064,-0.011928037998259478
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,compute_prefill_ms,realized_reuse,900,43.9342040944134,44.35729174862023,0.4230876542068245,0.04776655261192064,-0.011708475136799401
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,compute_prefill_ms,offered_load,900,43.9342040944134,45.07669081252448,1.1424867181110798,0.04776655261192064,8.623500370086301e-05
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,compute_prefill_ms,home_cell_load,900,43.9342040944134,41.97917239736391,-1.9550316970494919,0.04776655261192064,0.06702092770421642
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,compute_prefill_ms,policy,900,43.9342040944134,43.89995912906484,-0.03424496534856303,0.04776655261192064,-5.4980565510232005e-05
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,compute_prefill_ms,routing_result,900,43.9342040944134,42.77285176678477,-1.1613523276286344,0.04776655261192064,-0.005829042799805673
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,compute_prefill_ms,kv_movement,900,43.9342040944134,45.11108607794747,1.1768819835340665,0.04776655261192064,0.007852164910435722
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,e2e_ttft_ms,request_demand,900,14065.718783389744,14356.747377996904,291.0285946071599,-0.10147016228867067,0.05956619363824678
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,e2e_ttft_ms,nominal_reuse,900,14065.718783389744,13906.283047313425,-159.4357360763188,-0.10147016228867067,-0.04021366902347512
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,e2e_ttft_ms,realized_reuse,900,14065.718783389744,13865.478078352222,-200.24070503752228,-0.10147016228867067,-0.043739372043850366
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,e2e_ttft_ms,offered_load,900,14065.718783389744,14500.336147273043,434.6173638832988,-0.10147016228867067,0.033219713500704184
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,e2e_ttft_ms,home_cell_load,900,14065.718783389744,14334.477705896352,268.75892250660763,-0.10147016228867067,0.044030812028830635
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,e2e_ttft_ms,policy,900,14065.718783389744,14090.836825636121,25.118042246376717,-0.10147016228867067,0.006971256825034855
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,e2e_ttft_ms,routing_result,900,14065.718783389744,14210.983696756222,145.26491336647814,-0.10147016228867067,0.025092151143515817
common,1,2026-07-14_input_reuse_90s_sweep/input10000_reuse00,e2e_ttft_ms,kv_movement,900,14065.718783389744,13684.265135244888,-381.45364814485583,-0.10147016228867067,-0.05840049429230976
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,router_queue_ms,request_demand,900,12340.30236112365,12414.16354204226,73.86118091861135,0.039852144131146794,0.04785800334967827
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,router_queue_ms,nominal_reuse,900,12340.30236112365,11866.549550895521,-473.7528102281285,0.039852144131146794,-0.052949062482678166
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,router_queue_ms,realized_reuse,900,12340.30236112365,11909.316558660865,-430.9858024627847,0.039852144131146794,-0.035688918647973966
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,router_queue_ms,offered_load,900,12340.30236112365,12675.943659929355,335.64129880570545,0.039852144131146794,0.040994422860838764
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,router_queue_ms,home_cell_load,900,12340.30236112365,12657.562564222362,317.26020309871274,0.039852144131146794,0.03601862603875183
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,router_queue_ms,policy,900,12340.30236112365,12385.189508421097,44.88714729744788,0.039852144131146794,0.007529027254440601
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,router_queue_ms,routing_result,900,12340.30236112365,12361.132913427344,20.830552303694276,0.039852144131146794,-0.021703117965343632
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,router_queue_ms,kv_movement,900,12340.30236112365,12203.776910336986,-136.525450786663,0.039852144131146794,-0.028967148732371384
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,scheduler_queue_ms,request_demand,900,111.02147984031178,109.10534148734222,-1.9161383529695684,0.07856267468217182,-0.001343932287632743
