feature_set,target,group,feature,coefficient_ms_per_sd,absolute_coefficient
common,router_queue_ms,request_demand,input_tokens,-5171.671207533535,5171.671207533535
common,router_queue_ms,request_demand,output_tokens_actual,132.7236270194316,132.7236270194316
common,router_queue_ms,request_demand,minimum_prefill_chunks,5145.0805794636635,5145.0805794636635
common,router_queue_ms,nominal_reuse,nominal_reuse_tokens,7043.527102292539,7043.527102292539
common,router_queue_ms,nominal_reuse,nominal_reuse_ratio,-2096.8034516741104,2096.8034516741104
common,router_queue_ms,realized_reuse,reuse_tokens_realized,-2130.040618639815,2130.040618639815
common,router_queue_ms,realized_reuse,reuse_preservation_ratio,1620.2122715820442,1620.2122715820442
common,router_queue_ms,realized_reuse,reuse_lost,-989.7565913599112,989.7565913599112
common,router_queue_ms,realized_reuse,realized_uncached_tokens,-5382.698355715195,5382.698355715195
common,router_queue_ms,offered_load,request_rate_rps,-885.4971331966083,885.4971331966083
common,router_queue_ms,offered_load,offered_uncached_tokens_per_s,7549.735986345901,7549.735986345901
common,router_queue_ms,offered_load,arrival_offset_s,1350.9224409994495,1350.9224409994495
common,router_queue_ms,offered_load,interarrival_ms,-63.30308268932425,63.30308268932425
common,router_queue_ms,offered_load,global_arrivals_1s,185.3995318767413,185.3995318767413
common,router_queue_ms,offered_load,global_arrivals_5s,354.8806034903056,354.8806034903056
common,router_queue_ms,home_cell_load,home_arrivals_1s,326.3746996106186,326.3746996106186
common,router_queue_ms,home_cell_load,home_arrivals_5s,-149.893449814109,149.893449814109
common,router_queue_ms,home_cell_load,home_workload_share,1614.0764581955175,1614.0764581955175
common,router_queue_ms,routing_result,rerouted,4183.843197360616,4183.843197360616
common,router_queue_ms,kv_movement,kv_moved,-1192.6335818906227,1192.6335818906227
common,router_queue_ms,kv_movement,migration_tokens_realized,-2130.0406186395708,2130.0406186395708
common,router_queue_ms,policy,policy_NEAREST_KV,1027.1140284303883,1027.1140284303883
common,router_queue_ms,policy,policy_NEAREST_MIGRATE,-373.97535599037593,373.97535599037593
common,router_queue_ms,policy,policy_NEAREST_MIGRATE_KV,-653.1386724800143,653.1386724800143
common,scheduler_queue_ms,request_demand,input_tokens,-3.1691011420406414,3.1691011420406414
common,scheduler_queue_ms,request_demand,output_tokens_actual,-1.1039345560176919,1.1039345560176919
common,scheduler_queue_ms,request_demand,minimum_prefill_chunks,15.48420881268093,15.48420881268093
common,scheduler_queue_ms,nominal_reuse,nominal_reuse_tokens,8.7373194822769,8.7373194822769
common,scheduler_queue_ms,nominal_reuse,nominal_reuse_ratio,2.3783112756355997,2.3783112756355997
common,scheduler_queue_ms,realized_reuse,reuse_tokens_realized,-4.5374417492341115,4.5374417492341115
common,scheduler_queue_ms,realized_reuse,reuse_preservation_ratio,-1.6773155634070531,1.6773155634070531
common,scheduler_queue_ms,realized_reuse,reuse_lost,7.467169265048057,7.467169265048057
common,scheduler_queue_ms,realized_reuse,realized_uncached_tokens,-1.2254726759068995,1.2254726759068995
common,scheduler_queue_ms,offered_load,request_rate_rps,-1.0728601865661858,1.0728601865661858
common,scheduler_queue_ms,offered_load,offered_uncached_tokens_per_s,14.637904150825069,14.637904150825069
common,scheduler_queue_ms,offered_load,arrival_offset_s,-0.24117590188879526,0.24117590188879526
common,scheduler_queue_ms,offered_load,interarrival_ms,-3.2458617416523836,3.2458617416523836
common,scheduler_queue_ms,offered_load,global_arrivals_1s,-1.2161410964385893,1.2161410964385893
common,scheduler_queue_ms,offered_load,global_arrivals_5s,-3.620906113827542,3.620906113827542
common,scheduler_queue_ms,home_cell_load,home_arrivals_1s,26.86499685158967,26.86499685158967
common,scheduler_queue_ms,home_cell_load,home_arrivals_5s,1.6714550698042567,1.6714550698042567
common,scheduler_queue_ms,home_cell_load,home_workload_share,-2.832194248033964,2.832194248033964
common,scheduler_queue_ms,routing_result,rerouted,-9.791455241544499,9.791455241544499
common,scheduler_queue_ms,kv_movement,kv_moved,11.124241617926756,11.124241617926756
common,scheduler_queue_ms,kv_movement,migration_tokens_realized,-4.537441749232709,4.537441749232709
common,scheduler_queue_ms,policy,policy_NEAREST_KV,-1.5879574114673303,1.5879574114673303
common,scheduler_queue_ms,policy,policy_NEAREST_MIGRATE,2.4638256745745597,2.4638256745745597
common,scheduler_queue_ms,policy,policy_NEAREST_MIGRATE_KV,-0.8758682631398196,0.8758682631398196
common,compute_prefill_ms,request_demand,input_tokens,104.6244744393622,104.6244744393622
common,compute_prefill_ms,request_demand,output_tokens_actual,0.3028494420531596,0.3028494420531596
common,compute_prefill_ms,request_demand,minimum_prefill_chunks,93.83205852819835,93.83205852819835
common,compute_prefill_ms,nominal_reuse,nominal_reuse_tokens,72.92309784700504,72.92309784700504
common,compute_prefill_ms,nominal_reuse,nominal_reuse_ratio,-12.718628303033743,12.718628303033743
common,compute_prefill_ms,realized_reuse,reuse_tokens_realized,-48.17347881804693,48.17347881804693
common,compute_prefill_ms,realized_reuse,reuse_preservation_ratio,9.954584691023921,9.954584691023921
common,compute_prefill_ms,realized_reuse,reuse_lost,4.089698577708394,4.089698577708394
common,compute_prefill_ms,realized_reuse,realized_uncached_tokens,167.42560571113967,167.42560571113967
common,compute_prefill_ms,offered_load,request_rate_rps,0.11979534894983228,0.11979534894983228
common,compute_prefill_ms,offered_load,offered_uncached_tokens_per_s,19.092538894112373,19.092538894112373
common,compute_prefill_ms,offered_load,arrival_offset_s,6.504539201079598,6.504539201079598
common,compute_prefill_ms,offered_load,interarrival_ms,-3.635245301107013,3.635245301107013
common,compute_prefill_ms,offered_load,global_arrivals_1s,-1.588034444805768,1.588034444805768
common,compute_prefill_ms,offered_load,global_arrivals_5s,-0.6119336783019711,0.6119336783019711
common,compute_prefill_ms,home_cell_load,home_arrivals_1s,15.246824054184234,15.246824054184234
common,compute_prefill_ms,home_cell_load,home_arrivals_5s,1.8830636403052883,1.8830636403052883
common,compute_prefill_ms,home_cell_load,home_workload_share,0.42075340663684013,0.42075340663684013
common,compute_prefill_ms,routing_result,rerouted,0.974789252524451,0.974789252524451
common,compute_prefill_ms,kv_movement,kv_moved,4.946700166988858,4.946700166988858
common,compute_prefill_ms,kv_movement,migration_tokens_realized,-48.17347881805977,48.17347881805977
common,compute_prefill_ms,policy,policy_NEAREST_KV,-0.042759517685625345,0.042759517685625345
common,compute_prefill_ms,policy,policy_NEAREST_MIGRATE,0.7430635322203084,0.7430635322203084
