scenario,policy,policy_label,request_id,input_tokens,output_tokens,realized_reuse_tokens,effective_uncached_tokens,request_rate_rps,home_arrivals_1s,home_arrivals_5s,rerouted,initial_capacity_pressure,initial_slot_pressure,initial_waiting_reqs,initial_running_reqs,initial_admissible,initial_admissible_candidate_count,initial_total_waiting_reqs,initial_total_running_reqs,initial_max_running_reqs,initial_min_capacity_pressure,initial_max_capacity_pressure,initial_target_capacity_pressure,initial_target_slot_pressure,initial_target_waiting_reqs,initial_target_running_reqs,initial_target_admissible,scheduler_waiting_reqs_at_admission,scheduler_running_reqs_at_admission,scheduler_running_decode_reqs_at_admission,scheduler_inflight_prefill_tokens_at_admission,scheduler_inflight_decode_tokens_at_admission,scheduler_available_token_budget_at_admission,scheduler_prefill_tokens_ahead_at_admission,kv_moved,kv_migration_bytes,kv_bandwidth_gbps,kv_distance_m,router_queue_ms,scheduler_queue_ms,kv_transfer_ms,compute_ms,e2e_ttft_ms,other_communication_ms
input4000_rate2p5_reuse00_seed1,NEAREST_KV,A,13,4000.0,598.0,0.0,4000.0,2.5073430794920317,0,0,0,0.0622064351193665,0.0078125,0.0,0.0,1,10.0,0.0,13.0,3.0,0.0622064351193665,0.2499057133093995,0.1861873162253262,0.0234375,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,2048.0,0.0,0,0.0,0.0,0.0,0.0,0.002391,0.0,439.218678,439.221069,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_KV,A,32,4000.0,577.0,0.0,4000.0,2.5073430794920317,0,0,0,0.1241968756723463,0.015625,0.0,1.0,1,10.0,0.0,27.0,6.0,0.0619904405529798,0.4462447741549001,0.2518496644068798,0.03125,0.0,3.0,1,0.0,1.0,1.0,0.0,1.0,2047.0,0.0,0,0.0,0.0,0.0,0.0,5.323026,0.0,446.055391,451.378417,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_KV,A,42,4000.0,606.0,0.0,4000.0,2.5073430794920317,0,1,0,0.1241968756723463,0.015625,0.0,1.0,1,10.0,0.0,28.0,8.0,0.1237648865395729,0.5719536117919534,0.2496897187430128,0.03125,0.0,3.0,1,0.0,1.0,1.0,0.0,1.0,2047.0,0.0,0,0.0,0.0,0.0,0.0,13.474013,0.0,444.847327,458.32134,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_KV,A,67,4000.0,592.0,0.0,4000.0,2.5073430794920317,0,0,0,0.1241968756723463,0.015625,0.0,1.0,1,10.0,0.0,40.0,7.0,0.1241968756723463,0.5032673396809861,0.3833903553363735,0.046875,0.0,5.0,1,0.0,1.0,1.0,0.0,1.0,2047.0,0.0,0,0.0,0.0,0.0,0.0,14.475003,0.0,445.525471,460.000474,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_KV,A,68,4000.0,770.0,0.0,4000.0,2.5073430794920317,1,1,0,0.1887792510219664,0.0234375,0.0,2.0,1,10.0,0.0,41.0,7.0,0.1887792510219664,0.5058592744776265,0.4397649371632995,0.0546875,0.0,6.0,1,0.0,2.0,2.0,0.0,2.0,2046.0,0.0,0,0.0,0.0,0.0,0.0,10.248011,0.0,448.946328,459.194339,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_KV,A,81,4000.0,592.0,0.0,4000.0,2.5073430794920317,0,0,0,0.1885632564555797,0.0234375,0.0,2.0,1,10.0,1.0,39.0,11.0,0.1879152727564197,0.8233712870660598,0.3777744966103196,0.046875,0.0,5.0,1,0.0,2.0,2.0,0.0,2.0,2046.0,0.0,0,0.0,0.0,0.0,0.0,1.482449,0.0,449.14572,450.628169,5.684341886080802e-14
input4000_rate2p5_reuse00_seed1,NEAREST_KV,A,83,4000.0,591.0,0.0,4000.0,2.5073430794920317,1,1,0,0.2505536970085596,0.03125,0.0,3.0,1,10.0,0.0,41.0,12.0,0.1879152727564197,0.8233712870660598,0.3777744966103196,0.046875,0.0,5.0,1,0.0,3.0,3.0,0.0,3.0,2045.0,0.0,0,0.0,0.0,0.0,0.0,8.178354,0.0,451.566185,459.744539,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_KV,A,88,4000.0,770.0,0.0,4000.0,2.5073430794920317,0,2,0,0.3151360723581797,0.0390625,0.0,4.0,1,10.0,0.0,42.0,12.0,0.1289487561328535,0.8259632218627,0.3183759908539801,0.0390625,0.0,4.0,1,0.0,4.0,4.0,0.0,4.0,2044.0,0.0,0,0.0,0.0,0.0,0.0,4.736773,0.0,453.840397,458.57717,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_KV,A,103,4000.0,565.0,0.0,4000.0,2.5073430794920317,0,1,0,0.3792864585750264,0.046875,0.0,5.0,1,10.0,0.0,35.0,7.0,0.1239808811059596,0.5080192201414934,0.2507696915749463,0.03125,0.0,3.0,1,0.0,5.0,5.0,0.0,5.0,2043.0,0.0,0,0.0,0.0,0.0,0.0,9.885621,0.0,457.938345,467.823966,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_KV,A,96,4000.0,768.0,0.0,4000.0,2.5073430794920317,0,1,0,0.3795024531414132,0.046875,0.0,5.0,1,10.0,0.0,37.0,8.0,0.1287327615664668,0.5751935302877537,0.3801504368405732,0.046875,0.0,5.0,1,0.0,5.0,5.0,0.0,5.0,2043.0,0.0,0,0.0,0.0,0.0,0.0,14.271654,0.0,457.604105,471.875759,0.0
