feature_set,test_scenario,n,n_positive,roc_auc,pr_auc,brier,positive_log_mae,expected_mae_ms,expected_r2
preroute_full,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,900,0,,,8.515107879885778e-09,,0.016274123574595054,0.0
preroute_full,2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,900,60,1.0,1.0,0.017816875799281352,1.1239768439571043,246.07467727796669,-0.5255035251525533
preroute_full,2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,900,143,0.9999630488401955,0.9998064196340057,0.017072184989800395,2.0771280019918943,481.3326494553278,0.7415698602492716
preroute_full,2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,600,52,1.0,1.0,0.006430181783358051,1.1859182473421315,295.99047422562165,0.7383303621760715
preroute_full,2026-07-16_ttft_component_regression/phase1/input6000_rate5p0_reuse00_seed1,900,424,0.9938560329792294,0.9928079547711723,0.05852741878114063,2.5158183895650312,3776.4423021906755,0.10849803540348923
preroute_full,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed1,900,245,1.0,1.0,0.00793438098745165,1.9217149861552345,1089.6901276923181,0.553738139906171
preroute_full,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed1,900,133,1.0,1.0000000000000002,0.0074373951955541764,1.8331938917036261,454.0730245937029,0.5584792886266828
request_context,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,900,0,,,0.013171219073683417,,58.48448191750054,0.0
request_context,2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,900,60,0.7937301587301587,0.19175796872506937,0.0755662144783854,1.6817328023401628,479.6125886441836,-1.7141903074134377
request_context,2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,900,143,0.8402508983750727,0.5956855205844129,0.113392197296865,2.2167800768127512,783.1545550866047,0.5678420254449443
request_context,2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,600,52,0.9128298708590679,0.6739253340251196,0.11306383336023124,1.5131711103339271,620.2048646879297,0.5288458508536262
request_context,2026-07-16_ttft_component_regression/phase1/input6000_rate5p0_reuse00_seed1,900,424,0.8441761138417632,0.8074102948199242,0.2719950361168193,3.694602489397327,4140.82893300857,0.012082994176242368
request_context,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed1,900,245,0.873743573765384,0.7551466040716721,0.13033953798052567,2.1719956473712516,1287.5152718499287,0.5103824015752454
request_context,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed1,900,133,0.8950799423591573,0.6720322941048653,0.23127936365958096,2.2048625586797637,1188.0008349909494,0.14897573653786556
