test_scenario,feature,classifier_logloss_increase,positive_log_mae_increase,composite_mae_increase_ms
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,input_tokens,3.947235538009437e-06,,4.168236571755641e-06
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,output_tokens_actual,-7.229525955374303e-07,,-1.424390150712849e-07
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,minimum_prefill_chunks,2.1319035521957714e-06,,3.1239176402464725e-06
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,nominal_reuse_tokens,7.973947781369852e-07,,8.471967692966459e-07
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,nominal_reuse_ratio,3.719308768831229e-07,,3.841440285466593e-07
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,reuse_tokens_realized,3.3893027329387074e-07,,3.3135456884469033e-07
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,reuse_preservation_ratio,1.0174450612822014e-06,,1.0740624093346347e-06
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,reuse_lost,6.945326214183364e-07,,7.305631698145458e-07
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,realized_uncached_tokens,6.664495944474852e-07,,1.508737714595652e-06
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,request_rate_rps,7.046219744584298e-08,,1.747545550052516e-06
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,offered_uncached_tokens_per_s,4.136902160909307e-07,,-3.7273593291427228e-06
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,arrival_offset_s,-4.8589746879092e-07,,-1.6717748998015248e-06
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,interarrival_ms,1.0505856095210366e-06,,-2.7554139164815967e-06
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,global_arrivals_1s,5.883955344555456e-08,,2.8629443362932268e-06
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,global_arrivals_5s,3.191620793300646e-08,,-2.8211534906234982e-06
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,home_arrivals_1s,-8.898973291094694e-07,,-3.9328925554078034e-07
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,home_arrivals_5s,7.352462759144165e-07,,-3.359563422493244e-06
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,home_workload_share,-7.986287355119366e-07,,-4.3661280438095625e-06
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,policy,-1.2192754007916218e-06,,-3.5338059278145204e-06
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,rerouted,2.2579122793818816e-08,,-4.113400931936019e-06
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,kv_moved,1.38881110509547e-08,,-5.534780136805381e-08
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,migration_tokens_realized,3.389302731024735e-07,,3.3135456863359617e-07
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_initial_waiting_reqs,-1.0196527314322658e-06,,5.55012398394703e-08
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_initial_running_reqs,-1.9894765273597716e-06,,-2.0345585634356516e-06
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_initial_required_kv_bytes,4.6642164585125925e-06,,-1.851926535044068e-06
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_initial_available_kv_bytes,1.096962340326178e-05,,1.1204096875761981e-05
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_initial_projected_active_kv_bytes,1.096962340326178e-05,,1.1204096875761981e-05
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_initial_capacity_pressure,1.1908782222615088e-05,,6.039672841877164e-06
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_initial_slot_pressure,-1.9894765273329816e-06,,-2.034558563405267e-06
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_initial_admissible_candidate_count,-7.459092363302122e-06,,-6.988032405969536e-06
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_initial_total_waiting_reqs,-1.088172562038796e-08,,1.6563545979044138e-06
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_initial_max_waiting_reqs,-5.249829383104306e-08,,7.423240522020378e-08
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_initial_total_running_reqs,-1.849209113572343e-07,,1.1258322477618596e-06
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_initial_max_running_reqs,1.175902153035149e-06,,1.238005629675888e-06
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_initial_min_available_kv_bytes,4.3924420742552504e-06,,2.693150593771373e-06
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_initial_max_available_kv_bytes,9.2730476193762e-07,,2.3104186001142627e-06
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_initial_min_capacity_pressure,2.7743270987050767e-07,,-5.022918048215584e-06
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_initial_max_capacity_pressure,5.8905912203159e-06,,6.681111524512509e-06
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_decision_waiting_reqs,5.483902504706908e-08,,2.3579844382415787e-07
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_decision_running_reqs,4.839585090548082e-07,,4.6214964000339476e-07
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_decision_available_kv_bytes,5.619788193185803e-08,,2.0434552599284095e-08
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_decision_projected_active_kv_bytes,5.619788193185803e-08,,2.0434552599284095e-08
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_decision_capacity_pressure,5.162947839082868e-07,,1.4308927458004533e-06
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_decision_slot_pressure,4.839585090560432e-07,,4.6214964000373357e-07
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_capacity_retry_count,2.1948375253719815e-06,,1.655537266323599e-05
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,scheduler_waiting_reqs_at_first_schedule,1.580590363423151e-07,,8.479872184695114e-07
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,scheduler_scheduled_prefill_tokens,-2.0191018496897966e-08,,-1.8337166059395466e-08
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,scheduler_scheduled_decode_tokens,-2.0191018499735527e-08,,-1.8337166061491026e-08
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,scheduler_batch_num_seqs,4.308331785652514e-07,,8.217826066716634e-07
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,input_tokens,0.002181550957103092,0.0,-0.09736677775472913
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,output_tokens_actual,-0.00041889393827088117,-0.006145068619693772,-2.5965754245729897
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,minimum_prefill_chunks,0.0016452378276728859,0.0,-0.13305287848920955
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,nominal_reuse_tokens,0.00019837904439359497,0.0,-0.02493422986459848
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,nominal_reuse_ratio,0.0003079427882175592,0.0,-0.02901991135006199
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,reuse_tokens_realized,0.00011966323458082948,0.0,-0.018822063426924274
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,reuse_preservation_ratio,5.8653156691110264e-05,0.0,-0.01721957102415672
