variant,route_mae_ms,route_r2,positive_subset_mae_ms,top_decile_actual_mean,top_decile_predicted_mean,top_decile_predicted_over_actual_ratio,seconds
baseline_current_prod,630.1895712999403,0.45574527323133995,4035.051802737386,24313.506128058536,8975.281188406927,0.3691479600323532,5.0
more_trees_300,632.6914746821194,0.4632839020583037,4064.197379686825,24313.506128058536,11441.250668001761,0.47057181336747667,11.3
higher_lr_0.1,621.667983043853,0.4764155336385524,3996.928860425071,24313.506128058536,10851.803848591242,0.44632821738810946,4.6
deeper_depth3,641.5082132415735,0.4288216327187101,4107.486880325745,24313.506128058536,9056.200703930275,0.3724761314238896,6.2
squared_error_loss,657.3121999293392,0.37938483732331374,4212.102301039946,24313.506128058536,6986.169420523616,0.2873369798550511,4.0
combo_300trees_lr0.1_depth3,646.1248621335022,0.39760839553623273,4155.554836804663,24313.506128058536,10536.362045221953,0.43335428422898936,15.0
smaller_leaf_10,632.3774311304019,0.4470527170588682,4052.418420752616,24313.506128058536,8873.65200984522,0.3649680125568049,4.6
lr_0.08,633.3351150526021,0.45435573660434114,4069.0588404852024,24313.506128058536,9975.040937102638,0.41026748197336843,4.7
lr_0.15,618.1946820025803,0.506503684631297,3968.32915672592,24313.506128058536,12520.786926449486,0.5149724955546461,4.4
lr_0.2,631.5839322559947,0.45836546269187217,4067.946951533883,24313.506128058536,12305.536306562435,0.5061193659914588,4.6
lr_0.1_150trees,624.8992047295578,0.47428584447791766,4013.3132547239456,24313.506128058536,11249.285434829013,0.46267639786624565,6.3
lr_0.1_leaf30,622.1424283578857,0.4778336659128315,3989.909074632578,24313.506128058536,10621.171283691503,0.4368424376044368,4.5
lr_0.12,632.2435814677626,0.4644687260817778,4064.126367786369,24313.506128058536,11169.047116741382,0.4593762437187929,4.8
lr_0.18,624.0584036140398,0.48954240745243494,4014.952261806884,24313.506128058536,12302.437218176383,0.5059919023352617,4.6
lr_0.25,643.1068069617635,0.45209581962514467,4125.538553868601,24313.506128058536,12722.874394058064,0.5232842325186278,4.8
lr_0.3,671.4969811143052,0.37736105389568897,4313.452310129024,24313.506128058536,12381.493831277434,0.5092434536616999,4.8
lr_0.15_leaf30,639.2818691659159,0.44867324745482784,4117.510555510242,24313.506128058536,10901.4444895331,0.448369907331156,4.5
lr_0.15_leaf15,640.9344914470214,0.4263796684760929,4129.393448897058,24313.506128058536,10516.888873627016,0.4325533643002727,4.6
lr_0.15_150trees,623.3608442311202,0.48368423035574126,4008.6574802874065,24313.506128058536,12368.484048717031,0.508708369067488,6.2
lr_0.15_70trees,612.3700744669234,0.5114489812324261,3929.2377400280398,24313.506128058536,11896.171948199646,0.489282454185869,3.4
lr_0.15_40trees,626.0068178568952,0.4728308398355763,4017.6230002528887,24313.506128058536,9710.105401406241,0.3993708414682521,2.3
lr_0.15_50trees,620.9346607708445,0.49101614689480033,3985.5079684342,24313.506128058536,10723.574254728072,0.4410542107027804,2.6
lr_0.15_60trees,612.0131617816336,0.5100659104686887,3930.1789790471917,24313.506128058536,11549.727153995651,0.4750333865121538,3.0
lr_0.15_80trees,615.4093205889068,0.5109509469282103,3948.690518675546,24313.506128058536,12217.006169303875,0.5024781742689539,3.9
lr_0.2_70trees,625.6111643780482,0.4809580612710641,4020.614160525753,24313.506128058536,12006.527358236723,0.493821306355352,3.6
lr_0.1_70trees,631.8333710687461,0.45295461986421237,4062.668033084254,24313.506128058536,9696.474640579116,0.39881021640844655,3.7
