component,feature,gain,gain_fraction,split_count,split_fraction,gain_rank,split_rank
compute,input_tokens,311633.0417985916,0.3390732441468701,413,0.10332749562171628,1,1
compute,home_cached_prefix_tokens,240320.9935646057,0.2614819611368894,347,0.08681511133350013,2,3
compute,router_initial_required_kv_bytes,100075.43005877733,0.10888736487497902,179,0.044783587690768074,3,9
compute,router_initial_capacity_pressure,59148.46389068663,0.06435665942856307,406,0.10157618213660245,4,2
compute,home_arrivals_1s,33688.0899477005,0.03665442496646707,337,0.08431323492619465,5,5
compute,router_initial_total_running_reqs,30199.52036881447,0.03285867661540017,247,0.06179634726044533,6,7
compute,router_initial_available_kv_bytes,26651.118292957544,0.028997827340707716,242,0.06054540905679259,7,8
compute,interarrival_ms,20079.90237107873,0.021847996604655497,319,0.07980985739304479,8,6
compute,arrival_offset_s,18070.052754163742,0.019661173840543233,343,0.08581436077057793,9,4
compute,router_initial_admissible_candidate_count,16281.124247550964,0.017714724937746715,170,0.042531898924193144,10,11
compute,router_initial_projected_active_kv_bytes,14125.046735405922,0.015368798483813048,171,0.042782086564923695,11,10
compute,request_rate_rps,9882.459965407848,0.010752639518848186,134,0.03352514385789342,12,13
compute,router_initial_max_capacity_pressure,6969.717009067535,0.007583421011490542,53,0.013259944958719039,13,18
compute,policy_NEAREST_MIGRATE,5248.226085662842,0.005710347768681221,51,0.012759569677257944,14,19
compute,output_tokens,4478.488056942821,0.004872832051365222,141,0.03527645734300726,15,12
compute,router_initial_running_reqs,4333.151955395937,0.004714698680273557,68,0.01701275956967726,16,15
compute,router_initial_min_capacity_pressure,3453.940890312195,0.003758070505009516,41,0.010257693269952465,17,20
compute,router_initial_max_running_reqs,3345.901686131954,0.0036405181323695304,23,0.005754315736802602,18,23
compute,home_arrivals_5s,2724.089710744098,0.002963953790773173,79,0.019764823617713284,19,14
compute,router_initial_max_available_kv_bytes,2160.8780360221863,0.002351149678002698,35,0.008756567425569177,20,21
compute,home_workload_share,2109.0264053344727,0.0022947323593187846,67,0.01676257192894671,21,16
compute,router_initial_min_available_kv_bytes,1753.6887652873993,0.0019081061990025633,56,0.014010507880910683,22,17
compute,global_arrivals_5s,724.0368037223816,0.0007877903655625392,25,0.006254691018263698,23,22
compute,router_initial_waiting_reqs,548.1020030975342,0.0005963639902914771,15,0.0037528146109582186,24,24
compute,policy_NEAREST_KV,541.4173011779785,0.000589090680783163,14,0.0035026269702276708,25,25
compute,router_initial_slot_pressure,270.66020011901855,0.0002944926237157804,6,0.0015011258443832875,26,27
compute,global_arrivals_1s,200.82175016403198,0.00021850469363059147,12,0.003002251688766575,27,26
compute,policy_NEAREST_MIGRATE_KV,55.544700622558594,6.043557424642362e-05,3,0.0007505629221916438,28,28
compute,router_initial_max_waiting_reqs,0.0,0.0,0,0.0,29,29
compute,router_initial_total_waiting_reqs,0.0,0.0,0,0.0,29,29
route_event,router_initial_capacity_pressure,257381.64597930387,0.8132913758958252,301,0.3115942028985507,1,1
route_event,router_initial_projected_active_kv_bytes,44683.77457791194,0.14119471638475373,117,0.12111801242236025,2,3
route_event,router_initial_available_kv_bytes,7025.208593314514,0.022198714057766817,217,0.2246376811594203,3,2
route_event,router_initial_running_reqs,6328.768845595419,0.01999805814659688,26,0.026915113871635612,4,8
route_event,router_initial_min_available_kv_bytes,654.511536154896,0.0020681684032042773,52,0.053830227743271224,5,5
route_event,router_initial_admissible_candidate_count,174.74308235943317,0.0005521646321735334,96,0.09937888198757763,6,4
route_event,router_initial_max_capacity_pressure,79.20438179373741,0.00025027519115013614,19,0.019668737060041408,7,10
route_event,home_workload_share,45.57600021362305,0.0001440140293630201,1,0.0010351966873706005,8,15
route_event,router_initial_required_kv_bytes,36.70560876280069,0.00011598478570687386,24,0.024844720496894408,9,9
route_event,policy_NEAREST_KV,23.750632032752037,7.504880206518527e-05,40,0.041407867494824016,10,7
route_event,router_initial_total_waiting_reqs,9.641739845275879,3.046660081358156e-05,1,0.0010351966873706005,11,15
route_event,output_tokens,8.400336131453514,2.654393208320145e-05,13,0.013457556935817806,12,11
route_event,interarrival_ms,7.604589192196727,2.4029478806509438e-05,50,0.051759834368530024,13,6
route_event,router_initial_total_running_reqs,6.665539979934692,2.1062209625489858e-05,2,0.002070393374741201,14,12
route_event,home_arrivals_5s,1.7383500337600708,5.49295224749229e-06,1,0.0010351966873706005,15,15
route_event,input_tokens,0.7817209959030151,2.4701331825958565e-06,1,0.0010351966873706005,16,15
route_event,router_initial_min_capacity_pressure,0.3400759994983673,1.0745944081941843e-06,2,0.002070393374741201,17,12
route_event,request_rate_rps,0.0641063004732132,2.0256728531312256e-07,2,0.002070393374741201,18,12
route_event,router_initial_slot_pressure,0.04342050105333328,1.3720294199451627e-07,1,0.0010351966873706005,19,15
route_event,arrival_offset_s,0.0,0.0,0,0.0,20,20
route_event,global_arrivals_1s,0.0,0.0,0,0.0,20,20
route_event,global_arrivals_5s,0.0,0.0,0,0.0,20,20
route_event,home_arrivals_1s,0.0,0.0,0,0.0,20,20
route_event,home_cached_prefix_tokens,0.0,0.0,0,0.0,20,20
route_event,policy_NEAREST_MIGRATE,0.0,0.0,0,0.0,20,20
route_event,policy_NEAREST_MIGRATE_KV,0.0,0.0,0,0.0,20,20
route_event,router_initial_max_available_kv_bytes,0.0,0.0,0,0.0,20,20
route_event,router_initial_max_running_reqs,0.0,0.0,0,0.0,20,20
route_event,router_initial_max_waiting_reqs,0.0,0.0,0,0.0,20,20
route_event,router_initial_waiting_reqs,0.0,0.0,0,0.0,20,20
route_positive,policy_NEAREST_KV,9673.332786560059,0.19184819486853172,182,0.058652916532388015,1,8
