user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_communication_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,mean_decode_after_ttft_ms,mean_request_completion_latency_ms,dominant_ttft_bottleneck,communication_bottleneck_count,queueing_bottleneck_count,prefill_bottleneck_count
0,2750.2931836911926,2232.1073814882275,1.0,0.05,0,1090.1252317193375,12,490.39942741666664,459.46943899999997,618.5624120499998,756.1809168100002,0.0,17.19337308333333,473.2060543333333,13908.54841225,14398.947839666665,prefill,0,0,12
1,265.35969683863624,1988.376506866485,1.0,0.05,0,1406.8600845267997,12,475.54236225,461.68586100000005,545.6750517999999,611.65638876,0.0,22.25112791666667,453.2912343333333,14247.726991583333,14723.269353833333,prefill,0,0,12
2,3402.5051651799185,1554.7949981178156,1.0,0.05,1,1692.2944836803865,15,486.23336593333335,465.708273,584.4257966999996,787.7500473399998,0.0,17.0065136,469.22685233333334,12836.620266466667,13322.8536324,prefill,0,0,15
3,3701.8096711688263,2095.070307714877,1.0,0.05,1,1298.3176016383618,15,474.32399499999997,462.216813,519.5403720999999,596.3047840199999,0.0,18.896618866666667,455.4273761333333,14632.154498733333,15106.478493733333,prefill,0,0,15
4,8763.676264726688,3146.778807984779,1.0,0.05,2,1119.544188269797,11,456.8717995454545,457.532975,469.293258,470.10658839999996,0.0,5.763619,451.10818054545456,14078.433621454546,14535.305421,prefill,0,0,11
5,8758.52940378194,2633.890507510908,1.0,0.05,2,672.20499933601,11,466.8584711818183,465.361512,479.66395450000005,480.08813810000004,0.0,12.025077727272727,454.83339345454544,13248.410368,13715.268839181817,prefill,0,0,11
6,5.718961279435053,3241.560570046731,1.0,0.05,3,1758.448729799221,18,565.8695040555555,470.13500799999997,940.4640763999994,1258.1726536799993,0.0,68.8711613888889,496.9983426666667,14724.9462955,15290.815799555556,prefill,0,0,18
7,856.5345206787878,4859.9046331661375,1.0,0.05,3,867.9159503792722,17,530.125812117647,482.74344,740.7307743999999,883.42283968,0.0,54.216253058823526,475.9095590588235,14923.864196764705,15453.990008882352,prefill,0,0,17
8,4752.8237809873135,5498.035934949439,1.0,0.05,4,1504.3250545706321,25,579.72105828,487.378111,1097.6309981999993,1400.7767331999992,0.0,73.33558736,506.38547092,18112.500712560002,18692.22177084,prefill,0,1,24
9,4381.00083914504,5175.758410355907,1.0,0.05,4,1062.3082979953008,24,573.853584875,493.6680345,856.6262670499996,1147.2675540799999,0.0,79.00349733333333,494.8500875416667,17833.866453416667,18407.720038291667,prefill,0,0,24
10,5945.191535334412,6193.815103321031,1.0,0.05,5,1394.8911595647273,13,463.2376484615385,463.667306,477.5973644,482.87792168,0.0,7.606870307692308,455.63077815384617,14794.136931923076,15257.374580384614,prefill,0,0,13
11,7412.309083479308,5516.804211263912,1.0,0.05,5,907.2313428423192,12,489.2688069999999,459.69582049999997,623.7935439999998,769.6078104000002,0.0,19.110268166666668,470.1585388333333,13847.1179945,14336.3868015,prefill,0,0,12
12,9039.285715598931,5455.902892055224,1.0,0.05,6,1063.3999168876094,15,489.1727016666666,467.32614,580.3132268999997,743.3644133799999,0.0,17.7666188,471.4060828666667,15492.249160399999,15981.421862066667,prefill,0,0,15
13,8345.950198860168,5825.09566489794,1.0,0.05,6,1848.4219217711338,15,484.15984039999995,464.226636,558.9235633999997,703.7832982799998,0.0,12.1212868,472.0385536,15336.760642866668,15820.920483266666,prefill,0,0,15
14,3082.583499301337,8989.8148874259,1.0,0.05,7,1794.8731076978372,15,479.75006673333337,471.178604,536.7254093999998,625.3820042799999,0.0,23.217493266666665,456.53257346666663,13563.513134,14043.263200733334,prefill,0,0,15
15,1545.5333833220463,9298.810156936745,1.0,0.05,7,1417.2453618828288,14,508.30038971428564,470.773548,717.2468189499999,729.06269419,0.0,20.520888071428573,487.77950164285716,14947.854803357144,15456.155193071429,prefill,0,0,14
16,5384.519970927919,7194.299991448455,1.0,0.05,8,792.0505080400233,15,467.74891386666667,471.157697,481.79073950000003,485.0384511,0.0,9.776812199999998,457.9721016666667,15045.560338733334,15513.3092526,prefill,0,0,15
17,4731.861859093263,9011.808258282543,1.0,0.05,8,1156.5690195674242,15,491.8227791333333,461.698202,654.4218574999999,724.4142330999999,0.0,20.757868866666666,471.06491026666663,14846.720381866668,15338.543161,prefill,0,0,15
18,8184.234645366642,7511.381375407323,1.0,0.05,9,403.8968611183088,13,460.38262023076913,460.448955,482.1012868,485.99534536,0.0,8.624938153846154,451.75768207692306,12928.552891615385,13388.935511846154,prefill,0,0,13
19,7509.644766184729,7700.461885740251,1.0,0.05,9,844.4915278541305,13,487.3856905384616,464.138836,593.8717149999997,726.2662221999998,0.0,13.841909615384616,473.54378092307695,13799.281417846154,14286.667108384614,prefill,0,0,13
