gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated
0,0,1666.667,2113.249,2,24,506.75659512500005,462.644154,817.63670675,864.92192975,25.451243291666668,481.3053518333333,0,24,96000,15695
1,1,5000.0,2113.249,2,30,527.1032287666668,471.2434535,832.6675629499999,866.39705571,33.7545974,493.34863136666667,0,30,120000,18889
2,2,8333.333,2113.249,2,22,462.9099526818182,461.86580200000003,480.8532615,531.7184403099999,12.580547545454545,450.3294051363636,0,22,88000,14466
3,3,0.0,5000.0,2,35,496.79923225714293,471.25366,704.2092362999999,814.2900894199996,17.531172971428575,479.2680592857143,0,35,140000,22625
4,4,3333.333,5000.0,2,49,533.8558667959184,477.112293,836.4984033999998,986.3029652799993,40.05895159183674,493.79691520408164,0,49,196000,32215
5,5,6666.667,5000.0,2,25,497.192298,467.320503,701.8822282,762.9315917599998,13.640543119999998,483.55175488,0,25,100000,17011
6,6,10000.0,5000.0,2,30,510.95897883333345,468.0944435,860.4642223499995,945.9412478400001,31.803763166666666,479.15521566666666,0,30,120000,20405
7,7,1666.667,7886.751,2,29,462.62106562068965,465.055758,475.47720019999997,475.9451838,10.125595,452.4954706206896,0,29,116000,18457
8,8,5000.0,7886.751,2,30,491.8372237,466.8448955,712.7778964999999,727.58524922,15.279406400000001,476.5578173,0,30,120000,19793
9,9,8333.333,7886.751,2,26,491.83424396153856,461.894073,668.1163775,810.34658175,28.274880423076922,463.5593635384616,0,26,104000,16197
