gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated
0,0,1666.667,2113.249,3,25,493.36638380000005,409.860971,837.6790901999998,939.0708393599998,25.50200212,467.50496348,0,25,150000,16498
1,1,5000.0,2113.249,3,31,438.7289679354839,403.54068,653.855827,759.6917636,18.245303,420.402215483871,0,31,186000,19440
2,2,8333.333,2113.249,2,22,411.46771454545456,394.1862,534.2051259999998,660.7859690899999,14.432740545454545,397.034974,0,22,132000,14466
3,3,0.0,5000.0,2,32,432.33221828125,412.7223045,573.6509816,638.1872662600001,19.7245839375,412.60763434375,0,32,192000,20529
4,4,3333.333,5000.0,3,39,1038.0818276410257,429.306946,4042.127905600003,6073.874709719999,37.30494615384615,444.4347521025641,0,39,234000,26039
5,5,6666.667,5000.0,4,33,1083.5885196969698,561.370192,2893.8383277999988,8309.354552359999,72.4964453939394,562.3061405454545,0,33,198000,22100
6,6,10000.0,5000.0,2,30,420.61102999999997,406.61738049999997,497.2996705999998,699.9454570600002,19.23497133333333,401.37605866666667,0,30,180000,20405
7,7,1666.667,7886.751,2,28,425.663492,406.62080249999997,547.1853162499999,731.1380125000001,22.45404682142857,403.2094451785714,0,28,168000,17933
8,8,5000.0,7886.751,4,34,515.0746792941177,423.3104355,846.2961498999997,1019.7094928700002,41.14586038235294,473.69923655882354,0,34,204000,22146
9,9,8333.333,7886.751,2,26,431.1348052307692,403.0336,638.02671425,674.79983275,19.148902884615385,411.98590234615386,0,26,156000,16197
