gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated
0,0,1666.667,2113.249,2,24,1226.1224024583335,1028.6503885,1934.3032374499996,2037.56708305,160.25393333333335,1065.868469125,0,24,192000,15695
1,1,5000.0,2113.249,2,30,1650.7029329999998,1057.8822650000002,4377.893774899996,5246.77340246,83.73221166666667,1052.5656518666667,0,30,240000,18889
2,2,8333.333,2113.249,2,22,1036.6726760454546,1024.146848,1076.91542485,1449.0262729899996,23.15163690909091,1013.5210391363636,0,22,176000,14466
3,3,0.0,5000.0,2,35,5696.2348750857145,2131.380026,17582.674501099995,19985.931083059997,112.53386608571428,1056.4405461714287,0,35,280000,22625
4,4,3333.333,5000.0,2,49,12882.489716142858,6501.58343,39677.9686164,40611.1320736,44.89309848979592,1052.083793244898,0,49,392000,32215
5,5,6666.667,5000.0,2,25,1069.97936376,1011.49272,1522.7672789999983,1776.9139983599996,44.99958328,1024.97978048,0,25,200000,17011
6,6,10000.0,5000.0,2,30,1273.5755713666663,1034.5855295000001,2288.9521932999983,3321.0551124800013,80.0554735,1057.8832795333333,0,30,240000,20405
7,7,1666.667,7886.751,2,29,2727.7181571379315,1026.936544,7003.5889781999995,8076.4306689999985,36.75191410344828,1019.807816,0,29,232000,18457
8,8,5000.0,7886.751,2,30,1489.2275128333333,1041.6391655,3994.3681876499986,4338.32114369,84.32350943333334,1040.1642218333334,0,30,240000,19793
9,9,8333.333,7886.751,2,26,1124.0185426923076,1033.3761915,1795.2931047499999,1906.16138775,87.8215041923077,1036.1970385,0,26,208000,16197
