user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_communication_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,mean_decode_after_ttft_ms,mean_request_completion_latency_ms,dominant_ttft_bottleneck,communication_bottleneck_count,queueing_bottleneck_count,prefill_bottleneck_count
0,2750.2931836911926,2232.1073814882275,1.0,0.05,0,1090.1252317193375,12,641.98882575,553.2664955,952.4804044499999,1052.8761640900002,0.0,61.21266133333334,580.7761644166666,14807.784170083334,15449.772995833335,prefill,0,0,12
1,265.35969683863624,1988.376506866485,1.0,0.05,0,1406.8600845267997,12,610.4449248333334,554.329262,922.54781875,941.7123949500001,0.0,22.41181866666667,588.0331061666666,15967.848786583334,16578.293711416667,prefill,0,0,12
2,3402.5051651799185,1554.7949981178156,1.0,0.05,1,1692.2944836803865,15,588.7645894666665,554.89737,799.5937411999997,924.0596626399999,0.0,29.666658466666664,559.097931,16080.8599496,16669.624539066666,prefill,0,0,15
3,3701.8096711688263,2095.070307714877,1.0,0.05,1,1298.3176016383618,15,595.0192334666666,561.609873,783.5576059999995,1007.2323075999998,0.0,36.381868266666665,558.6373652000001,17647.4036332,18242.422866666668,prefill,0,0,15
4,8763.676264726688,3146.778807984779,1.0,0.05,2,1119.544188269797,11,539.056877909091,542.965089,552.8808725,553.4645777,0.0,8.613481545454546,530.4433963636363,15929.804919727272,16468.861797636364,prefill,0,0,11
5,8758.52940378194,2633.890507510908,1.0,0.05,2,672.20499933601,11,542.6854997272728,541.993539,563.6255404999999,577.3048073,0.0,13.971706636363637,528.713793090909,15739.618258272729,16282.303758,prefill,0,0,11
6,5.718961279435053,3241.560570046731,1.0,0.05,3,1758.448729799221,18,627.6391919444445,553.5034185,1022.9197770499994,1276.1598330099994,0.0,54.90670516666666,572.7324867777778,18085.465437833333,18713.10462977778,prefill,0,0,18
7,856.5345206787878,4859.9046331661375,1.0,0.05,3,867.9159503792722,17,769.7916565294117,563.622118,1185.0302605999996,1551.1394657199999,99.7506038540898,12.063853381204044,560.1334323529411,17932.08685235294,18701.80778535294,prefill,0,0,17
8,4752.8237809873135,5498.035934949439,1.0,0.05,4,1504.3250545706321,25,1833.8763481600001,767.041019,10275.096504599975,12700.34546196,101.7456159311716,27.361943628828122,586.5204494,19475.2480408,21309.052250959998,prefill,0,0,25
9,4381.00083914504,5175.758410355907,1.0,0.05,4,1062.3082979953008,24,1907.2646172916666,588.863096,9169.393309699994,12532.103934539999,141.31335545996055,14.202967123372396,558.416890625,18733.250082375,20640.414508,prefill,0,0,24
10,5945.191535334412,6193.815103321031,1.0,0.05,5,1394.8911595647273,13,837.3937456923078,561.379652,1707.969188999999,1999.2402281999994,97.83232301074192,67.65275629695012,555.4533505384616,19496.23470253846,20333.55908476923,prefill,0,0,13
11,7412.309083479308,5516.804211263912,1.0,0.05,5,907.2313428423192,12,669.8016316666667,552.46123,1048.1308777499999,1105.13390515,70.65667772998027,28.9574171866862,569.0678005833333,17940.7422175,18610.493753333332,prefill,0,0,12
12,9039.285715598931,5455.902892055224,1.0,0.05,6,1063.3999168876094,15,590.8406183333333,551.253539,820.6653578999998,929.9876971799998,0.0,31.625960666666668,559.2146576666667,18346.49231033333,18937.332928666667,prefill,0,0,15
13,8345.950198860168,5825.09566489794,1.0,0.05,6,1848.4219217711338,15,580.8285204666666,551.352267,718.3669806999995,961.5989761399998,0.0,23.514642133333332,557.3138783333334,17686.3173432,18267.14586366667,prefill,0,0,15
14,3082.583499301337,8989.8148874259,1.0,0.05,7,1794.8731076978372,15,922.1021132666666,555.885139,2273.3069781999952,4678.592755639997,56.525342183984215,16.563459349348957,562.8836945333333,16803.133401266667,17725.195437866663,prefill,0,0,15
15,1545.5333833220463,9298.810156936745,1.0,0.05,7,1417.2453618828288,14,737.2307969285714,542.133238,1650.9068345999995,2624.7652765199987,30.281433312848687,20.569329615722655,552.3121601428572,16638.884472857142,17376.093800142855,prefill,0,0,14
16,5384.519970927919,7194.299991448455,1.0,0.05,8,792.0505080400233,15,681.3809949333333,552.46086,1152.4218206999994,1430.5998601399997,28.262671091992107,26.74585437467448,539.0461728666667,16553.178024466666,17234.538981066664,prefill,0,0,15
17,4731.861859093263,9011.808258282543,1.0,0.05,8,1156.5690195674242,15,900.2962846000001,557.950727,2182.332752199998,3072.013417639999,56.525342183984215,24.529921616015624,559.2145111333333,18884.354048466666,19784.610256400003,prefill,0,0,15
18,8184.234645366642,7511.381375407323,1.0,0.05,9,403.8968611183088,13,574.6785225384615,553.235949,718.8627001999995,882.9514864399997,0.0,15.591780923076923,559.0867416153845,16059.204446538462,16633.882969076923,prefill,0,0,13
19,7509.644766184729,7700.461885740251,1.0,0.05,9,844.4915278541305,13,600.6673652307692,553.485631,884.8083599999999,935.0088719999999,0.0,16.951633076923077,583.7157321538461,15761.748407307692,16362.415772538461,prefill,0,0,13
