request_id,decision_time_ns,reevaluation_count,home_instance_id,candidate_instance_id,candidate_count,admissible_candidate_count,capacity_pressure_rank,model_ttft_rank,selected_by_model,predicted_total_ttft_ms,predicted_route_probability,predicted_route_positive_ms,predicted_route_upper_ms,predicted_route_ms,predicted_scheduler_raw_ms,predicted_scheduler_ms,predicted_compute_ms,predicted_formula_ttft_ms,request_migration_ms,kv_migration_ms,downlink_ms,candidate_waiting_reqs,candidate_running_reqs,candidate_max_num_seqs,candidate_required_kv_bytes,candidate_free_npu_bytes,candidate_projected_active_kv_bytes,candidate_kv_budget_bytes,candidate_available_kv_bytes,candidate_reserved_kv_bytes,candidate_reserved_slots,candidate_reserved_prefill_tokens,candidate_capacity_pressure,candidate_slot_pressure,candidate_admissible,feature_request_rate_rps,feature_arrival_offset_s,feature_interarrival_ms,feature_global_arrivals_1s,feature_global_arrivals_5s,feature_home_arrivals_1s,feature_home_arrivals_5s,feature_home_workload_share,feature_input_tokens,feature_output_tokens,feature_home_cached_prefix_tokens,feature_router_initial_waiting_reqs,feature_router_initial_running_reqs,feature_router_initial_required_kv_bytes,feature_router_initial_available_kv_bytes,feature_router_initial_projected_active_kv_bytes,feature_router_initial_capacity_pressure,feature_router_initial_slot_pressure,feature_router_initial_admissible_candidate_count,feature_router_initial_total_waiting_reqs,feature_router_initial_max_waiting_reqs,feature_router_initial_total_running_reqs,feature_router_initial_max_running_reqs,feature_router_initial_min_available_kv_bytes,feature_router_initial_max_available_kv_bytes,feature_router_initial_min_capacity_pressure,feature_router_initial_max_capacity_pressure,scheduler_clipped_ms,rank_delta_model_minus_pressure,case_id,source,actual_gpu_id,actual_ttft_ms,actual_router_ms,actual_scheduler_ms,actual_kv_transfer_ms,actual_compute_ms,actual_other_comm_ms,actual_ttft_rank,actual_regret_ms,prediction_error_ms,observed_candidate_count,expected_candidate_count,counterfactual_complete
49,17891375217,0,4,5,9,9,1,5,0,727.7915465989465,3.271198430818797e-18,3.5e-05,10311.686728689352,1.1449194507865792e-22,-10.920123284076835,0.0,410.4569855989465,410.4569855989465,0.318818,316.715168,0.300575,0,1,128,864026624,7196893184,853540864,9709281280,8855740416,0,0,0,0.1768995498706985,0.015625,1,3.3368690004150836,17.873615254,447.303116,3,12,0,1,0.0833333333333333,6000,579,2992,0,1,864026624,8855740416,853540864,0.1768995498706985,0.015625,9,0,0,34,11,135782400,8855740416,0.1768995498706985,1.0750049569065527,10.920123284076835,4,request49_target5,counterfactual,5,702.688432,0.011052000001311303,11.295920182247162,316.71516781775154,374.046899,0.6193930000000023,2,3.8165930000000117,-25.10311459894649,9,9,True
49,17891375217,0,4,0,9,9,7,1,1,727.7915465989465,2.081265173890923e-14,3.5e-05,10311.686728689352,7.284428108618232e-19,-10.304271583489983,0.0,410.4569855989465,410.4569855989465,0.318818,316.715168,0.300575,0,3,128,864026624,5418508288,2640314368,9709281280,7068966912,0,0,0,0.3609269204321579,0.03125,1,3.3368690004150836,17.873615254,447.303116,3,12,0,0,0.08,6000,579,2992,0,3,864026624,7068966912,2640314368,0.3609269204321579,0.03125,9,0,0,34,11,135782400,8855740416,0.1768995498706985,1.0750049569065527,10.304271583489983,-6,request49_target0,baseline,0,966.979755,0.011052000001311303,113.46771818224717,316.71516781775154,536.166424,0.6193930000000023,9,268.10791599999993,239.18820840105343,9,9,True
49,17891375217,0,4,1,9,9,4,2,0,727.7915465989465,2.3583911435848984e-14,3.5e-05,10311.686728689352,8.254369002547144e-19,-10.7781271467649,0.0,410.4569855989465,410.4569855989465,0.318818,316.715168,0.300575,0,3,128,864026624,4642562048,2606759936,9709281280,7102521344,0,0,0,0.3574710073699708,0.03125,1,3.3368690004150836,17.873615254,447.303116,3,12,0,1,0.1,6000,579,2992,0,3,864026624,7102521344,2606759936,0.3574710073699708,0.03125,9,0,0,34,11,135782400,8855740416,0.1768995498706985,1.0750049569065527,10.7781271467649,-2,request49_target1,counterfactual,1,706.063228,0.011052000001311303,7.021790182247162,316.71516781775154,381.695825,0.6193930000000023,4,7.191388999999958,-21.728318598946544,9,9,True
49,17891375217,0,4,2,9,9,5,3,0,727.7915465989465,2.0726519991040663e-14,3.5e-05,10311.686728689352,7.254281996864231e-19,-4.790674669259998,0.0,410.4569855989465,410.4569855989465,0.318818,316.715168,0.300575,0,3,128,864026624,7198990336,2625634304,9709281280,7083646976,0,0,0,0.359414958467451,0.03125,1,3.3368690004150836,17.873615254,447.303116,3,12,0,1,0.0733333333333333,6000,579,2992,0,3,864026624,7083646976,2625634304,0.359414958467451,0.03125,9,0,0,34,11,135782400,8855740416,0.1768995498706985,1.0750049569065527,4.790674669259998,-2,request49_target2,counterfactual,2,710.248454,0.011052000001311303,11.089320182247162,316.71516781775154,381.813521,0.6193930000000023,5,11.376615000000015,-17.543092598946487,9,9,True
49,17891375217,0,4,3,9,9,8,4,0,727.7915465989465,2.7291933758926832e-14,3.5e-05,10311.686728689352,9.552176815624393e-19,-18.386924949547364,0.0,410.4569855989465,410.4569855989465,0.318818,316.715168,0.300575,0,3,128,864026624,6269952000,2642411520,9709281280,7066869760,0,0,0,0.3611429149985445,0.03125,1,3.3368690004150836,17.873615254,447.303116,3,12,0,0,0.1166666666666666,6000,579,2992,0,3,864026624,7066869760,2642411520,0.3611429149985445,0.03125,9,0,0,34,11,135782400,8855740416,0.1768995498706985,1.0750049569065527,18.386924949547364,-4,request49_target3,counterfactual,3,712.617736,0.011052000001311303,13.165322182247161,316.71516781775154,382.106801,0.6193930000000023,6,13.745897000000014,-15.173810598946488,9,9,True
49,17891375217,0,4,6,9,9,9,8,0,822.8663138693512,2.4806791608348024e-12,3.5e-05,10311.686728689352,8.682377062921805e-17,95.0747672704046,95.0747672704046,410.4569855989465,505.5317528693511,0.318818,316.715168,0.300575,0,4,128,864026624,6374809600,3508535296,9709281280,6200745984,0,0,0,0.4503486709162472,0.0390625,1,3.3368690004150836,17.873615254,447.303116,3,12,1,1,0.1,6000,579,2992,0,4,864026624,6200745984,3508535296,0.4503486709162472,0.0390625,9,0,0,34,11,135782400,8855740416,0.1768995498706985,1.0750049569065527,0.0,-1,request49_target6,counterfactual,6,715.3322,0.011052000001311303,13.507690182247162,316.71516781775154,384.478897,0.6193930000000023,7,16.46036099999992,-107.53411386935124,9,9,True
49,17891375217,0,4,7,9,9,3,6,0,727.7915465989465,2.7751362494375553e-16,3.5e-05,10311.686728689352,9.712976873031444e-21,-15.98359673983678,0.0,410.4569855989465,410.4569855989465,0.318818,316.715168,0.300575,0,2,128,864026624,6255271936,1746927616,9709281280,7962353664,0,0,0,0.2689132351514282,0.0234375,1,3.3368690004150836,17.873615254,447.303116,3,12,0,0,0.0966666666666666,6000,579,2992,0,2,864026624,7962353664,1746927616,0.2689132351514282,0.0234375,9,0,0,34,11,135782400,8855740416,0.1768995498706985,1.0750049569065527,15.98359673983678,3,request49_target7,counterfactual,7,704.979744,0.011052000001311303,10.600535182247162,316.71516781775154,377.033596,0.6193930000000023,3,6.10790499999996,-22.811802598946542,9,9,True
49,17891375217,0,4,8,9,9,2,7,0,727.7915465989465,3.846242415476377e-18,3.5e-05,10311.686728689352,1.3461848454167322e-22,-14.531825731885595,0.0,410.4569855989465,410.4569855989465,0.318818,316.715168,0.300575,0,1,128,864026624,5431091200,866123776,9709281280,8843157504,0,0,0,0.1781955172690187,0.015625,1,3.3368690004150836,17.873615254,447.303116,3,12,0,1,0.1,6000,579,2992,0,1,864026624,8843157504,866123776,0.1781955172690187,0.015625,9,0,0,34,11,135782400,8855740416,0.1768995498706985,1.0750049569065527,14.531825731885595,5,request49_target8,counterfactual,8,698.871839,0.011052000001311303,7.250367182247162,316.71516781775154,374.275859,0.6193930000000023,1,0.0,-28.919707598946502,9,9,True
49,17891375217,0,4,9,9,9,6,9,0,828.0307850159228,3.1138807174528995e-14,3.5e-05,10311.686728689352,1.0898582511085145e-18,100.23923841697624,100.23923841697624,410.4569855989465,510.6962240159228,0.318818,316.715168,0.300575,0,3,128,864026624,6429335552,2634022912,9709281280,7075258368,0,0,0,0.3602789367329978,0.03125,1,3.3368690004150836,17.873615254,447.303116,3,12,1,2,0.0866666666666666,6000,579,2992,0,3,864026624,7075258368,2634022912,0.3602789367329978,0.03125,9,0,0,34,11,135782400,8855740416,0.1768995498706985,1.0750049569065527,0.0,3,request49_target9,counterfactual,9,863.340411,0.011052000001311303,10.658991182247162,316.71516781775154,535.335807,0.6193930000000023,8,164.468572,35.30962598407723,9,9,True
51,18237109993,0,4,5,9,9,1,4,0,730.1509972550501,3.865723008171682e-18,0.152318950740767,10311.839012640094,5.888228724591522e-19,2.359450656103717,2.359450656103717,410.4569855989465,412.81643625505023,0.318818,316.715168,0.300575,0,1,128,889192448,7192698880,853540864,9709281280,8855740416,0,0,0,0.1794914846673388,0.015625,1,3.3368690004150836,18.21799358,164.622106,3,14,0,1,0.0833333333333333,6000,769,2992,0,1,889192448,8855740416,853540864,0.1794914846673388,0.015625,9,1,1,35,11,135782400,8855740416,0.1794914846673388,1.077596891703193,0.0,3,request51_target5,counterfactual,5,706.463506,1.3675020000013114,13.677872182247162,316.71516781775154,374.083571,0.6193930000000023,2,0.3193340000000262,-23.687491255050077,9,9,True
