variant,request_id,chosen_gpu,top1_correct,regret_ms,spearman
formula_new_formula_only,49,8,1,0.0,0.7333333333333334
pressure,49,5,0,3.8165930000000117,0.8499999999999999
stage2_base_new_formula,49,5,0,3.8165930000000117,0.7999999999999999
stage2_expanded_new_formula,49,5,0,3.8165930000000117,0.6666666666666667
stage2_full_features_new_formula,49,2,0,11.376615000000015,0.06666666666666667
formula_new_formula_only,51,8,0,372.535435,0.08333333333333334
pressure,51,5,0,0.3193340000000262,0.15
stage2_base_new_formula,51,5,0,0.3193340000000262,0.21666666666666667
stage2_expanded_new_formula,51,5,0,0.3193340000000262,0.16666666666666669
stage2_full_features_new_formula,51,5,0,0.3193340000000262,0.19999999999999998
formula_new_formula_only,67,8,0,155.85861999999997,0.19999999999999998
pressure,67,7,1,0.0,0.5666666666666667
stage2_base_new_formula,67,5,0,7.153442000000041,0.3666666666666667
stage2_expanded_new_formula,67,5,0,7.153442000000041,0.5499999999999999
stage2_full_features_new_formula,67,7,1,0.0,0.75
formula_new_formula_only,82,0,0,4.755126000000018,-0.18333333333333335
pressure,82,6,0,226.05935899999997,0.39999999999999997
stage2_base_new_formula,82,0,0,4.755126000000018,-0.06666666666666667
stage2_expanded_new_formula,82,6,0,226.05935899999997,0.19999999999999998
stage2_full_features_new_formula,82,0,0,4.755126000000018,0.0
formula_new_formula_only,84,3,0,3.5373540000000503,-0.13333333333333333
pressure,84,6,0,13.618229000000042,0.049999999999999996
stage2_base_new_formula,84,7,0,16.065274000000045,0.3666666666666667
stage2_expanded_new_formula,84,6,0,13.618229000000042,0.31666666666666665
stage2_full_features_new_formula,84,6,0,13.618229000000042,0.26666666666666666
formula_new_formula_only,90,5,1,0.0,0.5333333333333333
pressure,90,5,1,0.0,0.7
stage2_base_new_formula,90,5,1,0.0,0.5166666666666667
stage2_expanded_new_formula,90,5,1,0.0,0.7166666666666667
stage2_full_features_new_formula,90,5,1,0.0,0.7333333333333334
formula_new_formula_only,154,1,0,189.49389900000006,-0.21666666666666667
pressure,154,1,0,189.49389900000006,0.016666666666666666
stage2_base_new_formula,154,3,0,41.18834300000003,-0.41666666666666663
stage2_expanded_new_formula,154,3,0,41.18834300000003,-0.43333333333333335
stage2_full_features_new_formula,154,2,0,8.634270000000015,0.3666666666666667
formula_new_formula_only,156,6,1,0.0,0.25
pressure,156,1,0,137.07329900000002,0.16666666666666669
stage2_base_new_formula,156,3,0,34.206501,-0.11666666666666665
stage2_expanded_new_formula,156,1,0,137.07329900000002,-0.43333333333333335
stage2_full_features_new_formula,156,2,0,9.03108199999997,0.18333333333333335
formula_new_formula_only,161,9,0,14.517367000000036,-0.15
pressure,161,2,0,1.34700399999997,0.6333333333333333
stage2_base_new_formula,161,2,0,1.34700399999997,0.35
stage2_expanded_new_formula,161,2,0,1.34700399999997,0.4666666666666666
stage2_full_features_new_formula,161,2,0,1.34700399999997,0.5333333333333333
formula_new_formula_only,165,7,0,10.02788600000008,0.6666666666666667
pressure,165,7,0,10.02788600000008,0.7333333333333334
stage2_base_new_formula,165,3,0,28.80793200000005,0.35
stage2_expanded_new_formula,165,3,0,28.80793200000005,0.31666666666666665
stage2_full_features_new_formula,165,3,0,28.80793200000005,0.06666666666666667
formula_new_formula_only,173,2,1,0.0,0.31666666666666665
