variant,request_id,lambda_used,chosen_gpu,top1_correct,regret_ms,spearman
guardrail_nested_cv,49,51200.0,5,0,3.8165930000000117,0.8666666666666667
formula_only,49,,0,0,268.10791599999993,-0.09999999999999999
pressure,49,,5,0,3.8165930000000117,0.8499999999999999
guardrail_nested_cv,51,51200.0,5,0,0.3193340000000262,0.16666666666666669
formula_only,51,,3,0,7.714667999999961,0.21666666666666667
pressure,51,,5,0,0.3193340000000262,0.15
guardrail_nested_cv,67,51200.0,7,1,0.0,0.5666666666666667
formula_only,67,,8,0,155.85861999999997,0.19999999999999998
pressure,67,,7,1,0.0,0.5666666666666667
guardrail_nested_cv,82,51200.0,6,0,226.05935899999997,0.33333333333333337
formula_only,82,,0,0,4.755126000000018,-0.15
pressure,82,,6,0,226.05935899999997,0.39999999999999997
guardrail_nested_cv,84,3200.0,7,0,16.065274000000045,0.38333333333333336
formula_only,84,,3,0,3.5373540000000503,0.06666666666666667
pressure,84,,6,0,13.618229000000042,0.049999999999999996
guardrail_nested_cv,90,51200.0,5,1,0.0,0.7166666666666667
formula_only,90,,0,0,4.944749000000002,0.5666666666666667
pressure,90,,5,1,0.0,0.7
guardrail_nested_cv,154,51200.0,1,0,189.49389900000006,0.016666666666666666
formula_only,154,,1,0,189.49389900000006,-0.21666666666666667
pressure,154,,1,0,189.49389900000006,0.016666666666666666
guardrail_nested_cv,156,51200.0,6,1,0.0,0.3
formula_only,156,,6,1,0.0,0.18333333333333335
pressure,156,,1,0,137.07329900000002,0.16666666666666669
guardrail_nested_cv,161,51200.0,2,0,1.34700399999997,0.6333333333333333
formula_only,161,,2,0,1.34700399999997,-0.11666666666666665
pressure,161,,2,0,1.34700399999997,0.6333333333333333
guardrail_nested_cv,165,51200.0,7,0,10.02788600000008,0.7666666666666667
formula_only,165,,7,0,10.02788600000008,0.6333333333333333
pressure,165,,7,0,10.02788600000008,0.7333333333333334
guardrail_nested_cv,173,51200.0,2,1,0.0,0.26666666666666666
formula_only,173,,1,0,557.7409279999999,0.18333333333333335
pressure,173,,2,1,0.0,0.26666666666666666
guardrail_nested_cv,175,51200.0,2,0,0.18702700000005734,0.4666666666666666
formula_only,175,,2,0,0.18702700000005734,0.8333333333333333
pressure,175,,2,0,0.18702700000005734,0.4666666666666666
guardrail_nested_cv,197,51200.0,9,1,0.0,0.26666666666666666
formula_only,197,,8,0,149.16378399999996,0.3
pressure,197,,9,1,0.0,0.26666666666666666
guardrail_nested_cv,203,51200.0,9,1,0.0,0.5952380952380953
formula_only,203,,9,1,0.0,0.9047619047619048
pressure,203,,9,1,0.0,0.5952380952380953
guardrail_nested_cv,205,51200.0,9,0,7.183597000000077,0.6833333333333333
formula_only,205,,9,0,7.183597000000077,0.5333333333333333
pressure,205,,9,0,7.183597000000077,0.6833333333333333
guardrail_nested_cv,263,51200.0,0,1,0.0,0.5166666666666667
formula_only,263,,0,1,0.0,0.75
pressure,263,,0,1,0.0,0.5166666666666667
guardrail_nested_cv,265,51200.0,2,1,0.0,0.6333333333333333
formula_only,265,,0,0,2.7885420000000067,0.15
pressure,265,,2,1,0.0,0.6333333333333333
guardrail_nested_cv,267,51200.0,2,1,0.0,0.45
formula_only,267,,4,0,16.46042799999998,0.2333333333333333
pressure,267,,0,0,218.75641499999995,0.35
