case_id,request_id,candidate_instance_id,selected_by_model,needs_simulation,capacity_pressure_rank,model_ttft_rank
request49_target0,49,0,1,0,7,1
request49_target1,49,1,0,1,4,2
request49_target2,49,2,0,1,5,3
request49_target3,49,3,0,1,8,4
request49_target5,49,5,0,1,1,5
request49_target6,49,6,0,1,9,8
request49_target7,49,7,0,1,3,6
request49_target8,49,8,0,1,2,7
request49_target9,49,9,0,1,6,9
request51_target0,51,0,0,1,9,9
request51_target1,51,1,0,1,4,5
request51_target2,51,2,0,1,5,7
request51_target3,51,3,1,0,7,1
request51_target5,51,5,0,1,1,4
request51_target6,51,6,0,1,8,6
request51_target7,51,7,0,1,3,2
request51_target8,51,8,0,1,2,3
request51_target9,51,9,0,1,6,8
request67_target0,67,0,0,1,9,8
request67_target1,67,1,0,1,5,4
request67_target2,67,2,0,1,3,3
request67_target3,67,3,0,1,6,6
request67_target5,67,5,0,1,2,2
request67_target6,67,6,0,1,7,7
request67_target7,67,7,0,1,1,5
request67_target8,67,8,1,0,4,1
request67_target9,67,9,0,1,8,9
request82_target0,82,0,1,0,2,1
request82_target1,82,1,0,1,8,8
request82_target2,82,2,0,1,4,9
request82_target3,82,3,0,1,7,5
request82_target5,82,5,0,1,5,3
request82_target6,82,6,0,1,1,2
request82_target7,82,7,0,1,3,4
request82_target8,82,8,0,1,6,7
request82_target9,82,9,0,1,9,6
request84_target0,84,0,0,1,4,9
request84_target1,84,1,0,1,6,6
request84_target2,84,2,0,1,3,8
request84_target3,84,3,1,0,8,1
request84_target5,84,5,0,1,5,2
request84_target6,84,6,0,1,1,5
request84_target7,84,7,0,1,2,4
request84_target8,84,8,0,1,7,7
request84_target9,84,9,0,1,9,3
request90_target0,90,0,1,0,3,1
request90_target1,90,1,0,1,4,5
request90_target2,90,2,0,1,7,4
request90_target3,90,3,0,1,8,6
request90_target5,90,5,0,1,1,2
request90_target6,90,6,0,1,2,3
request90_target7,90,7,0,1,6,7
request90_target8,90,8,0,1,5,9
request90_target9,90,9,0,1,9,8
request154_target0,154,0,0,1,8,9
request154_target1,154,1,1,0,1,1
request154_target2,154,2,0,1,5,8
request154_target3,154,3,0,1,9,6
request154_target5,154,5,0,1,6,4
request154_target6,154,6,0,1,2,2
request154_target7,154,7,0,1,4,7
request154_target8,154,8,0,1,7,5
request154_target9,154,9,0,1,3,3
request156_target0,156,0,0,1,8,9
request156_target1,156,1,0,1,1,6
request156_target2,156,2,0,1,4,8
request156_target3,156,3,0,1,9,5
request156_target5,156,5,0,1,6,3
request156_target6,156,6,1,0,2,1
request156_target7,156,7,0,1,5,7
request156_target8,156,8,0,1,7,4
request156_target9,156,9,0,1,3,2
request161_target0,161,0,0,1,6,7
request161_target1,161,1,0,1,2,9
request161_target2,161,2,1,0,1,1
request161_target3,161,3,0,1,9,6
request161_target5,161,5,0,1,7,4
request161_target6,161,6,0,1,5,8
request161_target7,161,7,0,1,4,3
request161_target8,161,8,0,1,8,5
request161_target9,161,9,0,1,3,2
request165_target0,165,0,0,1,5,7
request165_target1,165,1,0,1,3,3
request165_target2,165,2,0,1,2,5
request165_target3,165,3,0,1,9,8
request165_target5,165,5,0,1,6,4
request165_target6,165,6,0,1,7,9
request165_target7,165,7,1,0,1,1
request165_target8,165,8,0,1,8,6
request165_target9,165,9,0,1,4,2
request173_target0,173,0,0,1,9,7
request173_target1,173,1,1,0,2,1
request173_target2,173,2,0,1,1,2
request173_target3,173,3,0,1,8,6
request173_target5,173,5,0,1,5,4
request173_target6,173,6,0,1,6,8
request173_target7,173,7,0,1,4,9
request173_target8,173,8,0,1,7,5
request173_target9,173,9,0,1,3,3
request175_target0,175,0,0,1,9,6
request175_target1,175,1,0,1,3,9
request175_target2,175,2,1,0,1,1
request175_target3,175,3,0,1,8,5
request175_target5,175,5,0,1,5,4
request175_target6,175,6,0,1,6,7
request175_target7,175,7,0,1,4,8
request175_target8,175,8,0,1,7,3
request175_target9,175,9,0,1,2,2
request197_target0,197,0,0,1,7,5
request197_target1,197,1,0,1,8,9
request197_target2,197,2,0,1,3,3
request197_target4,197,4,0,1,9,8
request197_target5,197,5,0,1,4,4
request197_target6,197,6,0,1,6,7
request197_target7,197,7,0,1,5,6
request197_target8,197,8,1,0,2,1
request197_target9,197,9,0,1,1,2
request203_target0,203,0,0,1,6,4
request203_target1,203,1,0,1,7,5
request203_target2,203,2,0,1,2,2
request203_target5,203,5,0,1,3,3
request203_target6,203,6,0,1,8,8
request203_target7,203,7,0,1,5,6
request203_target8,203,8,0,1,4,7
request203_target9,203,9,1,0,1,1
request205_target0,205,0,0,1,6,4
request205_target1,205,1,0,1,7,5
