gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated,observation_start_ns,observation_end_ns,observation_time_ns,busy_time_ns,idle_time_ns,utilization_pct,completed_batch_count
0,0,1666.667,2113.249,2,24,457.85368804166666,404.8835855,721.3610455499999,751.40010865,32.76109725,425.0925907916667,0,24,144000,15695,17748911,106057340843,106039591932,94070494785,11969097147,88.71261485551979,4095
1,1,5000.0,2113.249,2,30,456.27209856666667,408.163764,588.7887601,730.7647978800002,25.996603133333334,430.27549543333333,0,30,180000,18889,17748911,106057340843,106039591932,96837999946,9201591986,91.32249396819567,3928
2,2,8333.333,2113.249,2,22,436.46608381818174,392.618312,650.4032343499999,851.2251791299998,24.73175018181818,411.7343336363636,0,22,132000,14466,17748911,106057340843,106039591932,101050747838,4988844094,95.29530055415604,4631
3,3,0.0,5000.0,2,33,423.20724048484846,412.322556,513.3196807999999,656.93465052,18.09189306060606,405.11534742424243,0,33,198000,21281,17748911,106057340843,106039591932,104158782602,1880809330,98.2263140627643,4162
4,4,3333.333,5000.0,3,38,480.8539425526316,413.1055905,788.7521879499998,1045.1379482300006,31.198833483276367,432.83128531578944,0,38,228000,24818,17748911,106057340843,106039591932,99235028506,6804563426,93.58299734842099,3544
5,5,6666.667,5000.0,6,37,672.3177003783783,702.688432,1349.1012041999998,1419.5425230800001,48.43951161935116,467.09142035135136,0,37,222000,24538,17748911,106057340843,106039591932,101106760622,4932831310,95.34812307353721,3692
6,6,10000.0,5000.0,2,27,455.65886533333327,404.937672,663.0661706999999,726.57377274,26.832534592592594,428.82633074074073,0,27,162000,18569,17748911,106057340843,106039591932,90786945338,15252646594,85.61608327974228,3652
7,7,1666.667,7886.751,3,31,445.0890815483872,407.033476,729.235876,743.6807501,21.3586113988549,403.15655767741936,0,31,186000,19997,17748911,106057340843,106039591932,98049079689,7990512243,92.46459544268704,3937
8,8,5000.0,7886.751,3,31,510.7332287419356,408.569739,1007.624988,1078.5208917999998,28.914617824088804,423.6655147096774,0,31,186000,20720,17748911,106057340843,106039591932,102173940104,3865651828,96.35452027156147,4125
9,9,8333.333,7886.751,3,27,474.0683964814815,398.514756,755.5417875999999,1241.5217301599992,37.58996389563893,424.7249472592593,0,27,162000,16780,17748911,106057340843,106039591932,94092512222,11947079710,88.73337826718411,3992
