condition,rate,seed,policy,requests,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,redirects,router_wait_mean_ms,scheduler_queue_mean_ms,prefill_mean_ms,completion_mean_ms
mixed_rate2p5_seed1,2.5,1,KV migrate,300,573.2876006199999,478.746813,1333.6583289000002,1773.91634592,1879.623328,6,0.0,60.256062398982245,508.75696868333335,16332.809246696666
mixed_rate2p5_seed1,2.5,1,Multi learned,300,570.5828777433334,464.32246999999995,1333.6583289000002,1780.0708006599998,1879.623328,6,0.0,57.50898528231558,508.79999588,16309.52254315
mixed_rate2p5_seed1,2.5,1,Multi no model,300,572.0746637333333,472.3049575,1332.8580365500002,1773.91487379,1868.601871,6,0.0,60.10052447898224,507.69790731,16270.14540007
mixed_rate2p5_seed2,2.5,2,KV migrate,300,593.5297839533334,543.6820795,1376.2156845,1969.000982239997,2491.945961,4,0.0,75.4494800320355,515.0583199133333,16514.75460417
mixed_rate2p5_seed2,2.5,2,Multi learned,300,592.0342025000001,542.1316335,1363.1248872500005,1969.000982239997,2491.945961,4,0.0,74.72905807536884,514.2966818333333,16541.807041013333
mixed_rate2p5_seed2,2.5,2,Multi no model,300,592.1222337033333,542.1316335,1362.3773622000003,1969.000982239997,2491.945961,4,0.0,74.87231446203549,514.23371101,16534.821496886667
mixed_rate2p5_seed3,2.5,3,KV migrate,300,549.7634844966666,477.907412,1286.41762425,1549.8347760899992,2481.845609,2,0.0,40.485624263333335,509.2724668166667,16542.190594606665
mixed_rate2p5_seed3,2.5,3,Multi learned,300,549.7694769233333,481.11677050000003,1286.5264428500002,1549.8347760899992,2481.845609,2,0.0,40.39785774,509.3662257666667,16566.391714266665
mixed_rate2p5_seed3,2.5,3,Multi no model,300,549.7634844966666,477.907412,1286.41762425,1549.8347760899992,2481.845609,2,0.0,40.485624263333335,509.2724668166667,16542.190594606665
mixed_rate3p33_seed1,3.33,1,KV migrate,300,675.5482321066667,543.464365,1528.0293367000002,2388.4760997999965,10041.555312,22,45.59608106666667,88.30538916699405,527.3414948233333,18461.46532731
mixed_rate3p33_seed1,3.33,1,Multi learned,300,598.3273153700001,521.7255585,1347.6495496500008,1856.1265907199968,3193.44453,16,0.0,70.48448195942017,516.79229362,18171.397288313332
mixed_rate3p33_seed1,3.33,1,Multi no model,300,596.0997409633333,513.9444925,1347.6495496500008,1856.2858176599968,3193.44453,17,0.0,69.3598784427535,515.6958294733333,18107.880015696668
mixed_rate3p33_seed2,3.33,2,KV migrate,300,767.1434614333334,550.724286,1941.7866250000004,4149.863006059995,13020.562466,29,127.13775115333334,88.41460323667461,534.5829112266667,18573.529577613335
mixed_rate3p33_seed2,3.33,2,Multi learned,300,628.57319552,548.2767289999999,1385.4567818,1951.5852549099993,2514.278279,21,0.0,85.39774038588568,533.40087109,17858.983586196668
mixed_rate3p33_seed2,3.33,2,Multi no model,300,613.8762600700001,541.9595314999999,1346.2702606500002,1940.0620085799992,2514.278279,21,0.0,75.18861455255235,528.9163444766667,17699.655222346668
mixed_rate3p33_seed3,3.33,3,KV migrate,300,706.5304384466666,563.432416,1597.5287149000003,3255.9724218199967,5831.601703,31,64.82556331333333,88.42100817908485,532.9216139833334,18255.652281653332
mixed_rate3p33_seed3,3.33,3,Multi learned,300,624.0013979466667,558.6655364999999,1370.39658355,1771.4552834899994,2157.843404,21,0.0,80.11595198152665,530.4844007433334,18046.506572033333
mixed_rate3p33_seed3,3.33,3,Multi no model,300,612.51028483,540.27547,1353.5839293000001,1779.721659999999,2200.968996,17,0.0,74.90656628072587,527.0568000633333,17799.447129606666
