condition,rate,seed,population,policy,request_count,Router queue,Scheduler queue,KV transfer,Compute / prefill,RTT / other comm,Total
mixed_rate2p5_seed1,2.5,1,All requests,KV migrate,300,0.03461513666667639,60.256062398982245,4.227506737684418,508.75696868333335,0.012447663333333026,573.28760062
mixed_rate2p5_seed1,2.5,1,All requests,Multi no model,300,0.036277543333343265,60.10052447898224,4.227506737684418,507.69790731,0.012447663333333026,572.0746637333333
mixed_rate2p5_seed1,2.5,1,All requests,Multi learned,300,0.03394218000000974,57.50898528231558,4.227506737684418,508.79999588,0.012447663333333026,570.5828777433334
mixed_rate2p5_seed1,2.5,1,Redirected only,KV migrate,6,1.73075683333382,80.20365694911195,211.37533688422093,690.8362543333334,0.6223831666666513,984.7683881666667
mixed_rate2p5_seed1,2.5,1,Redirected only,Multi no model,6,1.8138771666671634,151.16419694911193,211.37533688422093,647.4274728333334,0.6223831666666513,1012.403267
mixed_rate2p5_seed1,2.5,1,Redirected only,Multi learned,6,1.697109000000487,60.65844994911194,211.37533688422093,661.6790455,0.6223831666666513,936.0323245
mixed_rate2p5_seed1,2.5,1,Not redirected only,KV migrate,294,0.0,59.848968632653055,0.0,505.04106489455785,0.0,564.8900335272108
mixed_rate2p5_seed1,2.5,1,Not redirected only,Multi no model,294,0.0,58.242082183673475,0.0,504.8462835238096,0.0,563.0883657074829
mixed_rate2p5_seed1,2.5,1,Not redirected only,Multi learned,294,0.0,57.44471049319728,0.0,505.6800152755102,0.0,563.1247257687075
mixed_rate2p5_seed2,2.5,2,All requests,KV migrate,300,0.020397253333339194,75.4494800320355,2.9933082479644972,515.0583199133333,0.008278506666666186,593.5297839533333
mixed_rate2p5_seed2,2.5,2,All requests,Multi no model,300,0.014621476666672528,74.87231446203549,2.9933082479644972,514.23371101,0.008278506666666186,592.1222337033333
mixed_rate2p5_seed2,2.5,2,All requests,Multi learned,300,0.006875836666672533,74.72905807536884,2.9933082479644972,514.2966818333333,0.008278506666666186,592.0342025
mixed_rate2p5_seed2,2.5,2,Redirected only,KV migrate,4,1.5297940000004395,75.90996790266227,224.49811859733728,613.52042175,0.6208880000000079,916.07919025
mixed_rate2p5_seed2,2.5,2,Redirected only,Multi no model,4,1.0966107500004396,6.822509152662278,224.49811859733728,533.16859475,0.6208880000000079,766.20672125
mixed_rate2p5_seed2,2.5,2,Redirected only,Multi learned,4,0.51568775000044,6.701198152662277,224.49811859733728,532.9206335,0.6208880000000079,765.256526
mixed_rate2p5_seed2,2.5,2,Not redirected only,KV migrate,296,0.0,75.44325722297297,0.0,513.7277509695946,0.0,589.1710081925676
mixed_rate2p5_seed2,2.5,2,Not redirected only,Multi no model,296,0.0,75.79190642567568,0.0,513.9778342027028,0.0,589.7697406283784
mixed_rate2p5_seed2,2.5,2,Not redirected only,Multi learned,296,0.0,75.64835347972972,0.0,514.0450068108108,0.0,589.6933602905406
