condition,rate,seed,population,policy,requests,p50_ms,p90_ms,p95_ms,p99_ms,max_ms
mixed_rate2p5_seed1,2.5,1,All requests,KV migrate,300,478.746813,1236.5754892999998,1333.6583289000002,1773.91634592,1879.623328
mixed_rate2p5_seed1,2.5,1,All requests,Multi no model,300,472.3049575,1237.2644357000001,1332.8580365500002,1773.91487379,1868.601871
mixed_rate2p5_seed1,2.5,1,All requests,Multi learned,300,464.32246999999995,1218.3981250000006,1333.6583289000002,1780.0708006599998,1879.623328
mixed_rate2p5_seed1,2.5,1,Redirected only,KV migrate,6,1055.6683155,1303.444974,1333.3851220000001,1357.3372404000002,1363.32527
mixed_rate2p5_seed1,2.5,1,Redirected only,Multi no model,6,1089.0988335,1365.5584035000002,1429.78489625,1481.16609045,1494.011389
mixed_rate2p5_seed1,2.5,1,Redirected only,Multi learned,6,835.1665909999999,1520.060261,1675.7827005,1800.3606521000002,1831.50514
mixed_rate2p5_seed1,2.5,1,Not redirected only,KV migrate,294,461.0365885,1214.938339,1332.8796705500001,1774.2729254399999,1879.623328
mixed_rate2p5_seed1,2.5,1,Not redirected only,Multi no model,294,461.0365885,1230.3593229999997,1332.44771565,1774.2715425299998,1868.601871
mixed_rate2p5_seed1,2.5,1,Not redirected only,Multi learned,294,462.9843515,1214.938339,1332.8796705500001,1774.2729254399999,1879.623328
mixed_rate2p5_seed2,2.5,2,All requests,KV migrate,300,543.6820795,1236.4948693000001,1376.2156845,1969.000982239997,2491.945961
mixed_rate2p5_seed2,2.5,2,All requests,Multi no model,300,542.1316335,1236.4948693000001,1362.3773622000003,1969.000982239997,2491.945961
mixed_rate2p5_seed2,2.5,2,All requests,Multi learned,300,542.1316335,1237.0261006,1363.1248872500005,1969.000982239997,2491.945961
mixed_rate2p5_seed2,2.5,2,Redirected only,KV migrate,4,969.8105805,1061.3795548,1078.7234494,1092.59856508,1096.067344
mixed_rate2p5_seed2,2.5,2,Redirected only,Multi no model,4,823.7838165000001,948.9156678,951.2532249,953.1232705799999,953.590782
mixed_rate2p5_seed2,2.5,2,Redirected only,Multi learned,4,816.2971239999999,951.6389046,952.6148433,953.3955942599999,953.590782
mixed_rate2p5_seed2,2.5,2,Not redirected only,KV migrate,296,542.1316335,1237.9541305,1376.2447585,1981.6934752000036,2491.945961
mixed_rate2p5_seed2,2.5,2,Not redirected only,Multi no model,296,537.9718285,1237.9541305,1366.106063,1981.6934752000036,2491.945961
mixed_rate2p5_seed2,2.5,2,Not redirected only,Multi learned,296,537.9718285,1240.610287,1369.84368825,1981.6934752000036,2491.945961
mixed_rate2p5_seed3,2.5,3,All requests,KV migrate,300,477.907412,1098.5795587000007,1286.41762425,1549.8347760899992,2481.845609
mixed_rate2p5_seed3,2.5,3,All requests,Multi no model,300,477.907412,1098.5795587000007,1286.41762425,1549.8347760899992,2481.845609
mixed_rate2p5_seed3,2.5,3,All requests,Multi learned,300,481.11677050000003,1098.5795587000007,1286.5264428500002,1549.8347760899992,2481.845609
mixed_rate2p5_seed3,2.5,3,Redirected only,KV migrate,2,1236.471937,1255.918509,1258.3493305,1260.2939877000001,1260.780152
mixed_rate2p5_seed3,2.5,3,Redirected only,Multi no model,2,1236.471937,1255.918509,1258.3493305,1260.2939877000001,1260.780152
mixed_rate2p5_seed3,2.5,3,Redirected only,Multi learned,2,1235.4230275,1254.0167287,1256.34094135,1258.20031147,1258.665154
mixed_rate2p5_seed3,2.5,3,Not redirected only,KV migrate,298,474.43015149999997,1076.0039160000001,1286.76294275,1551.324958269998,2481.845609
mixed_rate2p5_seed3,2.5,3,Not redirected only,Multi no model,298,474.43015149999997,1076.0039160000001,1286.76294275,1551.324958269998,2481.845609
mixed_rate2p5_seed3,2.5,3,Not redirected only,Multi learned,298,477.5268505,1076.0039160000001,1287.08939855,1551.324958269998,2481.845609
mixed_rate3p33_seed1,3.33,1,All requests,KV migrate,300,543.464365,1318.4795457,1528.0293367000002,2388.4760997999965,10041.555312
mixed_rate3p33_seed1,3.33,1,All requests,Multi no model,300,513.9444925,1209.0311698000003,1347.6495496500008,1856.2858176599968,3193.44453
mixed_rate3p33_seed1,3.33,1,All requests,Multi learned,300,521.7255585,1226.682039,1347.6495496500008,1856.1265907199968,3193.44453
mixed_rate3p33_seed1,3.33,1,Redirected only,KV migrate,22,1045.332404,2329.523886100001,2760.533345,8516.696657519995,10041.555312
mixed_rate3p33_seed1,3.33,1,Redirected only,Multi no model,17,707.243899,1088.4764794000002,1221.4399216000002,1236.15918112,1239.838996
mixed_rate3p33_seed1,3.33,1,Redirected only,Multi learned,16,707.076014,1114.754369,1230.5512815,1231.8262395,1232.144979
mixed_rate3p33_seed1,3.33,1,Not redirected only,KV migrate,278,511.210667,1283.782638,1438.0387676499997,1958.6477157900053,3291.042862
mixed_rate3p33_seed1,3.33,1,Not redirected only,Multi no model,283,507.377531,1199.5605894000005,1399.2933846999986,1917.9313648800025,3193.44453
mixed_rate3p33_seed1,3.33,1,Not redirected only,Multi learned,284,514.167444,1207.962482400001,1396.255512049998,1911.5982982400055,3193.44453
mixed_rate3p33_seed2,3.33,2,All requests,KV migrate,300,550.724286,1380.4226071000003,1941.7866250000004,4149.863006059995,13020.562466
mixed_rate3p33_seed2,3.33,2,All requests,Multi no model,300,541.9595314999999,1269.110244,1346.2702606500002,1940.0620085799992,2514.278279
mixed_rate3p33_seed2,3.33,2,All requests,Multi learned,300,548.2767289999999,1305.0712313,1385.4567818,1951.5852549099993,2514.278279
mixed_rate3p33_seed2,3.33,2,Redirected only,KV migrate,29,1044.661779,2091.5341157999997,3699.7572459999947,10679.23001071999,13020.562466
mixed_rate3p33_seed2,3.33,2,Redirected only,Multi no model,21,994.109219,1329.675089,1395.469782,1447.4053675999999,1460.389264
mixed_rate3p33_seed2,3.33,2,Redirected only,Multi learned,21,1001.712088,1330.35327,1732.061047,1882.3470342,1919.918531
mixed_rate3p33_seed2,3.33,2,Not redirected only,KV migrate,271,517.95842,1333.451645,1538.650913,3262.2989460000117,5580.122742
mixed_rate3p33_seed2,3.33,2,Not redirected only,Multi no model,279,513.281731,1245.9312768000002,1342.0769873,1956.0062077599978,2514.278279
mixed_rate3p33_seed2,3.33,2,Not redirected only,Multi learned,279,525.515341,1290.7296604000003,1371.2114571999994,1964.2610000199982,2514.278279
mixed_rate3p33_seed3,3.33,3,All requests,KV migrate,300,563.432416,1341.4432568000013,1597.5287149000003,3255.9724218199967,5831.601703
mixed_rate3p33_seed3,3.33,3,All requests,Multi no model,300,540.27547,1281.9492057000002,1353.5839293000001,1779.721659999999,2200.968996
mixed_rate3p33_seed3,3.33,3,All requests,Multi learned,300,558.6655364999999,1299.8257861000002,1370.39658355,1771.4552834899994,2157.843404
mixed_rate3p33_seed3,3.33,3,Redirected only,KV migrate,31,1293.838807,2153.853026,3291.2218030000004,5163.181267599999,5831.601703
mixed_rate3p33_seed3,3.33,3,Redirected only,Multi no model,17,978.775574,1319.6921338,1338.5470154,1344.00165028,1345.365309
mixed_rate3p33_seed3,3.33,3,Redirected only,Multi learned,21,1002.672916,1345.365309,1363.569817,1368.861825,1370.184827
mixed_rate3p33_seed3,3.33,3,Not redirected only,KV migrate,269,504.91739,1296.0745717999998,1533.5278874,2409.0469838399945,4419.659568
mixed_rate3p33_seed3,3.33,3,Not redirected only,Multi no model,283,524.967003,1278.5026430000003,1354.4577004,1797.8242800000007,2200.968996
mixed_rate3p33_seed3,3.33,3,Not redirected only,Multi learned,279,526.598349,1282.8229834,1375.1615717999996,1789.3212327799974,2157.843404
