user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_communication_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,mean_decode_after_ttft_ms,mean_request_completion_latency_ms,dominant_ttft_bottleneck,communication_bottleneck_count,queueing_bottleneck_count,prefill_bottleneck_count
0,2750.2931836911926,2232.1073814882275,1.0,0.05,0,1090.1252317193375,12,696.0222097500001,775.8698305,1340.87095405,1340.96160681,0.0,84.33169475,611.690515,15884.778499916665,16580.800709666666,prefill,0,1,11
1,265.35969683863624,1988.376506866485,1.0,0.05,0,1406.8600845267997,12,396.5785798333334,256.196327,1006.82673905,1017.30527261,0.0,9.46939,387.1091898333333,17722.99110433333,18119.56968416667,prefill,0,0,12
2,3402.5051651799185,1554.7949981178156,1.0,0.05,1,1692.2944836803865,15,548.6383026666667,455.288032,1179.6408751999998,1262.60384704,0.0,60.8181662,487.8201364666666,15820.779508466667,16369.417811133333,prefill,0,1,14
3,3701.8096711688263,2095.070307714877,1.0,0.05,1,1298.3176016383618,15,524.3814462666666,512.496788,1162.3009663999999,1213.5091124799999,0.0,51.69736706666667,472.6840792,17378.14908433333,17902.530530599997,prefill,0,0,15
4,8763.676264726688,3146.778807984779,1.0,0.05,2,1119.544188269797,11,655.1261389090909,722.51735,1193.7564634999999,1486.3875111000002,0.0,38.416658636363636,616.7094802727272,16368.212766545454,17023.338905454548,prefill,0,0,11
5,8758.52940378194,2633.890507510908,1.0,0.05,2,672.20499933601,11,356.56716136363633,244.904019,824.951208,930.4972576000001,0.0,32.01946036363636,324.547701,16834.124881272728,17190.692042636365,prefill,0,0,11
6,5.718961279435053,3241.560570046731,1.0,0.05,3,1758.448729799221,18,509.69650305555547,498.251541,1021.8148344499999,1044.1250380899999,0.0,14.111815388888887,495.5846876666667,18801.313884444444,19311.0103875,prefill,0,0,18
7,856.5345206787878,4859.9046331661375,1.0,0.05,3,867.9159503792722,17,625.1113701176471,731.864844,1155.4070697999998,1306.77075556,0.0,55.63900729411765,569.4723628235294,18537.843786705882,19162.95515682353,prefill,0,1,16
8,4752.8237809873135,5498.035934949439,1.0,0.05,4,1504.3250545706321,25,692.2164129200002,576.608203,1606.6896901999994,1669.20395668,12.754483544710059,97.37494209529007,581.98224444,20899.22585532,21591.406199240002,prefill,0,0,25
9,4381.00083914504,5175.758410355907,1.0,0.05,4,1062.3082979953008,24,547.7423989166667,314.085169,1389.5365437499997,1444.9258011499999,26.533068684812623,63.53125231518745,457.3668732083333,19081.446547291667,19629.126326416666,prefill,0,0,24
10,5945.191535334412,6193.815103321031,1.0,0.05,5,1394.8911595647273,13,436.31816830769236,375.475643,1013.52846,1016.8433976,0.0,10.842189076923075,425.4759792307692,17245.495826384617,17681.813994692307,prefill,0,0,13
11,7412.309083479308,5516.804211263912,1.0,0.05,5,907.2313428423192,12,504.9836505833334,410.430813,1138.2699762999998,1229.60956486,0.0,48.38132,456.6023305833333,15348.860801083334,15853.844451666666,prefill,0,0,12
12,9039.285715598931,5455.902892055224,1.0,0.05,6,1063.3999168876094,15,884.1729622666666,988.190809,2593.405995799999,3073.4368231599997,42.31127470903353,202.43392902430014,639.1104376000001,18295.06734133333,19179.200226933335,prefill,0,2,13
13,8345.950198860168,5825.09566489794,1.0,0.05,6,1848.4219217711338,15,882.7464789333334,721.525748,1832.4727891999999,1848.62224504,21.155637387850103,225.7491048788165,635.8176172666666,19572.776428133337,20455.502868733332,prefill,0,2,13
14,3082.583499301337,8989.8148874259,1.0,0.05,7,1794.8731076978372,15,598.501783,515.8381,1255.4842506,1303.01742692,49.419105946508886,38.64218272015788,510.0830848666667,16564.531481266666,17162.9931876,prefill,0,1,14
15,1545.5333833220463,9298.810156936745,1.0,0.05,7,1417.2453618828288,14,602.7869265714286,667.1181750000001,1032.2883519499999,1048.55062239,15.217178792138633,58.95701606500462,528.0057162857142,17077.581186357143,17680.325173642857,prefill,0,0,14
16,5384.519970927919,7194.299991448455,1.0,0.05,8,792.0505080400233,15,566.6742175333333,507.377531,1129.9765886999996,1260.56042334,28.262671091992107,54.39673157467448,484.0036873333333,16670.72931693333,17237.383496133334,prefill,0,2,13
17,4731.861859093263,9011.808258282543,1.0,0.05,8,1156.5690195674242,15,611.1995745999999,596.632605,1195.3009289999998,1363.3554897999998,0.0,31.01643166666667,580.1831429333333,17830.6699392,18441.8695138,prefill,0,0,15
18,8184.234645366642,7511.381375407323,1.0,0.05,9,403.8968611183088,13,696.7692375384615,526.446411,1660.150649799999,2091.516354759999,0.0,175.88512146153846,520.8841160769231,14981.27039923077,15678.03963676923,prefill,0,1,12
19,7509.644766184729,7700.461885740251,1.0,0.05,9,844.4915278541305,13,502.46323500000005,447.672609,1056.686000199999,1438.2780744399993,0.0,21.630542615384616,480.83269238461537,15014.886172615385,15517.349407615386,prefill,0,0,13
