gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated,observation_start_ns,observation_end_ns,observation_time_ns,busy_time_ns,idle_time_ns,utilization_pct,completed_batch_count
0,0,1666.667,2113.249,5,26,577.2958541153847,553.8127400000001,1270.59136825,1334.68148025,16.28439200355031,540.4358044615384,0,26,144512,16676,309345783,107519824132,107210478349,92158085562,15052392787,85.95996117282468,3767
1,1,5000.0,2113.249,4,31,667.9997894838709,532.936586,1403.02752,1543.5114408999998,94.78582372490938,569.4726823870967,0,31,163536,19373,309345783,107519824132,107210478349,98869632490,8340845859,92.22012065663188,3931
2,2,8333.333,2113.249,3,23,676.9492272173914,685.13251,1476.4390037999997,1842.3832880200005,79.03249,597.7199815217391,0,23,135024,15234,309345783,107519824132,107210478349,98628609551,8581868798,91.9953077999861,4244
3,3,0.0,5000.0,3,34,569.0343570294118,481.267019,1363.6720043999999,1479.5408152300001,57.20207802676661,505.5551106176471,0,34,171584,21982,309345783,107519824132,107210478349,91008200958,16202277391,84.88741246144144,3330
4,4,3333.333,5000.0,2,39,714.7058757948719,554.775095,1478.5699199000014,2493.17901764,159.393618974359,555.3122568205127,0,39,199584,25834,309345783,107519824132,107210478349,103015119678,4195358671,96.08680164886222,3731
5,5,6666.667,5000.0,5,29,541.8404827586207,399.439405,1297.5407705999999,1362.18373756,29.03408526394627,498.0848959655172,0,29,133584,19447,309345783,107519824132,107210478349,99347816157,7862662192,92.66614391327977,4148
6,6,10000.0,5000.0,5,29,697.4984641034483,705.117158,1387.5892672,1468.5601795199998,54.913908189675695,618.5511679655173,0,29,180560,19394,309345783,107519824132,107210478349,105871305794,1339172555,98.75089396519562,4167
7,7,1666.667,7886.751,4,28,693.2656365000001,706.5903069999999,1307.4002059999998,1837.7100655000004,125.46210377172443,561.8110599642857,0,28,139072,18148,309345783,107519824132,107210478349,88366921196,18843557153,82.42377289684413,3552
8,8,5000.0,7886.751,3,32,561.7036660624999,476.6862015,1299.5908309000001,1321.69543569,73.41112929767013,487.5683928125,0,32,149536,21161,309345783,107519824132,107210478349,97219896118,9990582231,90.68133788333836,3876
9,9,8333.333,7886.751,5,29,425.0992491034483,234.905631,1071.6249867999998,1253.7951242399997,31.699093862150914,367.619442,0,29,108608,18504,309345783,107519824132,107210478349,93415201348,13795277001,87.1325291954276,4216
