user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_communication_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,mean_decode_after_ttft_ms,mean_request_completion_latency_ms,dominant_ttft_bottleneck,communication_bottleneck_count,queueing_bottleneck_count,prefill_bottleneck_count
0,2750.2931836911926,2232.1073814882275,1.0,0.05,0,1090.1252317193375,12,465.41355683333336,269.7430215,1109.3241541499997,1272.8178084300002,0.0,19.60762075,445.80593608333334,16249.282529,16714.696085833333,prefill,0,0,12
1,265.35969683863624,1988.376506866485,1.0,0.05,0,1406.8600845267997,12,594.6507266666666,631.0176725,1183.41337845,1310.0252620900003,13.190108449309667,12.566983550690333,568.4190993333334,17849.1344295,18443.76010825,prefill,0,0,12
2,3402.5051651799185,1554.7949981178156,1.0,0.05,1,1692.2944836803865,15,571.0833284,526.853858,1006.2542050999999,1008.37271702,0.0,57.731431799999996,513.3518966,15462.332546266667,16033.415874666665,prefill,0,2,13
3,3701.8096711688263,2095.070307714877,1.0,0.05,1,1298.3176016383618,15,689.6453089999999,532.936586,1415.7066124999997,1546.4495072999998,14.162204872662723,76.19145626067098,599.1138114,18437.991992799998,19127.617263466665,prefill,0,0,15
4,8763.676264726688,3146.778807984779,1.0,0.05,2,1119.544188269797,11,724.7652921818182,712.318228,1387.156211,1476.4390038000001,0.0,89.22720172727273,635.5380904545455,16095.14437890909,16819.90967109091,prefill,0,0,11
5,8758.52940378194,2633.890507510908,1.0,0.05,2,672.20499933601,11,600.3004357272729,578.334548,1333.9819535,1818.2385995000004,0.0,75.03673054545455,525.2637051818182,15679.470951363635,16279.77138709091,prefill,0,0,11
6,5.718961279435053,3241.560570046731,1.0,0.05,3,1758.448729799221,18,709.4038348333333,755.018374,1359.7790379499997,1479.1298859899996,8.79340563287311,92.68223620046022,607.5640913888889,18290.23976861111,18999.62690483333,prefill,0,1,17
7,856.5345206787878,4859.9046331661375,1.0,0.05,3,867.9159503792722,17,460.48348729411765,406.412341,1326.4215513999998,1401.12073348,0.036786705882352944,27.270214705882353,433.07304564705885,19168.892876823527,19629.358683235296,prefill,0,0,17
8,4752.8237809873135,5498.035934949439,1.0,0.05,4,1504.3250545706321,25,728.96676676,554.775095,2259.080978399997,2500.95242972,11.215391455763315,190.62983334423677,526.5246048,17312.470381799998,18041.365010560003,prefill,0,2,23
9,4381.00083914504,5175.758410355907,1.0,0.05,4,1062.3082979953008,24,775.7770592083333,997.4882315,1318.6846847,1380.33700261,44.135521042307694,102.9925521660258,628.2585904166666,18697.393709625,19473.120673,prefill,0,2,22
10,5945.191535334412,6193.815103321031,1.0,0.05,5,1394.8911595647273,13,613.3993942307693,737.002728,1316.0477169999997,1371.3449673999999,0.0,18.58243253846154,594.8169616923077,17302.070420384618,17915.469814615382,prefill,0,0,13
11,7412.309083479308,5516.804211263912,1.0,0.05,5,907.2313428423192,12,290.19212325,267.797167,513.1369760499999,555.7534000100001,0.0,29.61772325,260.5744,16162.69819075,16452.890314,prefill,0,0,12
12,9039.285715598931,5455.902892055224,1.0,0.05,6,1063.3999168876094,15,867.7248077333333,878.655295,1301.041108,1360.8230176,14.203896472662723,78.10517912733765,775.1944397999999,18059.612599866665,18927.297330933336,prefill,0,0,15
13,8345.950198860168,5825.09566489794,1.0,0.05,6,1848.4219217711338,15,601.6203200000001,391.937611,1319.6372230999998,1461.5148230199998,14.203896472662723,29.571911260670724,557.4118492666666,18700.111485466667,19301.6917288,prefill,0,0,15
14,3082.583499301337,8989.8148874259,1.0,0.05,7,1794.8731076978372,15,768.2872982,775.78889,1236.4887546,1278.68562372,38.81515658477318,152.1370596818939,577.2415897999999,15853.6721206,16621.919342133333,prefill,0,2,13
15,1545.5333833220463,9298.810156936745,1.0,0.05,7,1417.2453618828288,14,648.0367716428572,566.0985344999999,1587.8706864999997,1929.7561524999994,0.04466957142857143,88.51303321428571,559.4088235,18114.112056642858,18762.127358642858,prefill,0,0,14
16,5384.519970927919,7194.299991448455,1.0,0.05,8,792.0505080400233,15,578.2385990666667,488.299159,1307.7108859,1326.08611158,0.0,25.06950786666667,553.1690912,16089.861440266666,16668.100039333334,prefill,0,0,15
17,4731.861859093263,9011.808258282543,1.0,0.05,8,1156.5690195674242,15,550.4873881999999,396.213127,1196.5638090999998,1280.67093542,0.0,131.26541446666667,419.22197373333336,17217.685554,17768.172942200003,prefill,0,2,13
18,8184.234645366642,7511.381375407323,1.0,0.05,9,403.8968611183088,13,455.95174015384606,234.905631,1194.7183667999996,1283.3335029599998,0.0,40.85424661538462,415.09749353846155,13368.561791615384,13824.51353176923,prefill,0,0,13
19,7509.644766184729,7700.461885740251,1.0,0.05,9,844.4915278541305,13,274.1066094615384,175.687529,754.9697686,763.83430732,0.0,28.90719169230769,245.1994177692308,14369.718721461539,14643.825330923077,prefill,0,0,13
