gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated
0,0,1666.667,2113.249,4,25,658.62312504,556.919604,1545.9491991999994,1686.4025345199998,51.39710773713623,546.52985728,0,25,138512,16085
1,1,5000.0,2113.249,2,29,617.257101586207,526.853858,1292.4560819999997,1503.6436150399998,68.8509553448276,548.4061462413792,0,29,151536,18120
2,2,8333.333,2113.249,2,22,660.858712090909,631.7335290000001,1487.5993529,1846.7887186099995,81.82085613636364,579.0378559545455,0,22,127024,14466
3,3,0.0,5000.0,3,31,808.3446785806449,525.515341,2781.6506595,3785.0523943999992,59.11143595510594,536.7024692580645,0,31,159584,20228
4,4,3333.333,5000.0,3,43,1005.7813107441859,569.982247,2840.7085515,4916.786602799997,144.53522421144902,507.187823372093,0,43,205584,28512
5,5,6666.667,5000.0,7,39,1244.8191993589744,983.423212,2310.0265469000037,9843.039848119979,155.22598790083458,618.8755930512821,0,39,196608,26165
6,6,10000.0,5000.0,2,26,675.4679498846152,685.9369395,1354.5596325000001,1467.711967,50.71840242307692,624.7495474615384,0,26,164048,17484
7,7,1666.667,7886.751,3,27,641.065251888889,691.027426,1301.5904259,1812.401961579999,117.5665771111111,523.3753884814815,0,27,127072,17585
8,8,5000.0,7886.751,5,32,656.0466299375,717.506586,1328.22628165,1344.85882787,75.13110664815116,532.41224353125,0,32,169024,20911
9,9,8333.333,7886.751,2,26,327.6331485769231,201.09135650000002,762.9419425,1161.200934,17.087022923076923,310.54612565384616,0,26,86608,16197
