user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_communication_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,mean_decode_after_ttft_ms,mean_request_completion_latency_ms,dominant_ttft_bottleneck,communication_bottleneck_count,queueing_bottleneck_count,prefill_bottleneck_count
0,2750.2931836911926,2232.1073814882275,1.0,0.05,0,1090.1252317193375,12,539.5459575000001,269.7430215,1440.4086497999997,1564.3101347600002,0.0,54.5930515,484.952906,16019.510153,16559.0561105,prefill,0,0,12
1,265.35969683863624,1988.376506866485,1.0,0.05,0,1406.8600845267997,12,650.4433432499999,742.5630725,1186.529961,1316.1891698000002,13.241724532643,51.10425213402367,585.97116,18870.5820635,19520.975310916667,prefill,0,1,11
2,3402.5051651799185,1554.7949981178156,1.0,0.05,1,1692.2944836803865,15,571.7982964,526.853858,1008.2221427,1014.01413814,0.0,58.310119,513.4881773999999,15034.014132733333,15605.812429133333,prefill,0,2,13
3,3701.8096711688263,2095.070307714877,1.0,0.05,1,1298.3176016383618,15,691.2095519333332,532.936586,1412.1622045999998,1534.1374185199998,14.162204872662723,75.79144026067098,601.2558331333333,18422.336731866664,19113.526245466666,prefill,0,0,15
4,8763.676264726688,3146.778807984779,1.0,0.05,2,1119.544188269797,11,722.1286174545455,712.318228,1387.156211,1476.4390038000001,0.0,88.23912554545454,633.8894919090909,16006.227251272729,16728.35586872727,prefill,0,0,11
5,8758.52940378194,2633.890507510908,1.0,0.05,2,672.20499933601,11,599.5888067272728,578.334548,1333.9819535,1818.2385995000004,0.0,75.40258672727273,524.18622,15397.573660454545,15997.162467181817,prefill,0,0,11
6,5.718961279435053,3241.560570046731,1.0,0.05,3,1758.448729799221,18,756.1060892777779,755.018374,1539.8989082499997,1680.1208480499997,20.595243026758716,90.85536680657451,592.752399,18186.90333283333,18942.97602488889,prefill,0,1,17
7,856.5345206787878,4859.9046331661375,1.0,0.05,3,867.9159503792722,17,984.7291549411765,525.515341,3185.600328399999,3952.8989728799997,31.233912465158372,41.27190441719459,448.7729180588235,19976.11664152941,20960.77507294118,prefill,0,0,17
8,4752.8237809873135,5498.035934949439,1.0,0.05,4,1504.3250545706321,25,1203.6967252,762.529828,3703.456441399996,4500.762474079998,51.493684103195264,269.2256981768045,566.43398752,18899.314577880003,20102.91511908,prefill,0,3,22
9,4381.00083914504,5175.758410355907,1.0,0.05,4,1062.3082979953008,24,1574.8884364166668,850.3576705,5169.4100804999935,11309.261329479996,22.061869629487184,66.1020982038463,593.55173125,20345.55661666667,21920.420005166667,prefill,0,1,23
10,5945.191535334412,6193.815103321031,1.0,0.05,5,1394.8911595647273,13,839.4766396153847,983.423212,1544.9162575999997,1694.3393355199996,40.68103970059172,131.65140668402393,667.0961640769232,21099.42204592308,21938.875564384616,prefill,0,0,13
11,7412.309083479308,5516.804211263912,1.0,0.05,5,907.2313428423192,12,367.39393991666674,318.09401,801.1095396499996,999.8508503300003,0.0,79.85274141666667,287.5411985,19873.3326875,20240.72662741667,prefill,0,1,11
12,9039.285715598931,5455.902892055224,1.0,0.05,6,1063.3999168876094,15,839.5145927333335,864.193612,1308.9556128,1365.70728176,14.203896472662723,58.65804179400431,766.4143614,18351.260760066667,19190.735276133335,prefill,0,0,15
13,8345.950198860168,5825.09566489794,1.0,0.05,6,1848.4219217711338,15,676.8064133333334,392.957628,1662.6091103999993,1971.7755668799996,14.203896472662723,80.10851726067072,582.277067,18897.6638318,19574.430168466668,prefill,0,0,15
14,3082.583499301337,8989.8148874259,1.0,0.05,7,1794.8731076978372,15,723.0088044,775.78889,1252.1353256999998,1319.25513874,38.81515658477318,133.0598735485606,550.7119346000001,15957.200918333334,16680.169646066668,prefill,0,2,13
15,1545.5333833220463,9298.810156936745,1.0,0.05,7,1417.2453618828288,14,673.0805779285714,608.1223205,1562.4824084499996,1895.7084792899996,30.281433312848687,84.68546854429408,557.3899584285715,18058.6956275,18731.754735785715,prefill,0,0,14
16,5384.519970927919,7194.299991448455,1.0,0.05,8,792.0505080400233,15,570.1658675333332,507.926588,1329.9330129999998,1345.0450945999999,0.040894066666666666,12.474500466666667,557.5983171333334,16862.311006333333,17432.456835533332,prefill,0,0,15
17,4731.861859093263,9011.808258282543,1.0,0.05,8,1156.5690195674242,15,582.2108578000001,740.927131,1231.3451893,1272.35539546,0.040495333333333335,148.41633193333334,433.5726105333334,19098.68995,19680.88076946667,prefill,0,3,12
18,8184.234645366642,7511.381375407323,1.0,0.05,9,403.8968611183088,13,384.0639023846154,234.905631,974.2242165999993,1229.8531577199994,0.0,5.980093,378.08380938461534,12595.835728076923,12979.899630461538,prefill,0,0,13
19,7509.644766184729,7700.461885740251,1.0,0.05,9,844.4915278541305,13,271.2023947692308,175.687529,744.6705372,759.7521530399999,0.0,28.19395284615385,243.00844192307693,13951.917438,14223.11983276923,prefill,0,0,13
