gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated
0,0,1666.667,2113.249,4,27,525.8962505925925,537.406415,1008.8496468,1126.0818589799997,51.90663667008548,454.0011501111111,0,27,127072,17392
1,1,5000.0,2113.249,4,32,601.4108686874999,555.154248,1153.4114605,1299.8209965300002,64.35568149718941,530.24083590625,0,32,170560,20034
2,2,8333.333,2113.249,4,24,751.488108,601.23145,1837.5261345999993,2128.32897092,165.9182855398423,565.4342695416666,0,24,116560,15512
3,3,0.0,5000.0,3,34,550.139380735294,416.9920795,1403.9260918499995,1776.1193292900007,54.06759116094656,492.9121719411765,0,34,159584,22283
4,4,3333.333,5000.0,2,36,709.1202734444446,643.5184505,1376.2739925,1439.1862648499998,72.7333015,636.3869719444444,0,36,213536,23745
5,5,6666.667,5000.0,3,25,652.5721665599999,566.068852,1155.2739798,1629.9410937599987,83.32756595999999,569.16139236,0,25,141024,16961
6,6,10000.0,5000.0,3,31,407.8306389354839,225.78265,1250.3306735,1298.8869521000001,15.475747061042293,375.28534648387097,0,31,119632,21181
7,7,1666.667,7886.751,3,30,612.1425876999999,596.4011395,1313.1642868,1472.1965705700002,82.57284643033536,522.4073513333333,0,30,159536,19229
8,8,5000.0,7886.751,5,33,544.7077311212121,338.085379,1332.2003359999999,1373.24064068,77.8368715868031,447.3979878787879,0,33,147072,21823
9,9,8333.333,7886.751,4,28,812.2595991071429,848.401167,1588.6520098499998,1697.79963846,105.84405773643276,691.1678650714285,0,28,171024,17593
