condition,population,policy,request_count,Router queue,Scheduler queue,KV transfer,Compute / prefill,RTT / other comm,Total
input10000_reuse00,All requests,KV migrate,300,16585.409590293333,101.27898298333334,0.0,1349.5457413666666,0.19572004999999998,18036.430034693334
input10000_reuse00,All requests,Multi learned,300,13353.050722256667,73.78474535,0.0,1346.6019925466667,0.48614335,14773.923603503334
input10000_reuse00,Redirected only,KV migrate,93,33000.2847742043,66.855124,0.0,1355.3714637526882,0.631355,34423.14271695699
input10000_reuse00,Redirected only,Multi learned,231,15771.58675417316,49.66433443722944,0.0,1347.0636005584417,0.631355,17168.94604416883
input10000_reuse00,Not redirected only,KV migrate,207,9210.610594623187,116.74477470048309,0.0,1346.928387830918,0.0,10674.283757154588
input10000_reuse00,Not redirected only,Multi learned,69,5256.212702362319,154.53568623188406,0.0,1345.0566092028985,0.0,6755.804997797101
input10000_reuse025,All requests,KV migrate,300,14920.643080256667,81.03186567189721,87.20627287476924,1072.8898705066667,0.20834714999999449,16161.979436459998
input10000_reuse025,All requests,Multi learned,300,10598.973024583334,120.39055121035942,192.9108460563077,1099.4189332466667,0.46088915000001407,12012.154244246665
input10000_reuse025,Redirected only,KV migrate,99,32555.362676434346,111.89139609665818,264.2614329538461,1099.3945171515152,0.6313550000000419,34031.541377636364
input10000_reuse025,Redirected only,Multi learned,219,12985.731192762558,110.82009503245582,264.2614329538461,1107.0822204794522,0.6313550000000419,14468.52629622831
input10000_reuse025,Not redirected only,KV migrate,201,6234.88566721393,65.83239546268656,0.0,1059.8353430547263,0.0,7360.553405731343
input10000_reuse025,Not redirected only,Multi learned,81,4145.886125432099,146.26622902469134,0.0,1078.6996751728393,0.0,5370.85202962963
input10000_reuse05,All requests,KV migrate,300,9852.901760186667,62.75633506066639,160.22738886933337,758.9643534033333,0.19151101666665227,10835.041348536666
input10000_reuse05,All requests,Multi learned,300,7390.02592651,67.0243405442559,371.5162533124103,785.8538556533333,0.44405301666665764,8614.864429036666
input10000_reuse05,Redirected only,KV migrate,91,18874.106261395602,114.76606584835073,528.2221611076923,792.5959663516484,0.631354999999985,20310.321809703295
input10000_reuse05,Redirected only,Multi learned,211,9427.463094118482,72.89206186387095,528.2221611076924,795.0266787440758,0.631354999999985,10824.235350834124
input10000_reuse05,Not redirected only,KV migrate,209,5925.008891239235,40.110949885167464,0.0,744.3209238421052,0.0,6709.440764966507
input10000_reuse05,Not redirected only,Multi learned,89,2559.6973606067413,53.11322595505618,0.0,764.1070503483146,0.0,3376.9176369101124
input2000_reuse00,All requests,KV migrate,300,0.0,16.506215246666667,0.0,217.40135997333334,0.0,233.90757522
input2000_reuse00,All requests,Multi learned,300,0.0,16.506215246666667,0.0,217.40135997333334,0.0,233.90757522
input2000_reuse00,Not redirected only,KV migrate,300,0.0,16.506215246666667,0.0,217.40135997333334,0.0,233.90757522
input2000_reuse00,Not redirected only,Multi learned,300,0.0,16.506215246666667,0.0,217.40135997333334,0.0,233.90757522
input2000_reuse025,All requests,KV migrate,300,0.0,12.32616525,0.0,167.83275984666668,0.0,180.15892509666665
input2000_reuse025,All requests,Multi learned,300,0.0,12.32616525,0.0,167.83275984666668,0.0,180.15892509666665
input2000_reuse025,Not redirected only,KV migrate,300,0.0,12.32616525,0.0,167.83275984666668,0.0,180.15892509666665
input2000_reuse025,Not redirected only,Multi learned,300,0.0,12.32616525,0.0,167.83275984666668,0.0,180.15892509666665
input2000_reuse05,All requests,KV migrate,300,0.0,10.1083604,0.0,113.92612396666667,0.0,124.03448436666666
input2000_reuse05,All requests,Multi learned,300,0.0,10.1083604,0.0,113.92612396666667,0.0,124.03448436666666
input2000_reuse05,Not redirected only,KV migrate,300,0.0,10.1083604,0.0,113.92612396666667,0.0,124.03448436666666
input2000_reuse05,Not redirected only,Multi learned,300,0.0,10.1083604,0.0,113.92612396666667,0.0,124.03448436666666
input512_reuse00,All requests,KV migrate,300,0.0,8.341675503333333,0.0,57.509450460000004,0.0,65.85112596333333
input512_reuse00,All requests,Multi learned,300,0.0,8.341675503333333,0.0,57.509450460000004,0.0,65.85112596333333
input512_reuse00,Not redirected only,KV migrate,300,0.0,8.341675503333333,0.0,57.509450460000004,0.0,65.85112596333333
input512_reuse00,Not redirected only,Multi learned,300,0.0,8.341675503333333,0.0,57.509450460000004,0.0,65.85112596333333
input512_reuse025,All requests,KV migrate,300,0.0,8.59791315,0.0,44.85657568333333,0.0,53.454488833333336
input512_reuse025,All requests,Multi learned,300,0.0,8.59791315,0.0,44.85657568333333,0.0,53.454488833333336
input512_reuse025,Not redirected only,KV migrate,300,0.0,8.59791315,0.0,44.85657568333333,0.0,53.454488833333336
input512_reuse025,Not redirected only,Multi learned,300,0.0,8.59791315,0.0,44.85657568333333,0.0,53.454488833333336
input512_reuse05,All requests,KV migrate,300,0.0,8.22029307,0.0,32.48582115666667,0.0,40.706114226666664
input512_reuse05,All requests,Multi learned,300,0.0,8.22029307,0.0,32.48582115666667,0.0,40.706114226666664
input512_reuse05,Not redirected only,KV migrate,300,0.0,8.22029307,0.0,32.48582115666667,0.0,40.706114226666664
input512_reuse05,Not redirected only,Multi learned,300,0.0,8.22029307,0.0,32.48582115666667,0.0,40.706114226666664
