gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated
0,0,1666.667,2113.249,5,28,12116.640950321427,11785.739354500001,28488.522699249996,30228.0266506,212.03129467857144,1365.7944311785714,0,28,280000,18409
1,1,5000.0,2113.249,3,28,7190.319765071428,3473.8864835,18119.67481305,20258.377774210003,98.17214392857143,1361.581569857143,0,28,280000,17424
2,2,8333.333,2113.249,2,20,2172.6025073499995,1319.5727705,7014.635664150001,8182.757399229999,190.7902329,1346.86951355,0,20,200000,13284
3,3,0.0,5000.0,3,28,13786.407506964288,10162.648516500001,32385.915649099996,42323.3931527,119.14631689285714,1351.8415252857144,0,28,280000,18337
4,4,3333.333,5000.0,3,33,22558.991320727277,22880.051683,51178.1638866,53012.02893672,53.98984712121212,1334.3463907878788,0,33,330000,21871
5,5,6666.667,5000.0,8,45,43170.79073142222,34195.369147,95432.1553146,101605.74881124,158.12914282222224,1364.6855828,0,45,450000,29386
6,6,10000.0,5000.0,3,26,10214.50372969231,8118.649126,25327.971864,28364.2343705,18.784452653846152,1318.124361576923,0,26,260000,17527
7,7,1666.667,7886.751,3,31,17049.482395064515,14485.297435,52289.969089499995,57161.43958019999,81.15421251612904,1349.1966163870968,0,31,310000,20470
8,8,5000.0,7886.751,6,32,16851.92119425,15975.8498925,38549.8342841,40822.18919346,52.338672,1350.10930446875,0,32,320000,20569
9,9,8333.333,7886.751,3,29,14495.09738282759,16318.513125,31931.12683259999,38619.008113799995,33.43471862068966,1343.5907940689654,0,29,290000,18476
