gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated
0,0,1666.667,2113.249,17,31,12088.485428967742,11304.49575,24656.059047,25555.060054799997,184.24022516625422,1130.309661032258,0,31,310000,20257
1,1,5000.0,2113.249,14,30,11122.559014499999,10777.316285500001,24945.4615979,25325.09302309,83.27981556410319,1075.9358341666668,0,30,300000,19480
2,2,8333.333,2113.249,13,29,12214.039357586205,12406.115194,25170.5141562,25784.87430276,110.69216589708314,1088.6531423448278,0,29,290000,19001
3,3,0.0,5000.0,18,31,12345.85044916129,13351.167526,25243.7013285,25840.9762893,33.481412194044914,1065.154784967742,0,31,310000,20111
4,4,3333.333,5000.0,13,29,11595.476072793106,11948.982834,25519.769206999994,26836.030929639997,82.84652809761336,1090.968947137931,0,29,290000,19646
5,5,6666.667,5000.0,17,31,12620.117042774194,13441.2552,25070.359401,25475.8191684,297.38785419999994,1162.3079751935484,0,31,310000,19906
6,6,10000.0,5000.0,11,29,12054.63892224138,13120.377443,25253.9353546,25676.80723228,13.017961514589112,1053.8129676206897,0,29,290000,19023
7,7,1666.667,7886.751,15,30,11922.2224004,11755.389729999999,25093.731918899997,25984.8086592,94.40442069897486,1089.6816283333333,0,30,300000,19542
8,8,5000.0,7886.751,15,31,11912.50411116129,10802.865923,25688.6176435,25938.5412013,125.18474319404467,1108.1478539677419,0,31,310000,19943
9,9,8333.333,7886.751,16,29,12216.092641620691,13390.844491,24454.466033399996,25313.557223,170.59910303660507,1125.655548724138,0,29,290000,18844
