workload,workload_label,arm,requests,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,mean_completion_ms,request_throughput_rps,token_throughput_tps,redirects,router_wait_positive_requests,mean_router_wait_ms,mean_scheduler_queue_ms,mean_prefill_ms
input512_reuse00,512 / reuse 0%,PP1: 10 replicas,300,65.85112596333333,65.6143375,76.1344781,80.81462427999999,18.15439613,11895.613403013333,2.9258962677395126,3407.23546274534,0,0,0.0,8.341675503333333,57.509450460000004
input512_reuse00,512 / reuse 0%,PP2: 5 groups,300,62.18733143,62.876882,69.6435452,73.13119597999997,19.4518225,12738.200966853334,2.898132013276893,3374.903710781074,0,0,0.0,5.046530426666667,57.14080100333333
input2000_reuse025,2000 / reuse 25%,PP1: 10 replicas,300,180.15892509666668,176.3797615,198.49759990000007,285.46987358999996,20.28131134,13397.623578003335,2.901443727855483,7696.108502573947,0,0,0.0,12.32616525,167.83275984666668
input2000_reuse025,2000 / reuse 25%,PP2: 5 groups,300,179.64506980666664,173.91670599999998,233.85181015,255.25471958999998,22.398430653333335,14783.018459943334,2.8705601917446946,7614.18961420472,0,0,0.0,10.126912936666667,169.51815687
input6000_reuse05,6000 / reuse 50%,PP1: 10 replicas,300,470.5262490366667,411.66410399999995,758.61140345,931.09228985,25.932024809999998,17369.480816486666,2.8294078090015318,18822.66374346078,18,0,0.0,27.110159294268314,424.24004944666666
input6000_reuse05,6000 / reuse 50%,PP2: 5 groups,300,455.5253248733334,411.0986875,663.217204,813.1241870599998,32.88064428333334,21914.044814586665,2.805876496580288,18666.12145226533,0,0,0.0,19.352778703333332,436.17254617000003
input8000_reuse025,8000 / reuse 25%,PP1: 10 replicas,300,1675.56855758,1348.6769745000001,3874.2842971500004,4687.41571149,31.74402299666666,22372.04502944,2.7672617249592664,23943.759747827302,183,149,647.6800732933333,64.62968955513666,833.6280990333333
input8000_reuse025,8000 / reuse 25%,PP2: 5 groups,300,958.3109582133333,880.0231220000001,1385.0672846500001,1612.2596325499999,49.183158760000005,32963.86993654667,2.71000098247129,23448.310600842662,35,1,0.055709786666666664,62.87235537950706,870.5072219533333
input8000_reuse05,8000 / reuse 50%,PP1: 10 replicas,300,804.9573058633333,577.624485,1537.1663340500002,2062.83856697,28.954506636666665,19670.782347216667,2.81951840754905,24395.91121650223,106,10,29.09574509,43.02846761577475,582.24140441
input8000_reuse05,8000 / reuse 50%,PP2: 5 groups,300,640.43573286,589.735686,991.3905987500001,1133.6643221099998,41.85029147666667,27927.521873560003,2.726819045267713,23593.82905736934,12,0,0.0,32.012100701471354,591.45382182
mixed_rate3p33_seed1,Mixed / burst,PP1: 10 replicas,300,596.0997409633334,513.9444925,1347.6495496500008,1856.2858176599968,26.87696792666667,18107.880015696664,2.8565227510234394,16390.280023474836,17,0,0.0,69.3598784427535,515.6958294733333
mixed_rate3p33_seed1,Mixed / burst,PP2: 5 groups,300,565.8517826066667,493.527492,1280.070506,1418.5494751699998,34.07913776666667,22776.15493603,2.84909472906103,16347.659197177969,0,0,0.0,41.168451696666665,524.68333091
