workload,workload_label,arm,cohort,requests,mean_ttft_ms
input8000_reuse025,8000 / reuse 25%,PP1: 10 replicas,All requests,300,1675.5685575799998
input8000_reuse025,8000 / reuse 25%,PP1: 10 replicas,Redirected only,183,2083.9410646448086
input8000_reuse025,8000 / reuse 25%,PP1: 10 replicas,Not redirected,117,1036.8320721709401
input8000_reuse025,8000 / reuse 25%,PP2: 5 groups,All requests,300,958.3109582133334
input8000_reuse025,8000 / reuse 25%,PP2: 5 groups,Redirected only,35,1210.2305796857142
input8000_reuse025,8000 / reuse 25%,PP2: 5 groups,Not redirected,265,925.0385553773584
input8000_reuse05,8000 / reuse 50%,PP1: 10 replicas,All requests,300,804.9573058633333
input8000_reuse05,8000 / reuse 50%,PP1: 10 replicas,Redirected only,106,1170.8147634716981
input8000_reuse05,8000 / reuse 50%,PP1: 10 replicas,Not redirected,194,605.0558084072165
input8000_reuse05,8000 / reuse 50%,PP2: 5 groups,All requests,300,640.43573286
input8000_reuse05,8000 / reuse 50%,PP2: 5 groups,Redirected only,12,1036.6090019166666
input8000_reuse05,8000 / reuse 50%,PP2: 5 groups,Not redirected,288,623.9285133159722
