user_id,user_x_m,user_y_m,physical_home_gpu_id,pp_group_id,pp_stage_id
0,2750.2931836911926,2232.1073814882275,0,0,0
1,265.35969683863624,1988.376506866485,0,0,0
2,3402.5051651799185,1554.7949981178156,1,0,1
3,3701.8096711688263,2095.070307714877,1,0,1
4,8763.676264726688,3146.778807984779,2,1,0
5,8758.52940378194,2633.890507510908,2,1,0
6,5.718961279435053,3241.560570046731,3,1,1
7,856.5345206787878,4859.9046331661375,3,1,1
8,4752.8237809873135,5498.035934949439,4,2,0
9,4381.00083914504,5175.758410355907,4,2,0
10,5945.191535334412,6193.815103321031,5,2,1
11,7412.309083479308,5516.804211263912,5,2,1
12,9039.285715598931,5455.902892055224,6,3,0
13,8345.950198860168,5825.09566489794,6,3,0
14,3082.583499301337,8989.8148874259,7,3,1
15,1545.5333833220463,9298.810156936745,7,3,1
16,5384.519970927919,7194.299991448455,8,4,0
17,4731.861859093263,9011.808258282543,8,4,0
18,8184.234645366642,7511.381375407323,9,4,1
19,7509.644766184729,7700.461885740251,9,4,1
