user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_communication_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,mean_decode_after_ttft_ms,mean_request_completion_latency_ms,dominant_ttft_bottleneck,communication_bottleneck_count,queueing_bottleneck_count,prefill_bottleneck_count
0,,,,,,,12,458.07255474999994,413.263244,651.7021345499999,741.7076893100001,0.0,28.047868416666667,430.0246863333333,15136.75374025,15594.826295,prefill,0,0,12
1,,,,,,,12,470.5951124166666,414.07089299999996,709.3661371999999,757.53431704,0.0,39.38496266666667,431.21014975,17045.814740333335,17516.40985275,prefill,0,0,12
2,,,,,,,15,457.73184299999997,422.189496,579.285437,587.6266314000001,0.0,25.926685666666668,431.80515733333334,15230.279560266667,15688.011403266666,prefill,0,0,15
3,,,,,,,15,470.7402604666667,416.974057,649.0449022999998,761.5340796599999,0.0,28.173943,442.56631746666665,16910.811455133335,17381.5517156,prefill,0,0,15
4,,,,,,,11,438.6849369090909,393.776679,653.7645085,843.0774225000002,0.0,28.481068181818184,410.2038687272728,15330.374437454546,15769.059374363636,prefill,0,0,11
5,,,,,,,11,436.6317998181818,398.300516,593.1144525,632.0551441,0.0,20.563604636363635,416.06819518181817,15306.181985545454,15742.813785363636,prefill,0,0,11
6,,,,,,,18,428.3315118888888,407.492756,538.7866595499996,701.4645127099996,0.0,24.036084,404.2954278888889,17623.63310816667,18051.964620055558,prefill,0,0,18
7,,,,,,,17,487.36515782352944,416.138196,718.6623288,725.71517936,56.000216614897326,18.661379796867816,412.53227894117646,17066.01363117647,17553.32574635294,prefill,0,0,17
8,,,,,,,25,550.12882984,417.788105,917.9867973999999,1043.5332653999997,101.54705946168049,25.506555258319853,422.25366616,18307.933268080003,18857.965913919998,prefill,0,0,25
9,,,,,,,24,547.3239566666666,429.63612850000004,898.87394075,1063.28445728,52.88909346962526,43.87746261370802,450.3052334583333,18613.10287775,19160.37673858333,prefill,0,0,24
10,,,,,,,13,478.1532306923076,413.186658,629.6403773999998,668.2096762799999,0.0,29.381937,448.7712936923077,18139.017151692307,18617.17038238462,prefill,0,0,13
11,,,,,,,12,482.5034268333334,410.61082550000003,694.30475675,710.3855753500001,0.0,30.24166933333333,452.2617575,15194.61809075,15677.121517583333,prefill,0,0,12
12,,,,,,,15,474.3045349333333,402.444567,725.7544157,733.39521754,21.155637387850103,30.328690612150066,422.6424382,17407.099095133333,17881.383591733334,prefill,0,0,15
13,,,,,,,15,514.0219524666668,424.612661,887.8804798,922.44068156,42.311274775700205,24.210507557633463,446.92544173333334,18187.1887424,18701.1706182,prefill,0,0,15
14,,,,,,,15,436.29713079999993,405.951232,606.9011518999998,679.72460078,0.0,21.303095533333334,414.99403526666663,15650.6251752,16086.922306,prefill,0,0,15
15,,,,,,,14,409.2714523571429,407.095732,471.89744594999996,503.92385958999995,0.0,22.86458307142857,386.40686928571427,16308.934899714284,16718.20635207143,prefill,0,0,14
16,,,,,,,15,409.58967286666666,412.544245,427.4961477,429.50247034,0.0,12.009828933333333,397.57984393333334,16585.122433266668,16994.712106133335,prefill,0,0,15
17,,,,,,,15,450.85068786666676,416.113991,625.9009460999998,739.3224932199998,0.0,30.2736424,420.5770454666666,17778.55863146667,18229.409319333332,prefill,0,0,15
18,,,,,,,13,449.16718900000006,406.032513,611.5853743999999,663.0640884799999,0.0,21.399460769230767,427.7677282307692,16597.745532923076,17046.912721923076,prefill,0,0,13
19,,,,,,,13,440.24306546153844,401.840953,617.1362843999997,730.0806880799997,0.0,32.091399230769234,408.1516662307692,15865.747134,16305.990199461537,prefill,0,0,13
