window_index,window_start_ns,window_end_ns,window_duration_ns,time_since_start_s,gpu_id,instance_id,busy_time_ns,idle_time_ns,utilization_pct
0,1067883451,2067883451,1000000000,0.0,0,0,0,1000000000,0.0
0,1067883451,2067883451,1000000000,0.0,1,1,0,1000000000,0.0
0,1067883451,2067883451,1000000000,0.0,2,2,621379640,378620360,62.137964000000004
0,1067883451,2067883451,1000000000,0.0,3,3,0,1000000000,0.0
0,1067883451,2067883451,1000000000,0.0,4,4,0,1000000000,0.0
0,1067883451,2067883451,1000000000,0.0,5,5,0,1000000000,0.0
0,1067883451,2067883451,1000000000,0.0,6,6,0,1000000000,0.0
0,1067883451,2067883451,1000000000,0.0,7,7,0,1000000000,0.0
0,1067883451,2067883451,1000000000,0.0,8,8,0,1000000000,0.0
0,1067883451,2067883451,1000000000,0.0,9,9,999883451,116549,99.9883451
1,2067883451,3067883451,1000000000,1.0,0,0,0,1000000000,0.0
1,2067883451,3067883451,1000000000,1.0,1,1,0,1000000000,0.0
1,2067883451,3067883451,1000000000,1.0,2,2,1000000000,0,100.0
1,2067883451,3067883451,1000000000,1.0,3,3,0,1000000000,0.0
1,2067883451,3067883451,1000000000,1.0,4,4,592717707,407282293,59.271770700000005
1,2067883451,3067883451,1000000000,1.0,5,5,0,1000000000,0.0
1,2067883451,3067883451,1000000000,1.0,6,6,0,1000000000,0.0
1,2067883451,3067883451,1000000000,1.0,7,7,325494448,674505552,32.549444799999996
1,2067883451,3067883451,1000000000,1.0,8,8,753747746,246252254,75.37477460000001
1,2067883451,3067883451,1000000000,1.0,9,9,1000000000,0,100.0
2,3067883451,4067883451,1000000000,2.0,0,0,0,1000000000,0.0
2,3067883451,4067883451,1000000000,2.0,1,1,0,1000000000,0.0
2,3067883451,4067883451,1000000000,2.0,2,2,1000000000,0,100.0
2,3067883451,4067883451,1000000000,2.0,3,3,975423277,24576723,97.5423277
2,3067883451,4067883451,1000000000,2.0,4,4,1000000000,0,100.0
2,3067883451,4067883451,1000000000,2.0,5,5,577221887,422778113,57.7221887
2,3067883451,4067883451,1000000000,2.0,6,6,363725310,636274690,36.372531
2,3067883451,4067883451,1000000000,2.0,7,7,1000000000,0,100.0
2,3067883451,4067883451,1000000000,2.0,8,8,1000000000,0,100.0
2,3067883451,4067883451,1000000000,2.0,9,9,1000000000,0,100.0
3,4067883451,5067883451,1000000000,3.0,0,0,0,1000000000,0.0
3,4067883451,5067883451,1000000000,3.0,1,1,0,1000000000,0.0
3,4067883451,5067883451,1000000000,3.0,2,2,1000000000,0,100.0
3,4067883451,5067883451,1000000000,3.0,3,3,1000000000,0,100.0
3,4067883451,5067883451,1000000000,3.0,4,4,1000000000,0,100.0
3,4067883451,5067883451,1000000000,3.0,5,5,1000000000,0,100.0
3,4067883451,5067883451,1000000000,3.0,6,6,1000000000,0,100.0
3,4067883451,5067883451,1000000000,3.0,7,7,1000000000,0,100.0
3,4067883451,5067883451,1000000000,3.0,8,8,1000000000,0,100.0
3,4067883451,5067883451,1000000000,3.0,9,9,1000000000,0,100.0
4,5067883451,6067883451,1000000000,4.0,0,0,0,1000000000,0.0
4,5067883451,6067883451,1000000000,4.0,1,1,0,1000000000,0.0
4,5067883451,6067883451,1000000000,4.0,2,2,1000000000,0,100.0
4,5067883451,6067883451,1000000000,4.0,3,3,1000000000,0,100.0
4,5067883451,6067883451,1000000000,4.0,4,4,1000000000,0,100.0
4,5067883451,6067883451,1000000000,4.0,5,5,1000000000,0,100.0
4,5067883451,6067883451,1000000000,4.0,6,6,1000000000,0,100.0
4,5067883451,6067883451,1000000000,4.0,7,7,1000000000,0,100.0
4,5067883451,6067883451,1000000000,4.0,8,8,1000000000,0,100.0
4,5067883451,6067883451,1000000000,4.0,9,9,1000000000,0,100.0
5,6067883451,7067883451,1000000000,5.0,0,0,0,1000000000,0.0
5,6067883451,7067883451,1000000000,5.0,1,1,805738896,194261104,80.5738896
5,6067883451,7067883451,1000000000,5.0,2,2,1000000000,0,100.0
5,6067883451,7067883451,1000000000,5.0,3,3,1000000000,0,100.0
5,6067883451,7067883451,1000000000,5.0,4,4,1000000000,0,100.0
5,6067883451,7067883451,1000000000,5.0,5,5,1000000000,0,100.0
5,6067883451,7067883451,1000000000,5.0,6,6,1000000000,0,100.0
5,6067883451,7067883451,1000000000,5.0,7,7,1000000000,0,100.0
5,6067883451,7067883451,1000000000,5.0,8,8,1000000000,0,100.0
5,6067883451,7067883451,1000000000,5.0,9,9,1000000000,0,100.0
6,7067883451,8067883451,1000000000,6.0,0,0,0,1000000000,0.0
6,7067883451,8067883451,1000000000,6.0,1,1,1000000000,0,100.0
