workload,workload_label,cohort,arm,requests,Router queue,Scheduler queue,KV transfer,Compute / prefill,RTT / other comm,Total
input8000_reuse00,8000 / reuse 0%,All requests,PP1: 10 replicas,300,2442.4429603099998,89.40470962333333,0.0,1059.7710922033336,0.38773188,3592.0064940166667
input8000_reuse00,8000 / reuse 0%,All requests,PP2 + scheduler-hide,300,1322.4693008933332,66.17677210666666,0.0,1108.8525903566667,0.22721922000000003,2497.7258825766667
input8000_reuse00,8000 / reuse 0%,All requests,PP2 + speculative,300,1528.0542545600001,65.20635492666666,0.0,1103.4298905766668,0.22930380000000003,2696.9198038633335
input8000_reuse00,8000 / reuse 0%,Redirected only,PP1: 10 replicas,186,3546.018734424732,59.082553768817206,0.0,1059.377314467742,0.6253739999999999,4665.10397666129
input8000_reuse00,8000 / reuse 0%,Redirected only,PP2 + scheduler-hide,109,2877.5007295045866,54.11780296330274,0.0,1124.0878180183486,0.6253739999999997,4056.3317244862383
input8000_reuse00,8000 / reuse 0%,Redirected only,PP2 + speculative,110,3239.8722768999996,48.64551515454544,0.0,1116.1378044363637,0.6253739999999997,4405.280970490909
input8000_reuse00,8000 / reuse 0%,Not redirected,PP1: 10 replicas,114,641.8719604385966,138.87770075438596,0.0,1060.4135716666667,0.0,1841.163232859649
input8000_reuse00,8000 / reuse 0%,Not redirected,PP2 + scheduler-hide,191,435.04298823036646,73.05859219371729,0.0,1100.158141062827,0.0,1608.2597214869113
input8000_reuse00,8000 / reuse 0%,Not redirected,PP2 + speculative,190,537.0017153105263,74.79420953157894,0.0,1096.0726772894736,0.0,1707.868602131579
input8000_reuse025,8000 / reuse 25%,All requests,PP1: 10 replicas,300,647.7265944066661,64.62968955513666,129.20269644486393,833.6280990333335,0.38147813999999614,1675.56855758
input8000_reuse025,8000 / reuse 25%,All requests,PP2: 5 groups,300,0.14752235333319078,62.87235537950706,24.71089822715977,870.5072219533333,0.07296029999999926,958.3109582133333
input8000_reuse025,8000 / reuse 25%,All requests,PP2 + scheduler-hide,300,0.1474347766666878,87.12950832333333,0.0,871.6762547,0.07296029999999926,959.0261580999999
input8000_reuse025,8000 / reuse 25%,All requests,PP2 + speculative,300,14.681302443333355,100.26737868333333,0.0,878.16919945,0.10422899999999895,993.2221095766666
input8000_reuse025,8000 / reuse 25%,Redirected only,PP1: 10 replicas,183,972.5552679562834,58.12276184448633,211.8076990899409,840.8299617540985,0.6253739999999937,2083.9410646448086
input8000_reuse025,8000 / reuse 25%,Redirected only,PP2: 5 groups,35,0.7876005999986181,91.11754891006055,211.80769908994085,905.8923570857145,0.6253739999999937,1210.2305796857145
input8000_reuse025,8000 / reuse 25%,Redirected only,PP2 + scheduler-hide,35,0.786849942857164,289.3100330857143,0.0,906.7131074,0.6253739999999937,1197.4353644285716
input8000_reuse025,8000 / reuse 25%,Redirected only,PP2 + speculative,50,68.57825198000003,286.12223818,0.0,910.0516974399999,0.6253739999999937,1265.3775616
input8000_reuse025,8000 / reuse 25%,Not redirected,PP1: 10 replicas,117,139.66123321367522,74.80719187179488,0.0,822.3636470854701,0.0,1036.8320721709401
input8000_reuse025,8000 / reuse 25%,Not redirected,PP2: 5 groups,265,0.06298371698115321,59.14185812075472,0.0,865.8337135396226,0.0,925.0385553773585
input8000_reuse025,8000 / reuse 25%,Not redirected,PP2 + scheduler-hide,265,0.06298371698115321,60.426420147169814,0.0,867.0487458528303,0.0,927.538149716981
input8000_reuse025,8000 / reuse 25%,Not redirected,PP2 + speculative,250,3.901912536000024,63.096406783999996,0.0,871.7926998519999,0.0,938.791019172
input8000_reuse05,8000 / reuse 50%,All requests,PP1: 10 replicas,300,29.895277050000416,43.02846761577475,149.5711913075582,582.24140441,0.22096547999998772,804.9573058633333
input8000_reuse05,8000 / reuse 50%,All requests,PP2: 5 groups,300,0.012207683333392842,32.012100701471354,16.932587695195263,591.45382182,0.025014959999998608,640.43573286
input8000_reuse05,8000 / reuse 50%,All requests,PP2 + scheduler-hide,300,0.012207683333346608,48.94468839666667,0.0,591.45382182,0.025014959999998608,640.43573286
input8000_reuse05,8000 / reuse 50%,All requests,PP2 + speculative,300,0.010957120000016592,46.13819073333333,0.0,593.5584595166666,0.020845799999998842,639.72845317
input8000_reuse05,8000 / reuse 50%,Redirected only,PP1: 10 replicas,106,84.60927466981248,58.79050911068325,423.31469237988165,603.4749133113207,0.6253739999999652,1170.8147634716981
input8000_reuse05,8000 / reuse 50%,Redirected only,PP2: 5 groups,12,0.30519208333453207,28.287174286783852,423.3146923798816,584.0765691666667,0.6253739999999652,1036.6090019166666
input8000_reuse05,8000 / reuse 50%,Redirected only,PP2 + scheduler-hide,12,0.3051920833333763,451.6018666666667,0.0,584.0765691666667,0.6253739999999652,1036.6090019166666
input8000_reuse05,8000 / reuse 50%,Redirected only,PP2 + speculative,10,0.32871360000006006,442.55405140000005,0.0,598.4599889000001,0.6253739999999652,1041.9681279000001
input8000_reuse05,8000 / reuse 50%,Not redirected,PP1: 10 replicas,194,1.230630717605122e-14,34.41621813917526,0.0,570.6395902680413,0.0,605.0558084072165
input8000_reuse05,8000 / reuse 50%,Not redirected,PP2: 5 groups,288,1.2039751911490586e-14,32.16730596875001,0.0,591.7612073472222,0.0,623.9285133159722
input8000_reuse05,8000 / reuse 50%,Not redirected,PP2 + scheduler-hide,288,1.2039751911490586e-14,32.16730596875001,0.0,591.7612073472222,0.0,623.9285133159722
input8000_reuse05,8000 / reuse 50%,Not redirected,PP2 + speculative,290,1.5092907766490403e-14,32.46867829655172,0.0,593.389441262069,0.0,625.8581195586207
