workload,workload_label,baseline_arm,comparison_arm,mean_ttft_improvement_pct,p95_ttft_improvement_pct,p99_ttft_improvement_pct,scheduler_queue_reduction_pct,tpot_change_pct,completion_change_pct,request_throughput_change_pct,baseline_redirects,comparison_redirects
input512_reuse00,512 / reuse 0%,PP2: 5 groups,PP1: 10 replicas,-5.891544867876204,-9.320221825812494,-10.506362157814692,-65.29525828784458,-6.669947610307466,-6.614651205712153,0.9580051679987815,0,0
input512_reuse00,512 / reuse 0%,PP2: 5 groups,PP2 + scheduler-hide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
input2000_reuse025,2000 / reuse 25%,PP2: 5 groups,PP1: 10 replicas,-0.28603918301406595,15.11821107021691,-11.837255761042433,-21.716907482935575,-9.452087720343332,-9.371529134553416,1.075871399582733,0,0
input2000_reuse025,2000 / reuse 25%,PP2: 5 groups,PP2 + scheduler-hide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
input2000_reuse025,2000 / reuse 25%,PP2: 5 groups,PP2 + speculative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
input6000_reuse05,6000 / reuse 50%,PP2: 5 groups,PP1: 10 replicas,-3.2931043224665,-14.383553212229394,-14.50800562415141,-40.0840660137288,-21.132856806140758,-20.738134089581656,0.8386439121580347,0,18
input6000_reuse05,6000 / reuse 50%,PP2: 5 groups,PP2 + scheduler-hide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
input6000_reuse05,6000 / reuse 50%,PP2: 5 groups,PP2 + speculative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
input8000_reuse025,8000 / reuse 25%,PP2: 5 groups,PP1: 10 replicas,-74.84601873946174,-179.7181292264089,-190.7357857788846,-2.7950824571818034,-35.457535064861176,-32.13161842797964,2.1129417612151338,35,183
input8000_reuse025,8000 / reuse 25%,PP2: 5 groups,PP2 + scheduler-hide,-0.07463129587915898,-4.92183310554666,3.9416523677075626,-38.58158772230883,-0.07278473818248235,-0.06624731563790644,0.0,35,35
input8000_reuse025,8000 / reuse 25%,PP2: 5 groups,PP2 + speculative,-3.6429878072584527,-6.893044342183375,-14.896383815684894,-59.477687893358286,1.2045410358673687,1.241311957235767,-0.8808952291674925,35,50
input8000_reuse05,8000 / reuse 50%,PP2: 5 groups,PP1: 10 replicas,-25.68900586927399,-55.05153427802767,-81.96202586058293,-34.413133386766646,-30.814086079161378,-29.564884287711507,3.3995421310487437,12,106
input8000_reuse05,8000 / reuse 50%,PP2: 5 groups,PP2 + scheduler-hide,0.0,0.0,0.0,-52.894334717674596,0.0,0.0,0.0,12,12
input8000_reuse05,8000 / reuse 50%,PP2: 5 groups,PP2 + speculative,0.1104372622747888,-1.063368435538123,2.8107808562496515,-44.12734473002801,-1.3432118953024434,-1.3224947947840364,0.8510813119513889,12,10
mixed_rate3p33_seed1,Mixed / burst,PP2: 5 groups,PP1: 10 replicas,-5.345562086475313,-5.279321985253273,-30.858024351779374,-68.47822928538612,-21.13366215222896,-20.496325799700767,0.26071516284253904,0,17
