gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated,observation_start_ns,observation_end_ns,observation_time_ns,busy_time_ns,idle_time_ns,utilization_pct,completed_batch_count
0,0,,,14,30,10884.485357733332,10489.216885,23896.7091385,24624.12274025,297.52427439999997,872.6174141666667,0,30,240000,19718,17748911,102207525358,102189776447,96580059927,5609716520,94.51049144538501,2967
1,1,,,16,31,10983.503811096774,10254.92471,24789.4597865,25265.4329686,193.85030158064518,841.4866098387097,0,31,248000,21043,17748911,102207525358,102189776447,101222187127,967589320,99.05314469446772,3102
2,2,,,16,28,10831.977604035714,10589.650698,23300.018800799997,24477.18403947,254.95163425,846.0708585,0,28,224000,18599,17748911,102207525358,102189776447,92427453191,9762323256,90.44686895751929,2895
3,3,,,14,30,11158.277940366668,11264.1562375,24170.424810499997,25150.07176185,164.08077526666668,802.5709511666666,0,30,240000,19746,17748911,102207525358,102189776447,100357714058,1832062389,98.20719601050288,3199
4,4,,,14,31,11572.93318470968,10956.436733,24864.252037,25378.6353796,202.30330893548387,844.0172988387097,0,31,248000,20639,17748911,102207525358,102189776447,99196941703,2992834744,97.07129729797167,3010
5,5,,,15,30,10837.391062766666,10379.68633,23824.968056399994,24800.74242893,321.4862743,873.2063402333333,0,30,240000,18677,17748911,102207525358,102189776447,97976562586,4213213861,95.87706910858627,3135
6,6,,,14,29,11055.687805448275,10879.589977,23767.5663684,24171.3753284,177.46005331034482,801.6475117586208,0,29,232000,19129,17748911,102207525358,102189776447,94296664966,7893111481,92.27602627637246,2924
7,7,,,13,29,10706.862963068965,10947.886279,23472.833227799994,24751.4654662,180.47582120689654,823.082137137931,0,29,232000,19329,17748911,102207525358,102189776447,97547102760,4642673687,95.45681197432907,3111
8,8,,,16,31,10600.546373548388,11009.431529,23687.0671575,24449.146860599998,225.61288916129033,840.027501032258,0,31,248000,19532,17748911,102207525358,102189776447,96857047661,5332728786,94.78154374007678,2966
9,9,,,15,31,12053.69352419355,10602.115779,24843.752951000002,25194.3343728,298.810252516129,862.363158483871,0,31,248000,19341,17748911,102207525358,102189776447,98476716810,3713059637,96.36650576398338,3074
